experiment,run_id,summary_path,engine,network_engine,status,tier,scenario,scheme,batch_size,zipf_s,ep_size,layers,microbatches,attention_devices,ffn_devices,m_to_n,placement,te_profile,step_time_us,throughput_tokens_s,baseline_step_time_us,speedup,tc_us,dispatch_us,combine_us,mask_value,mask_label,mask_definition,packet_evidence_paths,raw.cluster_throughput_tokens_s,raw.engine,raw.experiment,raw.job.batch,raw.job.ep_size,raw.job.exp,raw.job.layers,raw.job.m_attn,raw.job.microbatches,raw.job.n_ffn,raw.job.placement,raw.job.scenario,raw.job.scheme,raw.job.seed,raw.job.te_profile,raw.job.tier,raw.job.zipf_s,raw.model.cluster_throughput_tokens_s,raw.model.communication_busy_us,raw.model.communication_utilization,raw.model.compute_busy_us,raw.model.compute_utilization,raw.model.config.attention_devices,raw.model.config.batch_size,raw.model.config.combine_us,raw.model.config.dispatch_us,raw.model.config.ffn_devices,raw.model.config.layers,raw.model.config.microbatches,raw.model.config.seed,raw.model.config.ta_us,raw.model.config.tc_us,raw.model.config.te_profile,raw.model.config.te_us,raw.model.config.uniform_high_us,raw.model.config.uniform_low_us,raw.model.events._count,raw.model.layer_results._count,raw.model.masking.bidirectional_hidden,raw.model.masking.ffn_not_exposed,raw.model.masking.fully_hidden,raw.model.masking.single_direction_hidden,raw.model.per_device_throughput_tokens_s,raw.model.startup_us,raw.model.steady_state_us,raw.model.step_time_us,raw.model.ta_us,raw.model.tc_us,raw.model.te_profile,raw.model.te_us,raw.model.tf_us,raw.network_inputs.combine_cct_us,raw.network_inputs.dispatch_cct_us,raw.network_inputs.m2n_cct_us,raw.network_inputs.n2m_cct_us,raw.network_inputs.seed_aggregation,raw.network_inputs.tc_definition,raw.network_inputs.tc_us,raw.network_runs._count,raw.per_device_throughput_tokens_s,raw.run_id,raw.step_time_us,raw.tier,report_included
sys1,sys1_s1_packet_spray_b16_z0.5_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b16_z0.5_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,16,0.5,128,60,1,0,0,,role_packed,hidden,23758.542122923987,673.441994766254,,,,119.181,111.507,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb16_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb16_z0.5_ep128_sd1/summary.json""]",,packet,sys1,16,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.5,,,,,,,16,111.507,119.181,,60,,1,,,,,90.0,75.0,,60,,,,,673.441994766254,,,23758.542122923987,,,,,,111.507,119.181,,,,,,2,673.441994766254,sys1_s1_packet_spray_b16_z0.5_ep128_L60_m1_sd1,23758.542122923987,controls,True
sys1,sys1_s1_packet_spray_b16_z0.9_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b16_z0.9_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,16,0.9,128,60,1,0,0,,role_packed,hidden,41537.862122923994,385.19074363169716,,,,287.405,239.605,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb16_z0.9_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb16_z0.9_ep128_sd1/summary.json""]",,packet,sys1,16,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.9,,,,,,,16,239.605,287.405,,60,,1,,,,,90.0,75.0,,60,,,,,385.19074363169716,,,41537.862122923994,,,,,,239.605,287.405,,,,,,2,385.19074363169716,sys1_s1_packet_spray_b16_z0.9_ep128_L60_m1_sd1,41537.862122923994,controls,True
sys1,sys1_s1_packet_spray_b16_z0_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b16_z0_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,16,0,128,60,1,0,0,,role_packed,hidden,13385.922122923987,1195.2856032681746,,,,28.879,28.932,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb16_z0_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb16_z0_ep128_sd1/summary.json""]",,packet,sys1,16,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.0,,,,,,,16,28.932,28.879,,60,,1,,,,,90.0,75.0,,60,,,,,1195.2856032681746,,,13385.922122923987,,,,,,28.932,28.879,,,,,,2,1195.2856032681746,sys1_s1_packet_spray_b16_z0_ep128_L60_m1_sd1,13385.922122923987,controls,True
sys1,sys1_s1_packet_spray_b256_z0.5_ep128_L32_m1_sd1,sys1/sys1_s1_packet_spray_b256_z0.5_ep128_L32_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,256,0.5,128,32,1,0,0,,role_packed,hidden,287549.6368298731,890.2810757207138,,,,7064.412,1756.936,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb256_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb256_z0.5_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,32,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.5,,,,,,,256,1756.936,7064.412,,32,,1,,,,,90.0,75.0,,32,,,,,890.2810757207138,,,287549.6368298731,,,,,,1756.936,7064.412,,,,,,2,890.2810757207138,sys1_s1_packet_spray_b256_z0.5_ep128_L32_m1_sd1,287549.6368298731,controls,True
sys1,sys1_s1_packet_spray_b256_z0.5_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b256_z0.5_ep128_L60_m1_sd1/summary.json,packet,,ok,main,1,packet_spray,256,0.5,128,60,1,0,0,,role_packed,hidden,539198.142122924,474.7790839784427,,,,7064.412,1756.936,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb256_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb256_z0.5_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,main,0.5,,,,,,,256,1756.936,7064.412,,60,,1,,,,,90.0,75.0,,60,,,,,474.7790839784427,,,539198.142122924,,,,,,1756.936,7064.412,,,,,,2,474.7790839784427,sys1_s1_packet_spray_b256_z0.5_ep128_L60_m1_sd1,539198.142122924,main,True
sys1,sys1_s1_packet_spray_b256_z0.5_ep128_L94_m1_sd1,sys1/sys1_s1_packet_spray_b256_z0.5_ep128_L94_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,256,0.5,128,94,1,0,0,,role_packed,hidden,844687.6622299493,303.07060401967743,,,,7064.412,1756.936,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb256_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb256_z0.5_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,94,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.5,,,,,,,256,1756.936,7064.412,,94,,1,,,,,90.0,75.0,,94,,,,,303.07060401967743,,,844687.6622299493,,,,,,1756.936,7064.412,,,,,,2,303.07060401967743,sys1_s1_packet_spray_b256_z0.5_ep128_L94_m1_sd1,844687.6622299493,controls,True
sys1,sys1_s1_packet_spray_b256_z0.5_ep64_L60_m1_sd1,sys1/sys1_s1_packet_spray_b256_z0.5_ep64_L60_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,256,0.5,64,60,1,0,0,,role_packed,hidden,238759.30212292398,1072.209533717768,,,,2597.48,1216.554,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb256_z0.5_ep64_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb256_z0.5_ep64_sd1/summary.json""]",,packet,sys1,256,64,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.5,,,,,,,256,1216.554,2597.48,,60,,1,,,,,90.0,75.0,,60,,,,,1072.209533717768,,,238759.30212292398,,,,,,1216.554,2597.48,,,,,,2,1072.209533717768,sys1_s1_packet_spray_b256_z0.5_ep64_L60_m1_sd1,238759.30212292398,controls,True
sys1,sys1_s1_packet_spray_b256_z0.9_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b256_z0.9_ep128_L60_m1_sd1/summary.json,packet,,ok,main,1,packet_spray,256,0.9,128,60,1,0,0,,role_packed,hidden,1198079.5621229238,213.6752917697583,,,,15917.978,3884.727,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb256_z0.9_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb256_z0.9_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,main,0.9,,,,,,,256,3884.727,15917.978,,60,,1,,,,,90.0,75.0,,60,,,,,213.6752917697583,,,1198079.5621229238,,,,,,3884.727,15917.978,,,,,,2,213.6752917697583,sys1_s1_packet_spray_b256_z0.9_ep128_L60_m1_sd1,1198079.5621229238,main,True
sys1,sys1_s1_packet_spray_b256_z0_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b256_z0_ep128_L60_m1_sd1/summary.json,packet,,ok,main,1,packet_spray,256,0,128,60,1,0,0,,role_packed,hidden,56392.54212292399,4539.60737293902,,,,385.135,389.453,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb256_z0_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb256_z0_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,main,0.0,,,,,,,256,389.453,385.135,,60,,1,,,,,90.0,75.0,,60,,,,,4539.60737293902,,,56392.54212292399,,,,,,389.453,385.135,,,,,,2,4539.60737293902,sys1_s1_packet_spray_b256_z0_ep128_L60_m1_sd1,56392.54212292399,main,True
sys1,sys1_s1_packet_spray_b64_z0.5_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b64_z0.5_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,64,0.5,128,60,1,0,0,,role_packed,hidden,71461.24212292398,895.5903661723437,,,,583.131,442.602,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb64_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb64_z0.5_ep128_sd1/summary.json""]",,packet,sys1,64,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.5,,,,,,,64,442.602,583.131,,60,,1,,,,,90.0,75.0,,60,,,,,895.5903661723437,,,71461.24212292398,,,,,,442.602,583.131,,,,,,2,895.5903661723437,sys1_s1_packet_spray_b64_z0.5_ep128_L60_m1_sd1,71461.24212292398,controls,True
