bin_lo_us,bin_hi_us,count
0,0.462572,0
0.462572,0.925144,4506
0.925144,1.38772,7570
1.38772,1.85029,3324
1.85029,2.31286,3574
2.31286,2.77543,4061
2.77543,3.23801,4633
3.23801,3.70058,4339
3.70058,4.16315,3628
4.16315,4.62572,3234
4.62572,5.08829,3091
5.08829,5.55087,2806
5.55087,6.01344,2630
6.01344,6.47601,2567
6.47601,6.93858,2351
6.93858,7.40116,2222
7.40116,7.86373,2337
7.86373,8.3263,2347
8.3263,8.78887,2271
8.78887,9.25144,2316
9.25144,9.71402,2357
9.71402,10.1766,2283
10.1766,10.6392,2476
10.6392,11.1017,2367
11.1017,11.5643,2480
11.5643,12.0269,2516
12.0269,12.4895,2473
12.4895,12.952,2569
12.952,13.4146,2492
13.4146,13.8772,2589
13.8772,14.3397,2740
14.3397,14.8023,2726
14.8023,15.2649,2561
15.2649,15.7275,2732
15.7275,16.19,2619
16.19,16.6526,2527
16.6526,17.1152,2532
17.1152,17.5777,2548
17.5777,18.0403,2586
18.0403,18.5029,2526
18.5029,18.9655,2551
18.9655,19.428,2429
19.428,19.8906,2488
19.8906,20.3532,2488
20.3532,20.8158,2506
20.8158,21.2783,2390
21.2783,21.7409,2381
21.7409,22.2035,2361
22.2035,22.666,2294
22.666,23.1286,2248
23.1286,23.5912,2194
23.5912,24.0538,2060
24.0538,24.5163,2024
24.5163,24.9789,2014
24.9789,25.4415,2002
25.4415,25.904,2000
25.904,26.3666,1911
26.3666,26.8292,1850
26.8292,27.2918,1745
27.2918,27.7543,1681
27.7543,28.2169,1516
28.2169,28.6795,1532
28.6795,29.1421,1599
29.1421,29.6046,1511
29.6046,30.0672,1505
30.0672,30.5298,1499
30.5298,30.9923,1388
30.9923,31.4549,1405
31.4549,31.9175,1360
31.9175,32.3801,1269
32.3801,32.8426,1242
32.8426,33.3052,1233
33.3052,33.7678,1184
33.7678,34.2303,1087
34.2303,34.6929,1049
34.6929,35.1555,958
35.1555,35.6181,1030
35.6181,36.0806,962
36.0806,36.5432,878
36.5432,37.0058,812
37.0058,37.4684,809
37.4684,37.9309,751
37.9309,38.3935,772
38.3935,38.8561,697
38.8561,39.3186,671
39.3186,39.7812,603
39.7812,40.2438,584
40.2438,40.7064,569
40.7064,41.1689,513
41.1689,41.6315,530
41.6315,42.0941,492
42.0941,42.5566,470
42.5566,43.0192,464
43.0192,43.4818,461
43.4818,43.9444,421
43.9444,44.4069,419
44.4069,44.8695,378
44.8695,45.3321,393
45.3321,45.7947,384
45.7947,46.2572,314
46.2572,46.7198,318
46.7198,47.1824,304
47.1824,47.6449,314
47.6449,48.1075,283
48.1075,48.5701,288
48.5701,49.0327,235
49.0327,49.4952,252
49.4952,49.9578,225
49.9578,50.4204,203
50.4204,50.8829,193
50.8829,51.3455,187
51.3455,51.8081,156
51.8081,52.2707,153
52.2707,52.7332,147
52.7332,53.1958,170
53.1958,53.6584,144
53.6584,54.121,112
54.121,54.5835,112
54.5835,55.0461,115
55.0461,55.5087,89
55.5087,55.9712,86
55.9712,56.4338,87
56.4338,56.8964,99
56.8964,57.359,98
57.359,57.8215,92
57.8215,58.2841,84
58.2841,58.7467,66
58.7467,59.2092,87
59.2092,59.6718,74
59.6718,60.1344,61
60.1344,60.597,75
60.597,61.0595,65
61.0595,61.5221,62
61.5221,61.9847,76
61.9847,62.4473,47
62.4473,62.9098,48
62.9098,63.3724,59
63.3724,63.835,48
63.835,64.2975,42
64.2975,64.7601,40
64.7601,65.2227,43
65.2227,65.6853,30
65.6853,66.1478,20
66.1478,66.6104,34
66.6104,67.073,35
67.073,67.5355,29
67.5355,67.9981,29
67.9981,68.4607,27
68.4607,68.9233,32
68.9233,69.3858,25
69.3858,69.8484,22
69.8484,70.311,23
70.311,70.7736,20
70.7736,71.2361,22
71.2361,71.6987,41
71.6987,72.1613,22
72.1613,72.6238,29
72.6238,73.0864,28
73.0864,73.549,21
73.549,74.0116,18
74.0116,74.4741,28
74.4741,74.9367,16
74.9367,75.3993,18
75.3993,75.8618,27
75.8618,76.3244,23
76.3244,76.787,18
76.787,77.2496,8
77.2496,77.7121,11
77.7121,78.1747,5
78.1747,78.6373,8
78.6373,79.0999,9
79.0999,79.5624,4
79.5624,80.025,3
80.025,80.4876,2
80.4876,80.9501,9
80.9501,81.4127,4
81.4127,81.8753,3
81.8753,82.3379,0
82.3379,82.8004,1
82.8004,83.263,4
83.263,83.7256,1
83.7256,84.1881,0
84.1881,84.6507,0
84.6507,85.1133,5
85.1133,85.5759,2
85.5759,86.0384,2
86.0384,86.501,1
86.501,86.9636,1
86.9636,87.4262,3
87.4262,87.8887,0
87.8887,88.3513,1
88.3513,88.8139,0
88.8139,89.2764,0
89.2764,89.739,0
89.739,90.2016,0
90.2016,90.6642,0
90.6642,91.1267,0
91.1267,91.5893,0
91.5893,92.0519,0
92.0519,92.5144,0
