bin_lo_us,bin_hi_us,count
0,0.813283,10134
0.813283,1.62657,29798
1.62657,2.43985,6897
2.43985,3.25313,8245
3.25313,4.06641,7868
4.06641,4.8797,6036
4.8797,5.69298,4668
5.69298,6.50626,4242
6.50626,7.31954,3711
7.31954,8.13283,3320
8.13283,8.94611,3162
8.94611,9.75939,2813
9.75939,10.5727,2696
10.5727,11.386,2572
11.386,12.1992,2358
12.1992,13.0125,2301
13.0125,13.8258,2038
13.8258,14.6391,2086
14.6391,15.4524,1968
15.4524,16.2657,2017
16.2657,17.0789,1843
17.0789,17.8922,1860
17.8922,18.7055,1768
18.7055,19.5188,1812
19.5188,20.3321,1774
20.3321,21.1454,1699
21.1454,21.9586,1674
21.9586,22.7719,1720
22.7719,23.5852,1520
23.5852,24.3985,1545
24.3985,25.2118,1548
25.2118,26.025,1425
26.025,26.8383,1443
26.8383,27.6516,1477
27.6516,28.4649,1318
28.4649,29.2782,1312
29.2782,30.0915,1278
30.0915,30.9047,1208
30.9047,31.718,1260
31.718,32.5313,1273
32.5313,33.3446,1174
33.3446,34.1579,1244
34.1579,34.9712,1067
34.9712,35.7844,1097
35.7844,36.5977,1074
36.5977,37.411,1029
37.411,38.2243,974
38.2243,39.0376,1039
39.0376,39.8509,934
39.8509,40.6641,867
40.6641,41.4774,950
41.4774,42.2907,936
42.2907,43.104,964
43.104,43.9173,961
43.9173,44.7306,870
44.7306,45.5438,880
45.5438,46.3571,868
46.3571,47.1704,803
47.1704,47.9837,808
47.9837,48.797,771
48.797,49.6102,731
49.6102,50.4235,731
50.4235,51.2368,763
51.2368,52.0501,762
52.0501,52.8634,729
52.8634,53.6767,682
53.6767,54.4899,711
54.4899,55.3032,723
55.3032,56.1165,612
56.1165,56.9298,641
56.9298,57.7431,647
57.7431,58.5564,617
58.5564,59.3696,644
59.3696,60.1829,649
60.1829,60.9962,614
60.9962,61.8095,571
61.8095,62.6228,549
62.6228,63.4361,590
63.4361,64.2493,593
64.2493,65.0626,599
65.0626,65.8759,553
65.8759,66.6892,546
66.6892,67.5025,525
67.5025,68.3158,473
68.3158,69.129,489
69.129,69.9423,462
69.9423,70.7556,487
70.7556,71.5689,454
71.5689,72.3822,458
72.3822,73.1954,443
73.1954,74.0087,473
74.0087,74.822,493
74.822,75.6353,420
75.6353,76.4486,422
76.4486,77.2619,392
77.2619,78.0751,379
78.0751,78.8884,378
78.8884,79.7017,401
79.7017,80.515,383
80.515,81.3283,377
81.3283,82.1416,386
82.1416,82.9548,430
82.9548,83.7681,369
83.7681,84.5814,388
84.5814,85.3947,333
85.3947,86.208,387
86.208,87.0213,383
87.0213,87.8345,379
87.8345,88.6478,367
88.6478,89.4611,373
89.4611,90.2744,344
90.2744,91.0877,353
91.0877,91.901,362
91.901,92.7142,322
92.7142,93.5275,321
93.5275,94.3408,296
94.3408,95.1541,250
95.1541,95.9674,281
95.9674,96.7806,277
96.7806,97.5939,295
97.5939,98.4072,265
98.4072,99.2205,298
99.2205,100.034,316
100.034,100.847,266
100.847,101.66,263
101.66,102.474,274
102.474,103.287,257
103.287,104.1,273
104.1,104.913,277
104.913,105.727,212
105.727,106.54,226
106.54,107.353,235
107.353,108.167,240
108.167,108.98,257
108.98,109.793,251
109.793,110.606,266
110.606,111.42,228
111.42,112.233,245
112.233,113.046,283
113.046,113.86,257
113.86,114.673,236
114.673,115.486,236
115.486,116.299,224
116.299,117.113,236
117.113,117.926,216
117.926,118.739,194
118.739,119.553,187
119.553,120.366,203
120.366,121.179,183
121.179,121.992,162
121.992,122.806,174
122.806,123.619,229
123.619,124.432,199
124.432,125.246,194
125.246,126.059,197
126.059,126.872,182
126.872,127.685,181
127.685,128.499,187
128.499,129.312,205
129.312,130.125,154
130.125,130.939,145
130.939,131.752,125
131.752,132.565,153
132.565,133.378,156
133.378,134.192,149
134.192,135.005,127
135.005,135.818,135
135.818,136.632,126
136.632,137.445,127
137.445,138.258,120
138.258,139.071,133
139.071,139.885,152
139.885,140.698,126
140.698,141.511,117
141.511,142.324,93
142.324,143.138,109
143.138,143.951,88
143.951,144.764,76
144.764,145.578,92
145.578,146.391,77
146.391,147.204,66
147.204,148.017,79
148.017,148.831,51
148.831,149.644,34
149.644,150.457,35
150.457,151.271,21
151.271,152.084,21
152.084,152.897,19
152.897,153.71,12
153.71,154.524,5
154.524,155.337,4
155.337,156.15,0
156.15,156.964,0
156.964,157.777,0
157.777,158.59,0
158.59,159.403,0
159.403,160.217,0
160.217,161.03,0
161.03,161.843,0
161.843,162.657,0
