exp,run_id,engine,scenario,scheme,mode,batch,zipf_s,ep_size,total_tokens,konig_us,rtt_us,barrier_us,cct_us,step_us,gemv_us,e2e_us,e2e_step_us,start_skew_us,seed,throughput_GBs,lat_mean,lat_p50,lat_p99,hot_p99,cold_p99,hot_mean,cold_mean,roundtrip_step_us,hist_path
exp1_dispatch,s1_islip_b16_z0.3_ep0_sd1_nsk0,behavioral,1,islip,dispatch,16,0.3,128,16384,8.45824,0.6,0.4,14.958284,15.358284,0.0,0.0,,0.0,1,7851.202276,3.441452,3.004306,9.395959,12.237359,5.638701,4.94526,2.791211,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.3_ep0_sd1_nsk0/hist.csv
exp1_dispatch,s1_islip_b16_z0.3_ep0_sd1_nsk2,behavioral,1,islip,dispatch,16,0.3,128,16384,8.45824,0.6,0.4,80.121333,80.521333,0.0,0.0,,2.0,1,1465.783304,16.804046,14.874967,49.168175,63.236734,28.869618,24.812524,13.34037,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.3_ep0_sd1_nsk2/hist.csv
exp1_dispatch,s1_islip_b16_z0.3_ep0_sd1_nsk4,behavioral,1,islip,dispatch,16,0.3,128,16384,8.45824,0.6,0.4,89.087262,89.487262,0.0,0.0,,4.0,1,1318.263795,22.117953,20.349289,55.443779,69.778015,36.123837,30.101275,18.650456,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.3_ep0_sd1_nsk4/hist.csv
exp1_dispatch,s1_islip_b16_z0.3_ep0_sd1_nsk8,behavioral,1,islip,dispatch,16,0.3,128,16384,8.45824,0.6,0.4,107.01912,107.41912,0.0,0.0,,8.0,1,1097.378786,32.745767,31.672989,69.353639,82.685137,52.903825,40.6771,29.273419,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.3_ep0_sd1_nsk8/hist.csv
exp1_dispatch,s1_islip_b16_z0.7_ep0_sd1_nsk0,behavioral,1,islip,dispatch,16,0.7,128,16384,21.79072,0.6,0.4,37.179084,37.579084,0.0,0.0,,0.0,1,3158.779075,5.454897,3.448373,29.18336,32.743089,4.283731,10.015146,2.21081,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.7_ep0_sd1_nsk0/hist.csv
exp1_dispatch,s1_islip_b16_z0.7_ep0_sd1_nsk2,behavioral,1,islip,dispatch,16,0.7,128,16384,21.79072,0.6,0.4,197.453588,197.853588,0.0,0.0,,2.0,1,594.775275,27.667521,16.351979,155.524972,173.565844,22.216039,52.142332,10.362485,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.7_ep0_sd1_nsk2/hist.csv
exp1_dispatch,s1_islip_b16_z0.7_ep0_sd1_nsk4,behavioral,1,islip,dispatch,16,0.7,128,16384,21.79072,0.6,0.4,204.619612,205.019612,0.0,0.0,,4.0,1,573.945532,32.984893,22.154466,161.342354,178.227082,29.957528,57.453659,15.700992,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.7_ep0_sd1_nsk4/hist.csv
exp1_dispatch,s1_islip_b16_z0.7_ep0_sd1_nsk8,behavioral,1,islip,dispatch,16,0.7,128,16384,21.79072,0.6,0.4,218.715869,219.115869,0.0,0.0,,8.0,1,536.954692,43.612707,34.464177,171.377676,188.9525,48.020953,68.056041,26.38232,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.7_ep0_sd1_nsk8/hist.csv
exp1_dispatch,s1_islip_b16_z0.9_ep0_sd1_nsk0,behavioral,1,islip,dispatch,16,0.9,128,16384,29.53216,0.6,0.4,50.081484,50.481484,0.0,0.0,,0.0,1,2344.988667,7.618658,3.785211,41.57314,44.566855,3.640294,13.404926,1.97895,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.9_ep0_sd1_nsk0/hist.csv
exp1_dispatch,s1_islip_b16_z0.9_ep0_sd1_nsk2,behavioral,1,islip,dispatch,16,0.9,128,16384,29.53216,0.6,0.4,266.274972,266.674972,0.0,0.0,,2.0,1,441.049758,39.34724,19.178369,221.948094,238.531935,18.973898,70.453823,9.209723,,/home/luke/workspace/dyn_latency/results/ub_rg/exp1_dispatch/s1_islip_b16_z0.9_ep0_sd1_nsk2/hist.csv
