bin_lo_us,bin_hi_us,count
0,1,0
1,2,3757
2,3,5081
3,4,3447
4,5,4722
5,6,4491
6,7,3642
7,8,5107
8,9,3530
9,10,4633
10,11,4563
11,12,3578
12,13,5063
13,14,3599
14,15,4510
15,16,4657
16,17,3469
17,18,5040
18,19,3678
19,20,4376
20,21,4693
21,22,3307
22,23,4929
23,24,3629
24,25,4084
25,26,4497
26,27,3102
27,28,4330
28,29,3336
29,30,3332
30,31,3742
31,32,2468
32,33,3439
33,34,2775
34,35,2550
35,36,3046
36,37,2001
37,38,2685
38,39,2336
39,40,1968
40,41,2498
41,42,1607
42,43,2171
43,44,1947
44,45,1568
45,46,2129
46,47,1389
47,48,1789
48,49,1701
49,50,1297
50,51,1808
51,52,1239
52,53,1562
53,54,1538
54,55,1144
55,56,1619
56,57,1109
57,58,1346
58,59,1378
59,60,982
60,61,1369
61,62,965
62,63,1095
63,64,1175
64,65,810
65,66,1178
66,67,891
67,68,960
68,69,1081
69,70,744
70,71,1059
71,72,847
72,73,837
73,74,1003
74,75,671
75,76,951
76,77,799
77,78,727
78,79,892
79,80,595
80,81,811
81,82,737
82,83,613
83,84,790
84,85,552
85,86,723
86,87,679
87,88,539
88,89,740
89,90,499
90,91,650
91,92,635
92,93,479
93,94,684
94,95,468
95,96,592
96,97,595
97,98,437
98,99,623
99,100,453
100,101,546
101,102,554
102,103,401
103,104,597
104,105,427
105,106,481
106,107,540
107,108,386
108,109,536
109,110,428
110,111,448
111,112,534
112,113,341
113,114,527
114,115,428
115,116,404
116,117,498
117,118,327
118,119,467
119,120,424
120,121,378
121,122,468
122,123,330
123,124,431
124,125,412
125,126,331
126,127,446
127,128,300
128,129,401
129,130,389
130,131,319
131,132,411
132,133,279
133,134,360
134,135,354
135,136,261
136,137,385
137,138,269
138,139,333
139,140,341
140,141,242
141,142,356
142,143,259
143,144,309
144,145,311
145,146,228
146,147,336
147,148,252
148,149,280
149,150,305
150,151,215
151,152,313
152,153,253
153,154,261
154,155,300
155,156,201
156,157,294
157,158,251
158,159,234
159,160,301
160,161,195
161,162,278
162,163,247
163,164,202
164,165,293
165,166,184
166,167,256
167,168,250
168,169,189
169,170,276
170,171,181
171,172,236
172,173,219
173,174,172
174,175,254
175,176,175
176,177,222
177,178,215
178,179,172
179,180,235
180,181,169
181,182,209
182,183,222
183,184,160
184,185,232
185,186,176
186,187,196
187,188,224
188,189,157
189,190,219
190,191,183
191,192,181
192,193,214
193,194,146
194,195,198
195,196,168
196,197,169
197,198,197
198,199,134
199,200,22185
