bin_lo_us,bin_hi_us,count
0,1,0
1,2,169
2,3,771
3,4,1562
4,5,2618
5,6,3628
6,7,4415
7,8,5338
8,9,6590
9,10,7084
10,11,7163
11,12,7096
12,13,7119
13,14,7078
14,15,7069
15,16,7056
16,17,6969
17,18,6893
18,19,6743
19,20,6611
20,21,6345
21,22,5986
22,23,5755
23,24,5332
24,25,5041
25,26,4717
26,27,4329
27,28,4048
28,29,3783
29,30,3540
30,31,3298
31,32,3103
32,33,2947
33,34,2721
34,35,2657
35,36,2520
36,37,2380
37,38,2295
38,39,2200
39,40,2135
40,41,2035
41,42,1886
42,43,1864
43,44,1764
44,45,1632
45,46,1585
46,47,1585
47,48,1478
48,49,1462
49,50,1402
50,51,1378
51,52,1321
52,53,1272
53,54,1199
54,55,1144
55,56,1149
56,57,1103
57,58,1058
58,59,1046
59,60,994
60,61,967
61,62,920
62,63,921
63,64,884
64,65,881
65,66,848
66,67,833
67,68,852
68,69,796
69,70,806
70,71,766
71,72,775
72,73,754
73,74,728
74,75,747
75,76,679
76,77,742
77,78,642
78,79,686
79,80,649
80,81,627
81,82,585
82,83,579
83,84,606
84,85,546
85,86,571
86,87,547
87,88,520
88,89,542
89,90,492
90,91,527
91,92,469
92,93,484
93,94,468
94,95,457
95,96,481
96,97,434
97,98,464
98,99,401
99,100,453
100,101,413
101,102,405
102,103,418
103,104,379
104,105,393
105,106,347
106,107,385
107,108,346
108,109,366
109,110,366
110,111,315
111,112,374
112,113,306
113,114,368
114,115,318
115,116,337
116,117,314
117,118,331
118,119,339
119,120,287
120,121,349
121,122,290
122,123,304
123,124,267
124,125,271
125,126,297
126,127,247
127,128,310
128,129,262
129,130,295
130,131,274
131,132,276
132,133,262
133,134,227
134,135,265
135,136,205
136,137,252
137,138,215
138,139,228
139,140,212
140,141,202
141,142,252
142,143,213
143,144,239
144,145,210
145,146,230
146,147,204
147,148,204
148,149,210
149,150,190
150,151,220
151,152,182
152,153,202
153,154,190
154,155,197
155,156,175
156,157,155
157,158,199
158,159,148
159,160,194
160,161,155
161,162,173
162,163,182
163,164,168
164,165,186
165,166,138
166,167,191
167,168,162
168,169,175
169,170,159
170,171,160
171,172,171
172,173,154
173,174,184
174,175,151
175,176,172
176,177,160
177,178,182
178,179,163
179,180,135
180,181,166
181,182,125
182,183,138
183,184,135
184,185,135
185,186,116
186,187,120
187,188,127
188,189,95
189,190,138
190,191,112
191,192,120
192,193,121
193,194,113
194,195,125
195,196,103
196,197,124
197,198,104
198,199,117
199,200,8468
