bin_lo_us,bin_hi_us,count
0,1,0
1,2,73
2,3,50
3,4,146
4,5,549
5,6,585
6,7,767
7,8,918
8,9,986
9,10,882
10,11,843
11,12,845
12,13,807
13,14,804
14,15,732
15,16,812
16,17,819
17,18,808
18,19,798
19,20,721
20,21,866
21,22,780
22,23,804
23,24,730
24,25,830
25,26,808
26,27,801
27,28,807
28,29,734
29,30,846
30,31,798
31,32,796
32,33,727
33,34,836
34,35,795
35,36,802
36,37,785
37,38,755
38,39,844
39,40,807
40,41,798
41,42,709
42,43,856
43,44,794
44,45,795
45,46,758
46,47,800
47,48,810
48,49,822
49,50,790
50,51,716
51,52,860
52,53,796
53,54,798
54,55,741
55,56,811
56,57,815
57,58,816
58,59,786
59,60,728
60,61,854
61,62,793
62,63,799
63,64,740
64,65,815
65,66,806
66,67,814
67,68,777
68,69,748
69,70,858
70,71,795
71,72,800
72,73,716
73,74,851
74,75,787
75,76,814
76,77,782
77,78,746
78,79,855
79,80,795
80,81,792
81,82,721
82,83,851
83,84,798
84,85,798
85,86,778
86,87,764
87,88,823
88,89,805
89,90,804
90,91,721
91,92,849
92,93,796
93,94,803
94,95,747
95,96,801
96,97,813
97,98,822
98,99,792
99,100,723
100,101,875
101,102,775
102,103,802
103,104,722
104,105,830
105,106,794
106,107,825
107,108,803
108,109,722
109,110,844
110,111,804
111,112,799
112,113,721
113,114,844
114,115,786
115,116,813
116,117,777
117,118,761
118,119,837
119,120,805
120,121,801
121,122,726
122,123,840
123,124,786
124,125,811
125,126,766
126,127,777
127,128,839
128,129,790
129,130,811
130,131,712
131,132,854
132,133,793
133,134,802
134,135,742
135,136,813
136,137,808
137,138,806
138,139,794
139,140,729
140,141,863
141,142,792
142,143,799
143,144,721
144,145,841
145,146,800
146,147,801
147,148,790
148,149,739
149,150,855
150,151,799
151,152,798
152,153,720
153,154,840
154,155,798
155,156,797
156,157,795
157,158,742
158,159,854
159,160,790
160,161,805
161,162,711
162,163,848
163,164,788
164,165,816
165,166,771
166,167,760
167,168,842
168,169,782
169,170,808
170,171,720
171,172,851
172,173,790
173,174,801
174,175,750
175,176,790
176,177,821
177,178,805
178,179,801
179,180,727
180,181,844
181,182,797
182,183,787
183,184,739
184,185,822
185,186,801
186,187,794
187,188,794
188,189,750
189,190,850
190,191,789
191,192,793
192,193,722
193,194,826
194,195,797
195,196,802
196,197,791
197,198,738
198,199,839
199,200,107168
