bin_lo_us,bin_hi_us,count
0,1,16
1,2,61
2,3,73
3,4,73
4,5,70
5,6,73
6,7,76
7,8,74
8,9,84
9,10,84
10,11,83
11,12,96
12,13,99
13,14,103
14,15,103
15,16,112
16,17,104
17,18,138
18,19,142
19,20,137
20,21,144
21,22,141
22,23,159
23,24,197
24,25,208
25,26,268
26,27,337
27,28,333
28,29,418
29,30,482
30,31,595
31,32,720
32,33,836
33,34,1121
34,35,1702
35,36,2385
36,37,3242
37,38,5145
38,39,6737
39,40,7159
40,41,7158
41,42,7139
42,43,7087
43,44,7002
44,45,6834
45,46,6565
46,47,6252
47,48,5731
48,49,5437
49,50,5001
50,51,4611
51,52,4281
52,53,3979
53,54,3696
54,55,3493
55,56,3292
56,57,3073
57,58,2919
58,59,2678
59,60,2555
60,61,2412
61,62,2360
62,63,2319
63,64,2217
64,65,2155
65,66,2027
66,67,1942
67,68,1905
68,69,1834
69,70,1784
70,71,1740
71,72,1648
72,73,1620
73,74,1583
74,75,1513
75,76,1455
76,77,1428
77,78,1331
78,79,1312
79,80,1287
80,81,1261
81,82,1232
82,83,1217
83,84,1180
84,85,1159
85,86,1138
86,87,1090
87,88,1064
88,89,1000
89,90,1012
90,91,1002
91,92,981
92,93,954
93,94,940
94,95,910
95,96,884
96,97,870
97,98,855
98,99,831
99,100,813
100,101,797
101,102,737
102,103,770
103,104,746
104,105,742
105,106,738
106,107,728
107,108,723
108,109,720
109,110,704
110,111,692
111,112,676
112,113,665
113,114,664
114,115,653
115,116,629
116,117,623
117,118,614
118,119,592
119,120,601
120,121,589
121,122,572
122,123,562
123,124,557
124,125,553
125,126,547
126,127,546
127,128,543
128,129,537
129,130,509
130,131,515
131,132,506
132,133,500
133,134,488
134,135,483
135,136,483
136,137,479
137,138,464
138,139,455
139,140,455
140,141,452
141,142,416
142,143,448
143,144,442
144,145,429
145,146,412
146,147,406
147,148,406
148,149,406
149,150,399
150,151,399
151,152,399
152,153,399
153,154,396
154,155,399
155,156,387
156,157,378
157,158,377
158,159,361
159,160,363
160,161,357
161,162,352
162,163,349
163,164,337
164,165,336
165,166,336
166,167,329
167,168,329
168,169,323
169,170,322
170,171,307
171,172,322
172,173,322
173,174,322
174,175,317
175,176,308
176,177,306
177,178,298
178,179,289
179,180,287
180,181,281
181,182,280
182,183,258
183,184,280
184,185,280
185,186,280
186,187,280
187,188,280
188,189,280
189,190,280
190,191,280
191,192,278
192,193,271
193,194,257
194,195,249
195,196,245
196,197,245
197,198,245
198,199,241
199,200,29197
