bin_lo_us,bin_hi_us,count
0,1,0
1,2,32
2,3,568
3,4,1917
4,5,3787
5,6,5643
6,7,6783
7,8,7119
8,9,7175
9,10,7069
10,11,7156
11,12,7080
12,13,7028
13,14,6820
14,15,6624
15,16,6246
16,17,5798
17,18,5382
18,19,4953
19,20,4581
20,21,4321
21,22,3969
22,23,3742
23,24,3464
24,25,3304
25,26,3125
26,27,2942
27,28,2764
28,29,2617
29,30,2493
30,31,2444
31,32,2330
32,33,2192
33,34,2123
34,35,2000
35,36,1930
36,37,1846
37,38,1797
38,39,1758
39,40,1708
40,41,1699
41,42,1682
42,43,1622
43,44,1565
44,45,1539
45,46,1434
46,47,1424
47,48,1380
48,49,1304
49,50,1301
50,51,1254
51,52,1213
52,53,1156
53,54,1125
54,55,1115
55,56,1056
56,57,1045
57,58,1028
58,59,977
59,60,952
60,61,928
61,62,940
62,63,901
63,64,899
64,65,876
65,66,871
66,67,880
67,68,839
68,69,855
69,70,847
70,71,821
71,72,825
72,73,795
73,74,803
74,75,760
75,76,765
76,77,744
77,78,725
78,79,724
79,80,706
80,81,694
81,82,693
82,83,647
83,84,687
84,85,616
85,86,660
86,87,611
87,88,617
88,89,597
89,90,583
90,91,606
91,92,556
92,93,582
93,94,537
94,95,564
95,96,545
96,97,539
97,98,534
98,99,493
99,100,525
100,101,473
101,102,505
102,103,490
103,104,483
104,105,475
105,106,458
106,107,478
107,108,460
108,109,474
109,110,439
110,111,473
111,112,421
112,113,451
113,114,439
114,115,428
115,116,416
116,117,399
117,118,429
118,119,378
119,120,421
120,121,380
121,122,371
122,123,388
123,124,367
124,125,391
125,126,359
126,127,386
127,128,348
128,129,361
129,130,360
130,131,347
131,132,355
132,133,340
133,134,366
134,135,324
135,136,346
136,137,325
137,138,343
138,139,334
139,140,334
140,141,328
141,142,314
142,143,342
143,144,281
144,145,295
145,146,280
146,147,284
147,148,281
148,149,285
149,150,284
150,151,283
151,152,266
152,153,278
153,154,271
154,155,282
155,156,272
156,157,297
157,158,268
158,159,299
159,160,265
160,161,279
161,162,265
162,163,265
163,164,276
164,165,250
165,166,254
166,167,244
167,168,231
168,169,227
169,170,214
170,171,242
171,172,218
172,173,245
173,174,206
174,175,236
175,176,221
176,177,214
177,178,226
178,179,217
179,180,231
180,181,223
181,182,238
182,183,218
183,184,232
184,185,205
185,186,220
186,187,233
187,188,220
188,189,237
189,190,216
190,191,229
191,192,209
192,193,218
193,194,199
194,195,201
195,196,210
196,197,179
197,198,193
198,199,168
199,200,22574
