bin_lo_us,bin_hi_us,count
0,1,0
1,2,535
2,3,3398
3,4,6350
4,5,7163
5,6,7137
6,7,7170
7,8,7126
8,9,7187
9,10,7146
10,11,7155
11,12,7148
12,13,7140
13,14,7190
14,15,7129
15,16,7151
16,17,7099
17,18,7176
18,19,7109
19,20,7128
20,21,7136
21,22,7087
22,23,7074
23,24,7048
24,25,7115
25,26,6974
26,27,6961
27,28,6841
28,29,6682
29,30,6365
30,31,5885
31,32,5380
32,33,4826
33,34,4312
34,35,3819
35,36,3465
36,37,3132
37,38,2784
38,39,2490
39,40,2335
40,41,2101
41,42,1851
42,43,1768
43,44,1621
44,45,1505
45,46,1393
46,47,1269
47,48,1158
48,49,1055
49,50,964
50,51,932
51,52,899
52,53,846
53,54,799
54,55,767
55,56,720
56,57,653
57,58,617
58,59,554
59,60,535
60,61,486
61,62,448
62,63,407
63,64,384
64,65,362
65,66,349
66,67,306
67,68,294
68,69,273
69,70,254
70,71,231
71,72,228
72,73,216
73,74,206
74,75,198
75,76,186
76,77,175
77,78,175
78,79,167
79,80,157
80,81,148
81,82,129
82,83,132
83,84,131
84,85,127
85,86,110
86,87,109
87,88,99
88,89,92
89,90,84
90,91,74
91,92,77
92,93,74
93,94,60
94,95,57
95,96,57
96,97,54
97,98,55
98,99,58
99,100,55
100,101,54
101,102,56
102,103,49
103,104,50
104,105,48
105,106,50
106,107,46
107,108,39
108,109,31
109,110,25
110,111,15
111,112,13
112,113,14
113,114,10
114,115,5
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
120,121,0
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
