bin_lo_us,bin_hi_us,count
0,1,10
1,2,98
2,3,85
3,4,87
4,5,95
5,6,90
6,7,93
7,8,94
8,9,93
9,10,96
10,11,93
11,12,97
12,13,97
13,14,96
14,15,91
15,16,103
16,17,95
17,18,100
18,19,110
19,20,100
20,21,109
21,22,92
22,23,95
23,24,121
24,25,115
25,26,101
26,27,112
27,28,110
28,29,115
29,30,116
30,31,114
31,32,135
32,33,129
33,34,119
34,35,134
35,36,110
36,37,132
37,38,132
38,39,126
39,40,144
40,41,133
41,42,153
42,43,137
43,44,141
44,45,136
45,46,156
46,47,146
47,48,154
48,49,155
49,50,149
50,51,167
51,52,132
52,53,168
53,54,186
54,55,163
55,56,170
56,57,180
57,58,169
58,59,177
59,60,176
60,61,173
61,62,187
62,63,179
63,64,170
64,65,188
65,66,202
66,67,199
67,68,224
68,69,229
69,70,225
70,71,219
71,72,231
72,73,213
73,74,237
74,75,239
75,76,206
76,77,225
77,78,254
78,79,278
79,80,267
80,81,269
81,82,303
82,83,274
83,84,272
84,85,337
85,86,309
86,87,317
87,88,305
88,89,302
89,90,341
90,91,385
91,92,305
92,93,353
93,94,331
94,95,342
95,96,375
96,97,359
97,98,417
98,99,404
99,100,436
100,101,411
101,102,475
102,103,468
103,104,456
104,105,569
105,106,547
106,107,539
107,108,518
108,109,593
109,110,583
110,111,550
111,112,618
112,113,630
113,114,598
114,115,648
115,116,664
116,117,571
117,118,744
118,119,820
119,120,861
120,121,882
121,122,891
122,123,911
123,124,1000
124,125,1003
125,126,1005
126,127,1013
127,128,1136
128,129,1157
129,130,1342
130,131,1404
131,132,1405
132,133,1510
133,134,1589
134,135,1639
135,136,1848
136,137,2167
137,138,2286
138,139,2512
139,140,2762
140,141,3132
141,142,3783
142,143,4695
143,144,6045
144,145,7777
145,146,11174
146,147,16991
147,148,28718
148,149,38750
149,150,43709
150,151,46247
151,152,48090
152,153,48833
153,154,49784
154,155,50207
155,156,50572
156,157,51145
157,158,44050
158,159,51839
159,160,52036
160,161,52077
161,162,51851
162,163,52025
163,164,52301
164,165,52458
165,166,52562
166,167,52605
167,168,52642
168,169,52910
169,170,52882
170,171,52856
171,172,53168
172,173,52871
173,174,52903
174,175,53334
175,176,53492
176,177,53435
177,178,53532
178,179,53651
179,180,53747
180,181,53672
181,182,53652
182,183,53856
183,184,53860
184,185,53975
185,186,53756
186,187,53546
187,188,53687
188,189,53689
189,190,53620
190,191,53864
191,192,53896
192,193,53767
193,194,53803
194,195,54109
195,196,54283
196,197,54094
197,198,46374
198,199,54294
199,200,5598194
