bin_lo_us,bin_hi_us,count
0,1,32
1,2,210
2,3,236
3,4,251
4,5,230
5,6,263
6,7,268
7,8,262
8,9,275
9,10,318
10,11,309
11,12,343
12,13,377
13,14,358
14,15,426
15,16,406
16,17,408
17,18,486
18,19,500
19,20,523
20,21,565
21,22,623
22,23,677
23,24,702
24,25,816
25,26,862
26,27,978
27,28,1135
28,29,1257
29,30,1410
30,31,1755
31,32,2295
32,33,2645
33,34,3651
34,35,5108
35,36,6346
36,37,13057
37,38,28295
38,39,41080
39,40,45256
40,41,46750
41,42,48140
42,43,48343
43,44,48870
44,45,49331
45,46,49927
46,47,49801
47,48,50070
48,49,50433
49,50,50719
50,51,50884
51,52,50957
52,53,50921
53,54,51004
54,55,51256
55,56,51426
56,57,51430
57,58,51628
58,59,51667
59,60,51849
60,61,51954
61,62,51835
62,63,51969
63,64,51911
64,65,51153
65,66,49526
66,67,46501
67,68,42511
68,69,37931
69,70,34653
70,71,31903
71,72,28703
72,73,25899
73,74,23447
74,75,21389
75,76,17001
76,77,18507
77,78,17241
78,79,15738
79,80,14187
80,81,12985
81,82,11871
82,83,10950
83,84,10252
84,85,9699
85,86,8960
86,87,8047
87,88,7221
88,89,6710
89,90,6561
90,91,6444
91,92,6308
92,93,6038
93,94,5571
94,95,4904
95,96,4261
96,97,3884
97,98,3486
98,99,3290
99,100,3216
100,101,3070
101,102,3032
102,103,3011
103,104,3055
104,105,3047
105,106,3048
106,107,3068
107,108,3050
108,109,3099
109,110,3080
110,111,3057
111,112,3116
112,113,3126
113,114,3060
114,115,3133
115,116,3169
116,117,2713
117,118,3067
118,119,3074
119,120,3047
120,121,3016
121,122,2978
122,123,2741
123,124,2198
124,125,1744
125,126,1309
126,127,1053
127,128,937
128,129,889
129,130,799
130,131,756
131,132,730
132,133,714
133,134,684
134,135,653
135,136,637
136,137,618
137,138,599
138,139,573
139,140,540
140,141,518
141,142,493
142,143,467
143,144,453
144,145,441
145,146,440
146,147,434
147,148,425
148,149,410
149,150,392
150,151,378
151,152,367
152,153,359
153,154,357
154,155,355
155,156,346
156,157,326
157,158,271
158,159,301
159,160,286
160,161,272
161,162,261
162,163,257
163,164,247
164,165,227
165,166,217
166,167,217
167,168,217
168,169,211
169,170,210
170,171,209
171,172,203
172,173,190
173,174,182
174,175,182
175,176,181
176,177,175
177,178,169
178,179,168
179,180,159
180,181,146
181,182,140
182,183,137
183,184,126
184,185,126
185,186,126
186,187,122
187,188,119
188,189,119
189,190,114
190,191,112
191,192,112
192,193,112
193,194,109
194,195,105
195,196,105
196,197,105
197,198,81
198,199,85
199,200,2671
