bin_lo_us,bin_hi_us,count
0,1,0
1,2,1
2,3,0
3,4,4
4,5,0
5,6,5
6,7,8
7,8,13
8,9,23
9,10,40
10,11,75
11,12,137
12,13,176
13,14,208
14,15,256
15,16,303
16,17,384
17,18,444
18,19,485
19,20,508
20,21,558
21,22,591
22,23,581
23,24,607
24,25,615
25,26,632
26,27,660
27,28,705
28,29,744
29,30,738
30,31,774
31,32,837
32,33,847
33,34,833
34,35,955
35,36,1048
36,37,1118
37,38,1242
38,39,1390
39,40,1536
40,41,1642
41,42,1837
42,43,2082
43,44,2547
44,45,3043
45,46,3811
46,47,4624
47,48,5314
48,49,6387
49,50,7841
50,51,9507
51,52,10966
52,53,12705
53,54,14982
54,55,17396
55,56,19746
56,57,22148
57,58,24064
58,59,25576
59,60,26258
60,61,27021
61,62,27530
62,63,27692
63,64,28423
64,65,28415
65,66,28605
66,67,28641
67,68,28548
68,69,28565
69,70,28625
70,71,28573
71,72,28236
72,73,28326
73,74,28059
74,75,27244
75,76,26990
76,77,26125
77,78,24611
78,79,23364
79,80,21999
80,81,20449
81,82,18764
82,83,17163
83,84,15599
84,85,14058
85,86,12808
86,87,11538
87,88,10477
88,89,9677
89,90,8741
90,91,8083
91,92,7355
92,93,6664
93,94,6124
94,95,5686
95,96,5201
96,97,4749
97,98,4452
98,99,4110
99,100,3755
100,101,3439
101,102,3279
102,103,3027
103,104,2766
104,105,2637
105,106,2530
106,107,2369
107,108,2211
108,109,2010
109,110,1869
110,111,1806
111,112,1667
112,113,1544
113,114,1471
114,115,1402
115,116,1312
116,117,1277
117,118,1208
118,119,1124
119,120,1071
120,121,1042
121,122,969
122,123,930
123,124,903
124,125,840
125,126,793
126,127,776
127,128,737
128,129,697
129,130,691
130,131,658
131,132,622
132,133,587
133,134,567
134,135,558
135,136,542
136,137,512
137,138,487
138,139,467
139,140,435
140,141,414
141,142,383
142,143,369
143,144,359
144,145,341
145,146,334
146,147,316
147,148,307
148,149,295
149,150,294
150,151,291
151,152,279
152,153,270
153,154,255
154,155,252
155,156,252
156,157,232
157,158,227
158,159,219
159,160,224
160,161,221
161,162,211
162,163,197
163,164,173
164,165,164
165,166,161
166,167,161
167,168,150
168,169,141
169,170,140
170,171,135
171,172,126
172,173,126
173,174,126
174,175,126
175,176,112
176,177,105
177,178,105
178,179,98
179,180,98
180,181,91
181,182,79
182,183,84
183,184,84
184,185,84
185,186,73
186,187,70
187,188,65
188,189,63
189,190,63
190,191,63
191,192,63
192,193,63
193,194,63
194,195,57
195,196,56
196,197,56
197,198,56
198,199,56
199,200,1064
