bin_lo_us,bin_hi_us,count
0,1,0
1,2,8
2,3,25
3,4,13
4,5,29
5,6,91
6,7,180
7,8,229
8,9,212
9,10,575
10,11,910
11,12,1235
12,13,1875
13,14,2557
14,15,3255
15,16,3541
16,17,4197
17,18,4153
18,19,4286
19,20,4214
20,21,3876
21,22,3395
22,23,2904
23,24,2586
24,25,2131
25,26,1714
26,27,1341
27,28,1184
28,29,1021
29,30,842
30,31,755
31,32,645
32,33,585
33,34,610
34,35,453
35,36,428
36,37,439
37,38,388
38,39,377
39,40,313
40,41,347
41,42,361
42,43,315
43,44,282
44,45,228
45,46,235
46,47,261
47,48,242
48,49,199
49,50,208
50,51,201
51,52,232
52,53,164
53,54,184
54,55,169
55,56,174
56,57,158
57,58,144
58,59,159
59,60,146
60,61,145
61,62,136
62,63,132
63,64,103
64,65,134
65,66,107
66,67,109
67,68,127
68,69,92
69,70,123
70,71,99
71,72,95
72,73,93
73,74,85
74,75,88
75,76,68
76,77,82
77,78,79
78,79,84
79,80,52
80,81,49
81,82,67
82,83,67
83,84,50
84,85,64
85,86,55
86,87,56
87,88,67
88,89,48
89,90,54
90,91,52
91,92,70
92,93,56
93,94,61
94,95,60
95,96,56
96,97,61
97,98,45
98,99,44
99,100,55
100,101,51
101,102,49
102,103,37
103,104,34
104,105,33
105,106,31
106,107,35
107,108,25
108,109,13
109,110,17
110,111,12
111,112,11
112,113,8
113,114,8
114,115,3
115,116,8
116,117,2
117,118,3
118,119,1
119,120,2
120,121,2
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
