bin_lo_us,bin_hi_us,count
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,2
8,9,3
9,10,6
10,11,4
11,12,47
12,13,54
13,14,100
14,15,99
15,16,119
16,17,140
17,18,182
18,19,178
19,20,197
20,21,286
21,22,297
22,23,416
23,24,534
24,25,639
25,26,793
26,27,914
27,28,1026
28,29,1179
29,30,1182
30,31,1290
31,32,1447
32,33,1669
33,34,1844
34,35,2087
35,36,2465
36,37,2794
37,38,2934
38,39,2984
39,40,3190
40,41,3288
41,42,3419
42,43,3390
43,44,3246
44,45,3120
45,46,3209
46,47,3311
47,48,3559
48,49,3441
49,50,3291
50,51,3272
51,52,3122
52,53,3003
53,54,3087
54,55,2969
55,56,2864
56,57,2826
57,58,2813
58,59,2973
59,60,3044
60,61,3194
61,62,3399
62,63,3396
63,64,3619
64,65,3640
65,66,3727
66,67,3458
67,68,3546
68,69,3458
69,70,3392
70,71,3161
71,72,2968
72,73,2989
73,74,2759
74,75,2825
75,76,3086
76,77,2995
77,78,2887
78,79,3116
79,80,3179
80,81,3015
81,82,2982
82,83,2907
83,84,2865
84,85,2980
85,86,3064
86,87,3196
87,88,3049
88,89,3192
89,90,3284
90,91,3345
91,92,3483
92,93,3439
93,94,3349
94,95,3346
95,96,3591
96,97,3409
97,98,3279
98,99,2996
99,100,3009
100,101,2911
101,102,2918
102,103,2909
103,104,2590
104,105,2520
105,106,2779
106,107,2902
107,108,3020
108,109,3265
109,110,3344
110,111,3521
111,112,3654
112,113,3863
113,114,3969
114,115,4050
115,116,4026
116,117,3753
117,118,3737
118,119,3886
119,120,3598
120,121,3523
121,122,3404
122,123,3387
123,124,3501
124,125,3487
125,126,3525
126,127,3448
127,128,3222
128,129,3197
129,130,3044
130,131,2933
131,132,2901
132,133,2890
133,134,2942
134,135,2927
135,136,3177
136,137,3331
137,138,3349
138,139,3371
139,140,3520
140,141,3467
141,142,3596
142,143,3509
143,144,3557
144,145,3418
145,146,3321
146,147,3098
147,148,2966
148,149,2892
149,150,2844
150,151,2900
151,152,3009
152,153,2948
153,154,3086
154,155,3016
155,156,2963
156,157,3007
157,158,2965
158,159,2959
159,160,3115
160,161,3264
161,162,3178
162,163,3202
163,164,3343
164,165,3528
165,166,3389
166,167,3346
167,168,3404
168,169,3378
169,170,3174
170,171,3115
171,172,3113
172,173,2981
173,174,2844
174,175,2886
175,176,2799
176,177,2736
177,178,2701
178,179,2771
179,180,2890
180,181,2973
181,182,3375
182,183,3436
183,184,3400
184,185,3546
185,186,3748
186,187,3676
187,188,3634
188,189,3567
189,190,3622
190,191,3439
191,192,3282
192,193,3398
193,194,3249
194,195,3266
195,196,3281
196,197,3305
197,198,3212
198,199,3254
199,200,504019
