bin_lo_us,bin_hi_us,count
0,1,21
1,2,27
2,3,0
3,4,0
4,5,0
5,6,0
6,7,5
7,8,55
8,9,61
9,10,82
10,11,75
11,12,171
12,13,139
13,14,151
14,15,190
15,16,448
16,17,463
17,18,528
18,19,567
19,20,555
20,21,878
21,22,960
22,23,1226
23,24,1457
24,25,1679
25,26,2251
26,27,1901
27,28,2150
28,29,2441
29,30,2375
30,31,2863
31,32,2721
32,33,2787
33,34,2877
34,35,3547
35,36,3765
36,37,3556
37,38,3859
38,39,3627
39,40,3360
40,41,3389
41,42,3235
42,43,3112
43,44,3087
44,45,3177
45,46,3298
46,47,3117
47,48,3175
48,49,3050
49,50,2913
50,51,2886
51,52,2871
52,53,2837
53,54,2838
54,55,2836
55,56,2855
56,57,2932
57,58,2886
58,59,2921
59,60,2984
60,61,2972
61,62,3031
62,63,2982
63,64,2840
64,65,2878
65,66,2819
66,67,2961
67,68,2849
68,69,2734
69,70,2745
70,71,2774
71,72,2721
72,73,2701
73,74,2646
74,75,2672
75,76,2823
76,77,2848
77,78,2822
78,79,2786
79,80,2934
80,81,2920
81,82,2795
82,83,2854
83,84,2808
84,85,2815
85,86,2750
86,87,2734
87,88,2782
88,89,2892
89,90,2799
90,91,2871
91,92,2898
92,93,2982
93,94,2966
94,95,2977
95,96,2991
96,97,3033
97,98,3062
98,99,2931
99,100,3130
100,101,2987
101,102,3077
102,103,3044
103,104,2911
104,105,2949
105,106,3082
106,107,3154
107,108,3062
108,109,3250
109,110,3250
110,111,3368
111,112,3281
112,113,3282
113,114,3240
114,115,3392
115,116,3332
116,117,3367
117,118,3298
118,119,3179
119,120,3283
120,121,3300
121,122,3142
122,123,3121
123,124,3084
124,125,3290
125,126,3111
126,127,3114
127,128,3008
128,129,3132
129,130,3113
130,131,2983
131,132,2978
132,133,3053
133,134,3004
134,135,3005
135,136,2906
136,137,2943
137,138,3105
138,139,3032
139,140,2926
140,141,3066
141,142,3131
142,143,3065
143,144,2978
144,145,2935
145,146,3064
146,147,3060
147,148,2978
148,149,2903
149,150,2803
150,151,2961
151,152,2899
152,153,2737
153,154,2789
154,155,2697
155,156,2690
156,157,2575
157,158,2601
158,159,2497
159,160,2612
160,161,2563
161,162,2394
162,163,2497
163,164,2464
164,165,2492
165,166,2480
166,167,2404
167,168,2524
168,169,2609
169,170,2553
170,171,2486
171,172,2413
172,173,2486
173,174,2361
174,175,2434
175,176,2350
176,177,2401
177,178,2350
178,179,2337
179,180,2229
180,181,2053
181,182,2200
182,183,2048
183,184,2022
184,185,1949
185,186,2082
186,187,2053
187,188,2046
188,189,2034
189,190,2037
190,191,1995
191,192,1979
192,193,2007
193,194,1957
194,195,2013
195,196,1997
196,197,1928
197,198,1886
198,199,1813
199,200,550726
