bin_lo_us,bin_hi_us,count
0,1,22
1,2,26
2,3,0
3,4,0
4,5,0
5,6,0
6,7,5
7,8,52
8,9,61
9,10,83
10,11,75
11,12,169
12,13,115
13,14,144
14,15,176
15,16,414
16,17,457
17,18,522
18,19,565
19,20,548
20,21,862
21,22,922
22,23,1173
23,24,1443
24,25,1600
25,26,2171
26,27,1861
27,28,2112
28,29,2327
29,30,2237
30,31,2745
31,32,2565
32,33,2534
33,34,2603
34,35,3233
35,36,3525
36,37,3498
37,38,3657
38,39,3563
39,40,3478
40,41,3521
41,42,3438
42,43,3236
43,44,3074
44,45,3150
45,46,3330
46,47,3242
47,48,3295
48,49,3089
49,50,3086
50,51,2966
51,52,2839
52,53,2764
53,54,2732
54,55,2656
55,56,2532
56,57,2440
57,58,2663
58,59,2800
59,60,2791
60,61,2953
61,62,3028
62,63,3147
63,64,3342
64,65,3348
65,66,3286
66,67,3282
67,68,3315
68,69,3088
69,70,3014
70,71,2762
71,72,2569
72,73,2563
73,74,2538
74,75,2654
75,76,2798
76,77,2674
77,78,2736
78,79,2886
79,80,2792
80,81,2711
81,82,2737
82,83,2558
83,84,2626
84,85,2705
85,86,2864
86,87,2785
87,88,2745
88,89,2929
89,90,3040
90,91,3164
91,92,3138
92,93,3102
93,94,3007
94,95,3091
95,96,3243
96,97,3085
97,98,2996
98,99,2728
99,100,2724
100,101,2692
101,102,2659
102,103,2497
103,104,2280
104,105,2366
105,106,2610
106,107,2748
107,108,2848
108,109,3050
109,110,3221
110,111,3378
111,112,3507
112,113,3697
113,114,3704
114,115,3876
115,116,3809
116,117,3612
117,118,3576
118,119,3764
119,120,3516
120,121,3402
121,122,3308
122,123,3303
123,124,3469
124,125,3471
125,126,3481
126,127,3385
127,128,3224
128,129,3140
129,130,3015
130,131,2902
131,132,2864
132,133,2917
133,134,2899
134,135,2918
135,136,3164
136,137,3334
137,138,3324
138,139,3372
139,140,3502
140,141,3465
141,142,3579
142,143,3519
143,144,3511
144,145,3427
145,146,3293
146,147,3084
147,148,2937
148,149,2917
149,150,2802
150,151,2916
151,152,2977
152,153,2962
153,154,3036
154,155,3022
155,156,2966
156,157,2989
157,158,2954
158,159,2932
159,160,3126
160,161,3247
161,162,3191
162,163,3155
163,164,3333
164,165,3513
165,166,3383
166,167,3338
167,168,3418
168,169,3329
169,170,3165
170,171,3111
171,172,3127
172,173,2948
173,174,2876
174,175,2853
175,176,2754
176,177,2762
177,178,2675
178,179,2759
179,180,2871
180,181,3006
181,182,3353
182,183,3399
183,184,3405
184,185,3570
185,186,3712
186,187,3695
187,188,3622
188,189,3534
189,190,3649
190,191,3432
191,192,3289
192,193,3365
193,194,3256
194,195,3267
195,196,3326
196,197,3233
197,198,3240
198,199,3253
199,200,504004
