bin_lo_us,bin_hi_us,count
0,1,0
1,2,0
2,3,0
3,4,0
4,5,2
5,6,7
6,7,26
7,8,90
8,9,116
9,10,137
10,11,216
11,12,356
12,13,569
13,14,784
14,15,1047
15,16,1328
16,17,1531
17,18,1898
18,19,2451
19,20,2869
20,21,3116
21,22,3331
22,23,3559
23,24,3836
24,25,3951
25,26,3844
26,27,3773
27,28,3643
28,29,3536
29,30,3419
30,31,3215
31,32,3113
32,33,3053
33,34,3028
34,35,3032
35,36,3116
36,37,3176
37,38,3064
38,39,3117
39,40,3258
40,41,3229
41,42,3085
42,43,3185
43,44,3129
44,45,3165
45,46,3123
46,47,3185
47,48,3180
48,49,3168
49,50,3230
50,51,3252
51,52,3207
52,53,3204
53,54,3301
54,55,3261
55,56,3224
56,57,3243
57,58,3246
58,59,3196
59,60,3088
60,61,3182
61,62,3081
62,63,3100
63,64,3006
64,65,3115
65,66,3179
66,67,3145
67,68,3122
68,69,3273
69,70,3265
70,71,3157
71,72,3206
72,73,3130
73,74,3125
74,75,3150
75,76,3109
76,77,3094
77,78,3151
78,79,3167
79,80,3044
80,81,3184
81,82,3091
82,83,3115
83,84,3015
84,85,3153
85,86,2999
86,87,3231
87,88,2978
88,89,2930
89,90,2957
90,91,2939
91,92,2857
92,93,2852
93,94,2811
94,95,2744
95,96,2812
96,97,2702
97,98,2719
98,99,2674
99,100,2782
100,101,2718
101,102,2694
102,103,2646
103,104,2566
104,105,2611
105,106,2419
106,107,2511
107,108,2359
108,109,2437
109,110,2331
110,111,2369
111,112,2273
112,113,2136
113,114,2271
114,115,2071
115,116,2179
116,117,2135
117,118,2239
118,119,2044
119,120,1972
120,121,2062
121,122,2028
122,123,2034
123,124,1985
124,125,2047
125,126,1974
126,127,1947
127,128,1878
128,129,1914
129,130,1929
130,131,1785
131,132,1788
132,133,1715
133,134,1821
134,135,1799
135,136,1820
136,137,1796
137,138,1756
138,139,1784
139,140,1824
140,141,1650
141,142,1669
142,143,1627
143,144,1633
144,145,1657
145,146,1596
146,147,1572
147,148,1600
148,149,1583
149,150,1520
150,151,1580
151,152,1538
152,153,1523
153,154,1528
154,155,1521
155,156,1557
156,157,1533
157,158,1522
158,159,1492
159,160,1517
160,161,1419
161,162,1463
162,163,1430
163,164,1404
164,165,1413
165,166,1370
166,167,1397
167,168,1386
168,169,1364
169,170,1336
170,171,1312
171,172,1275
172,173,1247
173,174,1279
174,175,1263
175,176,1296
176,177,1301
177,178,1286
178,179,1231
179,180,1300
180,181,1334
181,182,1237
182,183,1255
183,184,1282
184,185,1265
185,186,1252
186,187,1277
187,188,1274
188,189,1252
189,190,1232
190,191,1209
191,192,1178
192,193,1172
193,194,1199
194,195,1126
195,196,1115
196,197,1147
197,198,1104
198,199,1094
199,200,616861
