bin_lo_us,bin_hi_us,count
0,1,0
1,2,56
2,3,885
3,4,2460
4,5,5369
5,6,9593
6,7,13404
7,8,17536
8,9,21042
9,10,23932
10,11,25880
11,12,26884
12,13,27073
13,14,26450
14,15,25027
15,16,23393
16,17,21657
17,18,19874
18,19,18359
19,20,16992
20,21,15853
21,22,14745
22,23,13783
23,24,12899
24,25,12187
25,26,11576
26,27,10897
27,28,10363
28,29,9889
29,30,9312
30,31,8864
31,32,8489
32,33,8151
33,34,7698
34,35,7459
35,36,7188
36,37,6958
37,38,6850
38,39,6636
39,40,6489
40,41,6328
41,42,6091
42,43,5958
43,44,5673
44,45,5386
45,46,5149
46,47,4827
47,48,4622
48,49,4434
49,50,4236
50,51,4055
51,52,4040
52,53,3878
53,54,3876
54,55,3762
55,56,3694
56,57,3610
57,58,3564
58,59,3603
59,60,3595
60,61,3589
61,62,3613
62,63,3528
63,64,3562
64,65,3477
65,66,3420
66,67,3360
67,68,3356
68,69,3366
69,70,3331
70,71,3287
71,72,3177
72,73,3139
73,74,2997
74,75,2897
75,76,2915
76,77,2719
77,78,2747
78,79,2725
79,80,2602
80,81,2559
81,82,2411
82,83,2394
83,84,2313
84,85,2237
85,86,2251
86,87,2149
87,88,2071
88,89,2101
89,90,2026
90,91,1962
91,92,1941
92,93,1971
93,94,1980
94,95,1886
95,96,1879
96,97,1832
97,98,1791
98,99,1788
99,100,1727
100,101,1798
101,102,1746
102,103,1728
103,104,1686
104,105,1728
105,106,1700
106,107,1601
107,108,1561
108,109,1558
109,110,1575
110,111,1587
111,112,1639
112,113,1512
113,114,1543
114,115,1511
115,116,1522
116,117,1414
117,118,1433
118,119,1367
119,120,1416
120,121,1487
121,122,1385
122,123,1380
123,124,1389
124,125,1369
125,126,1351
126,127,1236
127,128,1252
128,129,1306
129,130,1331
130,131,1253
131,132,1230
132,133,1241
133,134,1229
134,135,1223
135,136,1261
136,137,1158
137,138,1211
138,139,1248
139,140,1133
140,141,1193
141,142,1225
142,143,1108
143,144,1118
144,145,1100
145,146,1143
146,147,1183
147,148,1125
148,149,1046
149,150,1047
150,151,1098
151,152,1034
152,153,993
153,154,1003
154,155,996
155,156,1073
156,157,1044
157,158,973
158,159,996
159,160,990
160,161,966
161,162,1009
162,163,926
163,164,934
164,165,1026
165,166,998
166,167,962
167,168,943
168,169,935
169,170,862
170,171,929
171,172,889
172,173,874
173,174,926
174,175,925
175,176,870
176,177,932
177,178,883
178,179,833
179,180,825
180,181,818
181,182,889
182,183,916
183,184,844
184,185,798
185,186,851
186,187,880
187,188,777
188,189,806
189,190,756
190,191,766
191,192,884
192,193,813
193,194,755
194,195,766
195,196,839
196,197,790
197,198,748
198,199,738
199,200,218300
