bin_lo_us,bin_hi_us,count
0,1,0
1,2,0
2,3,0
3,4,7
4,5,65
5,6,111
6,7,229
7,8,550
8,9,824
9,10,1103
10,11,1725
11,12,2053
12,13,2528
13,14,2911
14,15,3246
15,16,3559
16,17,3606
17,18,3806
18,19,3926
19,20,3732
20,21,3665
21,22,3619
22,23,3464
23,24,3345
24,25,3306
25,26,3288
26,27,3356
27,28,3170
28,29,3110
29,30,3022
30,31,2901
31,32,2986
32,33,3098
33,34,3100
34,35,3133
35,36,3129
36,37,3117
37,38,3325
38,39,3312
39,40,3308
40,41,3181
41,42,3154
42,43,3217
43,44,3268
44,45,3276
45,46,3303
46,47,3228
47,48,3361
48,49,3426
49,50,3350
50,51,3327
51,52,3260
52,53,3223
53,54,3195
54,55,3115
55,56,3016
56,57,3010
57,58,2982
58,59,3027
59,60,2954
60,61,3053
61,62,3196
62,63,3192
63,64,3286
64,65,3274
65,66,3154
66,67,3253
67,68,3039
68,69,3109
69,70,3170
70,71,3087
71,72,3067
72,73,3078
73,74,3277
74,75,3313
75,76,3570
76,77,3622
77,78,3421
78,79,3249
79,80,3402
80,81,3373
81,82,3117
82,83,3076
83,84,3053
84,85,2900
85,86,2845
86,87,3101
87,88,3236
88,89,3191
89,90,3463
90,91,3530
91,92,3572
92,93,3674
93,94,3721
94,95,3718
95,96,3727
96,97,3783
97,98,3568
98,99,3458
99,100,3483
100,101,3401
101,102,3314
102,103,3280
103,104,3113
104,105,3133
105,106,3185
106,107,3011
107,108,2966
108,109,2991
109,110,3019
110,111,3153
111,112,3215
112,113,3169
113,114,3281
114,115,3251
115,116,3288
116,117,3232
117,118,3090
118,119,3187
119,120,3335
120,121,3328
121,122,3247
122,123,3249
123,124,3424
124,125,3290
125,126,3352
126,127,3330
127,128,3273
128,129,3270
129,130,3148
130,131,2962
131,132,2983
132,133,3062
133,134,3034
134,135,2971
135,136,3133
136,137,3173
137,138,3219
138,139,3293
139,140,3171
140,141,3236
141,142,3250
142,143,3145
143,144,3090
144,145,3164
145,146,3115
146,147,3127
147,148,3279
148,149,3345
149,150,3204
150,151,3464
151,152,3472
152,153,3241
153,154,3309
154,155,3294
155,156,3252
156,157,2965
157,158,2920
158,159,2858
159,160,3032
160,161,3124
161,162,3240
162,163,3259
163,164,3452
164,165,3438
165,166,3386
166,167,3444
167,168,3397
168,169,3415
169,170,3484
170,171,3387
171,172,3160
172,173,3193
173,174,3248
174,175,3226
175,176,3094
176,177,3020
177,178,3106
178,179,3125
179,180,3108
180,181,3052
181,182,3033
182,183,3073
183,184,3109
184,185,3134
185,186,3118
186,187,3245
187,188,3226
188,189,3207
189,190,3154
190,191,3317
191,192,3180
192,193,3264
193,194,3070
194,195,3172
195,196,3251
196,197,3233
197,198,3017
198,199,3117
199,200,437001
