bin_lo_us,bin_hi_us,count
0,1,0
1,2,72
2,3,216
3,4,843
4,5,1716
5,6,3029
6,7,4097
7,8,5192
8,9,6514
9,10,6937
10,11,7039
11,12,7164
12,13,7184
13,14,7105
14,15,7163
15,16,7116
16,17,7150
17,18,7150
18,19,7104
19,20,7133
20,21,7121
21,22,7140
22,23,7098
23,24,7059
24,25,7080
25,26,7053
26,27,6988
27,28,7011
28,29,6929
29,30,6832
30,31,6699
31,32,6482
32,33,6219
33,34,5900
34,35,5535
35,36,5048
36,37,4683
37,38,4208
38,39,3706
39,40,3233
40,41,2875
41,42,2660
42,43,2413
43,44,2226
44,45,2050
45,46,1904
46,47,1755
47,48,1569
48,49,1481
49,50,1321
50,51,1206
51,52,1135
52,53,1001
53,54,906
54,55,879
55,56,795
56,57,755
57,58,754
58,59,705
59,60,674
60,61,658
61,62,640
62,63,606
63,64,586
64,65,530
65,66,523
66,67,475
67,68,445
68,69,418
69,70,376
70,71,368
71,72,337
72,73,297
73,74,297
74,75,274
75,76,267
76,77,251
77,78,240
78,79,221
79,80,222
80,81,197
81,82,188
82,83,175
83,84,170
84,85,172
85,86,157
86,87,144
87,88,134
88,89,125
89,90,114
90,91,103
91,92,84
92,93,78
93,94,77
94,95,70
95,96,58
96,97,55
97,98,57
98,99,54
99,100,57
100,101,55
101,102,56
102,103,57
103,104,55
104,105,54
105,106,60
106,107,50
107,108,56
108,109,49
109,110,49
110,111,51
111,112,49
112,113,44
113,114,39
114,115,30
115,116,24
116,117,13
117,118,15
118,119,13
119,120,9
120,121,4
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
