bin_lo_us,bin_hi_us,count
0,1,0
1,2,513
2,3,1427
3,4,2105
4,5,3372
5,6,4010
6,7,5005
7,8,6011
8,9,6805
9,10,7120
10,11,7061
11,12,7016
12,13,6881
13,14,6758
14,15,6496
15,16,6309
16,17,5973
17,18,5658
18,19,5271
19,20,4911
20,21,4442
21,22,4154
22,23,3829
23,24,3614
24,25,3414
25,26,3211
26,27,3016
27,28,2841
28,29,2693
29,30,2600
30,31,2467
31,32,2353
32,33,2301
33,34,2185
34,35,2124
35,36,1994
36,37,1953
37,38,1879
38,39,1826
39,40,1768
40,41,1718
41,42,1662
42,43,1578
43,44,1563
44,45,1508
45,46,1461
46,47,1444
47,48,1358
48,49,1341
49,50,1296
50,51,1261
51,52,1228
52,53,1181
53,54,1135
54,55,1086
55,56,1097
56,57,1037
57,58,1045
58,59,1008
59,60,988
60,61,956
61,62,919
62,63,924
63,64,873
64,65,871
65,66,805
66,67,828
67,68,798
68,69,796
69,70,779
70,71,776
71,72,756
72,73,758
73,74,746
74,75,745
75,76,746
76,77,733
77,78,733
78,79,703
79,80,707
80,81,689
81,82,673
82,83,679
83,84,662
84,85,673
85,86,655
86,87,646
87,88,618
88,89,632
89,90,603
90,91,599
91,92,601
92,93,594
93,94,576
94,95,577
95,96,572
96,97,557
97,98,556
98,99,552
99,100,548
100,101,522
101,102,525
102,103,501
103,104,506
104,105,497
105,106,495
106,107,484
107,108,479
108,109,484
109,110,465
110,111,476
111,112,459
112,113,455
113,114,434
114,115,443
115,116,430
116,117,424
117,118,414
118,119,412
119,120,386
120,121,404
121,122,394
122,123,389
123,124,390
124,125,388
125,126,397
126,127,376
127,128,384
128,129,366
129,130,367
130,131,363
131,132,368
132,133,360
133,134,353
134,135,358
135,136,337
136,137,338
137,138,349
138,139,342
139,140,333
140,141,324
141,142,321
142,143,320
143,144,318
144,145,307
145,146,292
146,147,285
147,148,292
148,149,278
149,150,276
150,151,284
151,152,277
152,153,280
153,154,275
154,155,279
155,156,286
156,157,267
157,158,288
158,159,283
159,160,279
160,161,276
161,162,280
162,163,277
163,164,279
164,165,275
165,166,269
166,167,266
167,168,263
168,169,246
169,170,238
170,171,235
171,172,225
172,173,226
173,174,228
174,175,224
175,176,225
176,177,222
177,178,220
178,179,228
179,180,218
180,181,227
181,182,220
182,183,218
183,184,230
184,185,225
185,186,222
186,187,222
187,188,220
188,189,226
189,190,224
190,191,226
191,192,225
192,193,223
193,194,223
194,195,221
195,196,224
196,197,216
197,198,206
198,199,200
199,200,22993
