bin_lo_us,bin_hi_us,count
0,1,32
1,2,56
2,3,56
3,4,70
4,5,112
5,6,112
6,7,112
7,8,160
8,9,168
9,10,168
10,11,167
11,12,224
12,13,224
13,14,224
14,15,274
15,16,280
16,17,280
17,18,312
18,19,336
19,20,336
20,21,361
21,22,392
22,23,392
23,24,392
24,25,428
25,26,448
26,27,448
27,28,448
28,29,492
29,30,504
30,31,504
31,32,536
32,33,560
33,34,560
34,35,595
35,36,616
36,37,616
37,38,627
38,39,672
39,40,672
40,41,688
41,42,728
42,43,728
43,44,728
44,45,770
45,46,784
46,47,784
47,48,806
48,49,840
49,50,840
50,51,840
51,52,755
52,53,896
53,54,896
54,55,908
55,56,952
56,57,952
57,58,952
58,59,986
59,60,1008
60,61,1008
61,62,1035
62,63,1064
63,64,1064
64,65,1085
65,66,1120
66,67,1120
67,68,1122
68,69,1176
69,70,1176
70,71,1176
71,72,1226
72,73,1232
73,74,1232
74,75,1253
75,76,1288
76,77,1288
77,78,1289
78,79,1344
79,80,1344
80,81,1344
81,82,1376
82,83,1400
83,84,1400
84,85,1431
85,86,1456
86,87,1456
87,88,1472
88,89,1512
89,90,1512
90,91,1512
91,92,1344
92,93,1568
93,94,1568
94,95,1583
95,96,1624
96,97,1624
97,98,1624
98,99,1679
99,100,1680
100,101,1680
101,102,1714
102,103,1736
103,104,1736
104,105,1740
105,106,1792
106,107,1792
107,108,1792
108,109,1845
109,110,1848
110,111,1848
111,112,1895
112,113,1904
113,114,1904
114,115,1922
115,116,1960
116,117,1960
117,118,1973
118,119,2016
119,120,2016
120,121,2017
121,122,2072
122,123,2072
123,124,2072
124,125,2100
125,126,2128
126,127,2128
127,128,2146
128,129,2184
129,130,2184
130,131,2184
131,132,2226
132,133,1920
133,134,2240
134,135,2262
135,136,2296
136,137,2296
137,138,2296
138,139,2349
139,140,2352
140,141,2352
141,142,2373
142,143,2408
143,144,2408
144,145,2408
145,146,2457
146,147,2463
147,148,2425
148,149,2443
149,150,2462
150,151,2444
151,152,2414
152,153,2464
153,154,2453
154,155,2424
155,156,2464
156,157,2454
157,158,2433
158,159,2451
159,160,2464
160,161,2440
161,162,2445
162,163,2466
163,164,2454
164,165,2427
165,166,2466
166,167,2461
167,168,2424
168,169,2457
169,170,2464
170,171,2452
171,172,2428
172,173,2469
173,174,2112
174,175,2453
175,176,2441
176,177,2466
177,178,2452
178,179,2433
179,180,2458
180,181,2461
181,182,2424
182,183,2417
183,184,2461
184,185,2435
185,186,2424
186,187,2464
187,188,2438
188,189,2410
189,190,2433
190,191,2455
191,192,2420
192,193,2423
193,194,2461
194,195,2432
195,196,2414
196,197,2464
197,198,2452
198,199,2425
199,200,739720
