bin_lo_us,bin_hi_us,count
0,1,0
1,2,25
2,3,110
3,4,517
4,5,1160
5,6,2404
6,7,3454
7,8,4536
8,9,5897
9,10,6575
10,11,6949
11,12,7068
12,13,7099
13,14,7068
14,15,7112
15,16,7001
16,17,7027
17,18,6997
18,19,6930
19,20,6806
20,21,6659
21,22,6352
22,23,6052
23,24,5749
24,25,5350
25,26,5017
26,27,4749
27,28,4406
28,29,4064
29,30,3668
30,31,3430
31,32,3204
32,33,3041
33,34,2872
34,35,2727
35,36,2648
36,37,2515
37,38,2348
38,39,2272
39,40,2180
40,41,2064
41,42,1968
42,43,1888
43,44,1791
44,45,1739
45,46,1682
46,47,1659
47,48,1595
48,49,1599
49,50,1516
50,51,1502
51,52,1451
52,53,1376
53,54,1303
54,55,1235
55,56,1188
56,57,1159
57,58,1108
58,59,1052
59,60,1009
60,61,981
61,62,968
62,63,911
63,64,901
64,65,856
65,66,856
66,67,815
67,68,842
68,69,801
69,70,809
70,71,795
71,72,781
72,73,764
73,74,754
74,75,741
75,76,729
76,77,729
77,78,698
78,79,715
79,80,665
80,81,683
81,82,636
82,83,637
83,84,628
84,85,604
85,86,603
86,87,585
87,88,554
88,89,539
89,90,527
90,91,529
91,92,496
92,93,500
93,94,492
94,95,483
95,96,478
96,97,464
97,98,448
98,99,445
99,100,439
100,101,430
101,102,432
102,103,420
103,104,400
104,105,397
105,106,391
106,107,389
107,108,395
108,109,388
109,110,386
110,111,380
111,112,376
112,113,346
113,114,356
114,115,331
115,116,337
116,117,327
117,118,328
118,119,318
119,120,328
120,121,288
121,122,297
122,123,288
123,124,289
124,125,292
125,126,285
126,127,278
127,128,279
128,129,280
129,130,276
130,131,284
131,132,270
132,133,278
133,134,272
134,135,268
135,136,266
136,137,261
137,138,249
138,139,249
139,140,246
140,141,228
141,142,230
142,143,226
143,144,225
144,145,223
145,146,216
146,147,229
147,148,211
148,149,221
149,150,212
150,151,215
151,152,198
152,153,196
153,154,197
154,155,188
155,156,182
156,157,192
157,158,184
158,159,178
159,160,169
160,161,164
161,162,175
162,163,164
163,164,166
164,165,173
165,166,168
166,167,160
167,168,176
168,169,162
169,170,164
170,171,176
171,172,164
172,173,168
173,174,168
174,175,165
175,176,169
176,177,169
177,178,166
178,179,163
179,180,162
180,181,163
181,182,166
182,183,143
183,184,153
184,185,145
185,186,144
186,187,134
187,188,124
188,189,114
189,190,118
190,191,123
191,192,116
192,193,117
193,194,119
194,195,121
195,196,115
196,197,112
197,198,109
198,199,116
199,200,8477
