bin_lo_us,bin_hi_us,count
0,1,0
1,2,0
2,3,14208
3,4,46137
4,5,49394
5,6,51031
6,7,51833
7,8,52661
8,9,53211
9,10,53279
10,11,52133
11,12,48082
12,13,43629
13,14,39195
14,15,35663
15,16,32501
16,17,29854
17,18,27806
18,19,25889
19,20,23821
20,21,21918
21,22,20762
22,23,20003
23,24,18897
24,25,17828
25,26,16568
26,27,15418
27,28,14428
28,29,13684
29,30,13235
30,31,13161
31,32,13093
32,33,13087
33,34,12887
34,35,12726
35,36,12135
36,37,11550
37,38,10907
38,39,10389
39,40,9736
40,41,9002
41,42,8381
42,43,7823
43,44,7511
44,45,7353
45,46,7233
46,47,7189
47,48,7190
48,49,7172
49,50,7189
50,51,7093
51,52,7135
52,53,7072
53,54,6589
54,55,5951
55,56,5540
56,57,5536
57,58,5646
58,59,5689
59,60,5881
60,61,6040
61,62,6200
62,63,6420
63,64,6503
64,65,6418
65,66,6017
66,67,5463
67,68,5053
68,69,4974
69,70,5073
70,71,5313
71,72,5397
72,73,5514
73,74,5613
74,75,5692
75,76,5401
76,77,5071
77,78,4791
78,79,4602
79,80,4623
80,81,4751
81,82,4846
82,83,4832
83,84,4788
84,85,4597
85,86,4416
86,87,4193
87,88,4174
88,89,4217
89,90,4225
90,91,4154
91,92,4079
92,93,3901
93,94,3839
94,95,3756
95,96,3751
96,97,3686
97,98,3651
98,99,3566
99,100,3468
100,101,3364
101,102,3344
102,103,3307
103,104,3218
104,105,3207
105,106,3085
106,107,3106
107,108,3029
108,109,3017
109,110,2945
110,111,2922
111,112,2906
112,113,2860
113,114,2803
114,115,2769
115,116,2748
116,117,2726
117,118,2690
118,119,2668
119,120,2633
120,121,2640
121,122,2586
122,123,2547
123,124,2527
124,125,2491
125,126,2457
126,127,2463
127,128,2428
128,129,2403
129,130,2389
130,131,2401
131,132,2377
132,133,2340
133,134,2332
134,135,2279
135,136,2264
136,137,2246
137,138,2228
138,139,2211
139,140,2174
140,141,2135
141,142,2148
142,143,2130
143,144,2121
144,145,2102
145,146,2096
146,147,2086
147,148,2070
148,149,2036
149,150,1996
150,151,2013
151,152,1965
152,153,1942
153,154,1952
154,155,1885
155,156,1891
156,157,1868
157,158,1874
158,159,1841
159,160,1822
160,161,1812
161,162,1798
162,163,1819
163,164,1796
164,165,1763
165,166,1795
166,167,1751
167,168,1774
168,169,1739
169,170,1749
170,171,1709
171,172,1730
172,173,1693
173,174,1718
174,175,1682
175,176,1697
176,177,1636
177,178,1660
178,179,1615
179,180,1608
180,181,1618
181,182,1610
182,183,1580
183,184,1584
184,185,1571
185,186,1584
186,187,1559
187,188,1543
188,189,1521
189,190,1502
190,191,1505
191,192,1493
192,193,1490
193,194,1491
194,195,1465
195,196,1453
196,197,1466
197,198,1442
198,199,1425
199,200,532621
