bin_lo_us,bin_hi_us,count
0,1,29
1,2,41
2,3,76
3,4,71
4,5,72
5,6,135
6,7,239
7,8,569
8,9,931
9,10,879
10,11,766
11,12,753
12,13,803
13,14,827
14,15,745
15,16,767
16,17,785
17,18,788
18,19,809
19,20,749
20,21,697
21,22,779
22,23,757
23,24,761
24,25,783
25,26,769
26,27,742
27,28,700
28,29,666
29,30,704
30,31,691
31,32,702
32,33,724
33,34,719
34,35,733
35,36,702
36,37,752
37,38,768
38,39,807
39,40,701
40,41,704
41,42,721
42,43,679
43,44,654
44,45,654
45,46,681
46,47,749
47,48,735
48,49,711
49,50,713
50,51,731
51,52,720
52,53,714
53,54,743
54,55,759
55,56,725
56,57,685
57,58,658
58,59,707
59,60,784
60,61,751
61,62,732
62,63,735
63,64,707
64,65,737
65,66,738
66,67,763
67,68,738
68,69,737
69,70,631
70,71,648
71,72,663
72,73,681
73,74,646
74,75,662
75,76,680
76,77,699
77,78,705
78,79,678
79,80,585
80,81,729
81,82,649
82,83,656
83,84,694
84,85,681
85,86,654
86,87,631
87,88,650
88,89,650
89,90,677
90,91,673
91,92,698
92,93,716
93,94,739
94,95,662
95,96,558
96,97,317
97,98,114
98,99,72
99,100,69
100,101,78
101,102,86
102,103,79
103,104,83
104,105,86
105,106,72
106,107,79
107,108,42
108,109,8
109,110,0
110,111,0
111,112,0
112,113,0
113,114,0
114,115,0
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
120,121,0
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
