bin_lo_us,bin_hi_us,count
0,1,0
1,2,4
2,3,2
3,4,1
4,5,6
5,6,6
6,7,5
7,8,6
8,9,7
9,10,13
10,11,26
11,12,23
12,13,108
13,14,101
14,15,59
15,16,60
16,17,107
17,18,108
18,19,135
19,20,133
20,21,166
21,22,187
22,23,149
23,24,182
24,25,227
25,26,216
26,27,239
27,28,268
28,29,264
29,30,315
30,31,395
31,32,382
32,33,453
33,34,345
34,35,351
35,36,371
36,37,499
37,38,460
38,39,513
39,40,418
40,41,503
41,42,520
42,43,507
43,44,525
44,45,506
45,46,541
46,47,617
47,48,591
48,49,543
49,50,580
50,51,629
51,52,631
52,53,615
53,54,626
54,55,608
55,56,642
56,57,673
57,58,707
58,59,696
59,60,724
60,61,745
61,62,763
62,63,773
63,64,804
64,65,770
65,66,792
66,67,774
67,68,730
68,69,756
69,70,763
70,71,719
71,72,737
72,73,708
73,74,695
74,75,747
75,76,749
76,77,755
77,78,752
78,79,714
79,80,719
80,81,741
81,82,729
82,83,759
83,84,634
84,85,730
85,86,765
86,87,784
87,88,760
88,89,768
89,90,749
90,91,776
91,92,778
92,93,745
93,94,764
94,95,774
95,96,729
96,97,729
97,98,754
98,99,745
99,100,745
100,101,747
101,102,729
102,103,736
103,104,732
104,105,725
105,106,740
106,107,747
107,108,723
108,109,753
109,110,774
110,111,765
111,112,767
112,113,761
113,114,727
114,115,741
115,116,745
116,117,714
117,118,749
118,119,726
119,120,713
120,121,728
121,122,720
122,123,716
123,124,718
124,125,617
125,126,699
126,127,703
127,128,701
128,129,730
129,130,779
130,131,788
131,132,819
132,133,786
133,134,746
134,135,770
135,136,772
136,137,767
137,138,800
138,139,802
139,140,770
140,141,784
141,142,772
142,143,760
143,144,773
144,145,783
145,146,805
146,147,813
147,148,776
148,149,773
149,150,793
150,151,789
151,152,816
152,153,794
153,154,769
154,155,795
155,156,789
156,157,774
157,158,790
158,159,771
159,160,778
160,161,794
161,162,783
162,163,774
163,164,748
164,165,717
165,166,592
166,167,725
167,168,714
168,169,706
169,170,738
170,171,716
171,172,722
172,173,749
173,174,744
174,175,740
175,176,746
176,177,731
177,178,726
178,179,733
179,180,718
180,181,714
181,182,716
182,183,708
183,184,728
184,185,708
185,186,707
186,187,732
187,188,726
188,189,740
189,190,746
190,191,718
191,192,747
192,193,730
193,194,714
194,195,742
195,196,724
196,197,706
197,198,733
198,199,724
199,200,925538
