bin_lo_us,bin_hi_us,count
0,1,0
1,2,602
2,3,3163
3,4,5584
4,5,8905
5,6,12268
6,7,15682
7,8,19678
8,9,23582
9,10,26126
10,11,26902
11,12,27289
12,13,27736
13,14,27781
14,15,27795
15,16,27633
16,17,27428
17,18,26757
18,19,26202
19,20,25212
20,21,24076
21,22,22743
22,23,21277
23,24,19619
24,25,18211
25,26,16851
26,27,15594
27,28,14482
28,29,13526
29,30,12597
30,31,11823
31,32,11019
32,33,10272
33,34,9631
34,35,9136
35,36,8678
36,37,8265
37,38,7957
38,39,7608
39,40,7403
40,41,6988
41,42,6880
42,43,6642
43,44,6412
44,45,6225
45,46,5984
46,47,5799
47,48,5549
48,49,5290
49,50,4947
50,51,4669
51,52,4534
52,53,4241
53,54,4117
54,55,3966
55,56,3800
56,57,3673
57,58,3594
58,59,3521
59,60,3435
60,61,3376
61,62,3291
62,63,3219
63,64,3142
64,65,3097
65,66,3134
66,67,3134
67,68,3043
68,69,2973
69,70,2958
70,71,2908
71,72,2908
72,73,2901
73,74,2804
74,75,2722
75,76,2721
76,77,2728
77,78,2682
78,79,2606
79,80,2540
80,81,2548
81,82,2488
82,83,2440
83,84,2397
84,85,2380
85,86,2292
86,87,2270
87,88,2241
88,89,2200
89,90,2134
90,91,2081
91,92,2062
92,93,2007
93,94,1964
94,95,1927
95,96,1876
96,97,1878
97,98,1759
98,99,1760
99,100,1693
100,101,1675
101,102,1639
102,103,1577
103,104,1575
104,105,1560
105,106,1503
106,107,1474
107,108,1474
108,109,1414
109,110,1418
110,111,1369
111,112,1337
112,113,1321
113,114,1282
114,115,1262
115,116,1236
116,117,1211
117,118,1223
118,119,1175
119,120,1187
120,121,1185
121,122,1169
122,123,1172
123,124,1144
124,125,1140
125,126,1132
126,127,1112
127,128,1072
128,129,1083
129,130,1069
130,131,1054
131,132,1050
132,133,1033
133,134,1029
134,135,1010
135,136,1009
136,137,998
137,138,961
138,139,960
139,140,945
140,141,944
141,142,929
142,143,899
143,144,899
144,145,880
145,146,908
146,147,875
147,148,875
148,149,852
149,150,860
150,151,845
151,152,825
152,153,828
153,154,809
154,155,830
155,156,801
156,157,802
157,158,800
158,159,799
159,160,782
160,161,794
161,162,777
162,163,774
163,164,752
164,165,755
165,166,748
166,167,723
167,168,724
168,169,713
169,170,705
170,171,708
171,172,695
172,173,674
173,174,677
174,175,677
175,176,651
176,177,632
177,178,633
178,179,623
179,180,624
180,181,609
181,182,613
182,183,619
183,184,596
184,185,613
185,186,602
186,187,601
187,188,581
188,189,570
189,190,568
190,191,578
191,192,562
192,193,566
193,194,564
194,195,571
195,196,558
196,197,542
197,198,548
198,199,555
199,200,98577
