bin_lo_us,bin_hi_us,count
0,1,0
1,2,28
2,3,27
3,4,17
4,5,73
5,6,41
6,7,52
7,8,44
8,9,128
9,10,175
10,11,326
11,12,270
12,13,405
13,14,537
14,15,591
15,16,672
16,17,833
17,18,983
18,19,1104
19,20,1339
20,21,1233
21,22,1679
22,23,1643
23,24,1894
24,25,1863
25,26,1991
26,27,2185
27,28,2334
28,29,2521
29,30,2683
30,31,2712
31,32,2984
32,33,2972
33,34,2985
34,35,3035
35,36,3142
36,37,3069
37,38,3221
38,39,3026
39,40,3212
40,41,3113
41,42,3257
42,43,3220
43,44,3250
44,45,3123
45,46,3179
46,47,3203
47,48,3089
48,49,3367
49,50,3152
50,51,3154
51,52,3157
52,53,3287
53,54,3160
54,55,3187
55,56,3238
56,57,3154
57,58,3146
58,59,3193
59,60,3203
60,61,3076
61,62,3135
62,63,3037
63,64,3184
64,65,3136
65,66,3299
66,67,3176
67,68,3071
68,69,3215
69,70,3202
70,71,3198
71,72,3182
72,73,3109
73,74,3224
74,75,3240
75,76,3317
76,77,3102
77,78,3067
78,79,3149
79,80,3274
80,81,3128
81,82,3099
82,83,3143
83,84,3257
84,85,3193
85,86,3146
86,87,3165
87,88,3209
88,89,3268
89,90,3123
90,91,3167
91,92,3131
92,93,3263
93,94,3233
94,95,3125
95,96,3209
96,97,3250
97,98,3206
98,99,3063
99,100,3090
100,101,3162
101,102,3253
102,103,3070
103,104,2971
104,105,3177
105,106,3228
106,107,3258
107,108,3028
108,109,3138
109,110,3167
110,111,3290
111,112,3220
112,113,3259
113,114,3093
114,115,3264
115,116,3205
116,117,3165
117,118,3188
118,119,3111
119,120,3262
120,121,3126
121,122,3145
122,123,3148
123,124,3139
124,125,3149
125,126,3236
126,127,3099
127,128,3213
128,129,3189
129,130,3238
130,131,3183
131,132,3227
132,133,3244
133,134,3200
134,135,3201
135,136,3071
136,137,3192
137,138,3267
138,139,3152
139,140,3075
140,141,3098
141,142,3235
142,143,3144
143,144,3164
144,145,3151
145,146,3203
146,147,3201
147,148,3108
148,149,3225
149,150,3157
150,151,3178
151,152,3165
152,153,3104
153,154,3182
154,155,3241
155,156,3245
156,157,3085
157,158,3204
158,159,3053
159,160,3259
160,161,3223
161,162,3113
162,163,3089
163,164,3224
164,165,3269
165,166,3167
166,167,3205
167,168,3252
168,169,3272
169,170,3131
170,171,3115
171,172,3140
172,173,3221
173,174,3162
174,175,3042
175,176,3108
176,177,3192
177,178,3224
178,179,3115
179,180,3088
180,181,3106
181,182,3369
182,183,3201
183,184,3048
184,185,3223
185,186,3160
186,187,3221
187,188,3182
188,189,3109
189,190,3181
190,191,3322
191,192,3192
192,193,3096
193,194,3050
194,195,3220
195,196,3197
196,197,3198
197,198,3092
198,199,3151
199,200,485779
