bin_lo_us,bin_hi_us,count
0,1,26
1,2,78
2,3,161
3,4,94
4,5,297
5,6,661
6,7,880
7,8,1202
8,9,1419
9,10,1914
10,11,2213
11,12,2399
12,13,2290
13,14,2426
14,15,2501
15,16,2312
16,17,2730
17,18,1888
18,19,1832
19,20,1367
20,21,1229
21,22,1177
22,23,824
23,24,732
24,25,667
25,26,667
26,27,628
27,28,627
28,29,549
29,30,486
30,31,517
31,32,480
32,33,459
33,34,459
34,35,402
35,36,434
36,37,416
37,38,362
38,39,369
39,40,379
40,41,391
41,42,380
42,43,357
43,44,317
44,45,360
45,46,317
46,47,325
47,48,369
48,49,353
49,50,313
50,51,335
51,52,344
52,53,331
53,54,344
54,55,301
55,56,331
56,57,343
57,58,375
58,59,368
59,60,347
60,61,344
61,62,326
62,63,384
63,64,338
64,65,357
65,66,350
66,67,424
67,68,402
68,69,335
69,70,354
70,71,358
71,72,369
72,73,378
73,74,328
74,75,390
75,76,388
76,77,376
77,78,346
78,79,332
79,80,363
80,81,392
81,82,356
82,83,348
83,84,357
84,85,396
85,86,360
86,87,339
87,88,345
88,89,356
89,90,353
90,91,320
91,92,301
92,93,318
93,94,327
94,95,322
95,96,279
96,97,286
97,98,271
98,99,282
99,100,256
100,101,223
101,102,220
102,103,226
103,104,219
104,105,205
105,106,190
106,107,166
107,108,168
108,109,146
109,110,117
110,111,109
111,112,115
112,113,104
113,114,74
114,115,81
115,116,73
116,117,60
117,118,65
118,119,64
119,120,61
120,121,52
121,122,62
122,123,57
123,124,60
124,125,54
125,126,58
126,127,58
127,128,54
128,129,59
129,130,51
130,131,58
131,132,57
132,133,55
133,134,55
134,135,56
135,136,56
136,137,56
137,138,55
138,139,58
139,140,56
140,141,53
141,142,59
142,143,52
143,144,50
144,145,52
145,146,46
146,147,40
147,148,28
148,149,22
149,150,21
150,151,21
151,152,15
152,153,4
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
