bin_lo_us,bin_hi_us,count
0,1,0
1,2,140
2,3,3558
3,4,9276
4,5,16011
5,6,22941
6,7,25637
7,8,26421
8,9,26897
9,10,27281
10,11,27417
11,12,26926
12,13,25986
13,14,24444
14,15,22443
15,16,20382
16,17,18605
17,18,16930
18,19,15449
19,20,14383
20,21,13338
21,22,12278
22,23,11576
23,24,10886
24,25,10257
25,26,9785
26,27,9196
27,28,8639
28,29,8181
29,30,7668
30,31,7348
31,32,7082
32,33,6969
33,34,6679
34,35,6551
35,36,6481
36,37,6320
37,38,6249
38,39,6062
39,40,5804
40,41,5520
41,42,5180
42,43,4891
43,44,4724
44,45,4566
45,46,4439
46,47,4338
47,48,4241
48,49,3996
49,50,3851
50,51,3606
51,52,3623
52,53,3563
53,54,3544
54,55,3566
55,56,3426
56,57,3237
57,58,3192
58,59,3120
59,60,3188
60,61,3218
61,62,3235
62,63,3150
63,64,3021
64,65,2983
65,66,2917
66,67,2991
67,68,2950
68,69,2962
69,70,2874
70,71,2833
71,72,2751
72,73,2795
73,74,2758
74,75,2728
75,76,2693
76,77,2620
77,78,2557
78,79,2582
79,80,2552
80,81,2487
81,82,2383
82,83,2403
83,84,2363
84,85,2349
85,86,2297
86,87,2246
87,88,2217
88,89,2193
89,90,2169
90,91,2107
91,92,2063
92,93,2030
93,94,2023
94,95,1989
95,96,1920
96,97,1908
97,98,1884
98,99,1860
99,100,1826
100,101,1792
101,102,1797
102,103,1730
103,104,1742
104,105,1689
105,106,1685
106,107,1643
107,108,1641
108,109,1596
109,110,1597
110,111,1564
111,112,1537
112,113,1514
113,114,1506
114,115,1499
115,116,1464
116,117,1460
117,118,1430
118,119,1443
119,120,1432
120,121,1413
121,122,1412
122,123,1384
123,124,1344
124,125,1331
125,126,1318
126,127,1280
127,128,1320
128,129,1262
129,130,1266
130,131,1239
131,132,1230
132,133,1217
133,134,1230
134,135,1194
135,136,1205
136,137,1200
137,138,1181
138,139,1180
139,140,1166
140,141,1166
141,142,1157
142,143,1138
143,144,1153
144,145,1108
145,146,1123
146,147,1131
147,148,1091
148,149,1090
149,150,1076
150,151,1058
151,152,1041
152,153,1034
153,154,1005
154,155,1011
155,156,1001
156,157,1016
157,158,989
158,159,1002
159,160,1004
160,161,980
161,162,991
162,163,967
163,164,971
164,165,952
165,166,954
166,167,947
167,168,915
168,169,927
169,170,893
170,171,897
171,172,903
172,173,903
173,174,883
174,175,882
175,176,885
176,177,860
177,178,864
178,179,876
179,180,837
180,181,859
181,182,854
182,183,855
183,184,824
184,185,823
185,186,818
186,187,813
187,188,813
188,189,805
189,190,798
190,191,806
191,192,789
192,193,798
193,194,790
194,195,789
195,196,779
196,197,786
197,198,773
198,199,783
199,200,218233
