bin_lo_us,bin_hi_us,count
0,1,0
1,2,116
2,3,96
3,4,139
4,5,169
5,6,216
6,7,260
7,8,376
8,9,487
9,10,552
10,11,611
11,12,700
12,13,702
13,14,777
14,15,715
15,16,749
16,17,852
17,18,782
18,19,760
19,20,786
20,21,823
21,22,829
22,23,793
23,24,763
24,25,818
25,26,807
26,27,810
27,28,742
28,29,802
29,30,855
30,31,760
31,32,785
32,33,780
33,34,822
34,35,788
35,36,799
36,37,759
37,38,800
38,39,838
39,40,785
40,41,774
41,42,775
42,43,836
43,44,778
44,45,802
45,46,746
46,47,803
47,48,837
48,49,795
49,50,760
50,51,793
51,52,824
52,53,775
53,54,806
54,55,759
55,56,806
56,57,818
57,58,789
58,59,764
59,60,799
60,61,831
61,62,785
62,63,796
63,64,751
64,65,814
65,66,807
66,67,816
67,68,741
68,69,800
69,70,837
70,71,771
71,72,781
72,73,780
73,74,819
74,75,801
75,76,805
76,77,748
77,78,803
78,79,830
79,80,772
80,81,795
81,82,773
82,83,822
83,84,790
84,85,804
85,86,750
86,87,792
87,88,829
88,89,797
89,90,762
90,91,778
91,92,839
92,93,783
93,94,806
94,95,738
95,96,805
96,97,823
97,98,792
98,99,752
99,100,793
100,101,833
101,102,776
102,103,772
103,104,768
104,105,808
105,106,797
106,107,788
107,108,748
108,109,791
109,110,830
110,111,766
111,112,770
112,113,758
113,114,809
114,115,790
115,116,795
116,117,742
117,118,779
118,119,824
119,120,761
120,121,767
121,122,755
122,123,790
123,124,777
124,125,798
125,126,730
126,127,774
127,128,814
128,129,759
129,130,737
130,131,763
131,132,790
132,133,749
133,134,777
134,135,707
135,136,758
136,137,775
137,138,763
138,139,696
139,140,761
140,141,769
141,142,727
142,143,744
143,144,690
144,145,738
145,146,748
146,147,738
147,148,678
148,149,692
149,150,748
150,151,670
151,152,701
152,153,637
153,154,689
154,155,697
155,156,669
156,157,611
157,158,621
158,159,657
159,160,602
160,161,566
161,162,601
162,163,610
163,164,556
164,165,570
165,166,532
166,167,518
167,168,545
168,169,513
169,170,460
170,171,466
171,172,450
172,173,438
173,174,420
174,175,392
175,176,390
176,177,382
177,178,349
178,179,348
179,180,309
180,181,312
181,182,289
182,183,274
183,184,233
184,185,219
185,186,234
186,187,200
187,188,179
188,189,180
189,190,153
190,191,129
191,192,132
192,193,110
193,194,106
194,195,96
195,196,88
196,197,69
197,198,62
198,199,58
199,200,410
