bin_lo_us,bin_hi_us,count
0,1,0
1,2,426
2,3,1427
3,4,2199
4,5,2925
5,6,3542
6,7,3566
7,8,3587
8,9,3553
9,10,3580
10,11,3573
11,12,3551
12,13,3581
13,14,3592
14,15,3562
15,16,3579
16,17,3554
17,18,3521
18,19,3547
19,20,3440
20,21,3334
21,22,3251
22,23,3099
23,24,2938
24,25,2783
25,26,2617
26,27,2369
27,28,2242
28,29,2138
29,30,2011
30,31,1918
31,32,1790
32,33,1702
33,34,1639
34,35,1571
35,36,1477
36,37,1362
37,38,1301
38,39,1250
39,40,1195
40,41,1137
41,42,1079
42,43,1018
43,44,985
44,45,949
45,46,899
46,47,888
47,48,840
48,49,772
49,50,777
50,51,711
51,52,701
52,53,667
53,54,630
54,55,638
55,56,602
56,57,571
57,58,560
58,59,559
59,60,537
60,61,515
61,62,522
62,63,498
63,64,466
64,65,465
65,66,451
66,67,426
67,68,402
68,69,395
69,70,392
70,71,377
71,72,367
72,73,358
73,74,338
74,75,321
75,76,306
76,77,307
77,78,289
78,79,270
79,80,256
80,81,237
81,82,234
82,83,231
83,84,220
84,85,229
85,86,225
86,87,225
87,88,222
88,89,203
89,90,196
90,91,183
91,92,168
92,93,165
93,94,150
94,95,132
95,96,113
96,97,120
97,98,112
98,99,118
99,100,111
100,101,110
101,102,109
102,103,116
103,104,114
104,105,105
105,106,114
106,107,112
107,108,109
108,109,112
109,110,115
110,111,110
111,112,113
112,113,109
113,114,103
114,115,96
115,116,99
116,117,85
117,118,66
118,119,34
119,120,12
120,121,2
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
