bin_lo_us,bin_hi_us,count
0,1,0
1,2,69
2,3,90
3,4,58
4,5,185
5,6,390
6,7,414
7,8,451
8,9,709
9,10,745
10,11,1116
11,12,1182
12,13,1423
13,14,1386
14,15,1567
15,16,1611
16,17,1582
17,18,1664
18,19,1585
19,20,1545
20,21,1547
21,22,1628
22,23,1556
23,24,1573
24,25,1494
25,26,1547
26,27,1580
27,28,1512
28,29,1499
29,30,1496
30,31,1557
31,32,1526
32,33,1482
33,34,1422
34,35,1522
35,36,1535
36,37,1455
37,38,1405
38,39,1430
39,40,1485
40,41,1396
41,42,1373
42,43,1334
43,44,1357
44,45,1338
45,46,1288
46,47,1229
47,48,1208
48,49,1221
49,50,1185
50,51,1154
51,52,1050
52,53,1077
53,54,1096
54,55,1024
55,56,965
56,57,980
57,58,969
58,59,909
59,60,894
60,61,840
61,62,853
62,63,827
63,64,801
64,65,737
65,66,734
66,67,759
67,68,688
68,69,696
69,70,652
70,71,674
71,72,637
72,73,637
73,74,587
74,75,595
75,76,594
76,77,572
77,78,549
78,79,529
79,80,538
80,81,517
81,82,521
82,83,472
83,84,484
84,85,476
85,86,483
86,87,448
87,88,437
88,89,436
89,90,423
90,91,418
91,92,410
92,93,388
93,94,389
94,95,394
95,96,370
96,97,379
97,98,377
98,99,363
99,100,357
100,101,347
101,102,349
102,103,346
103,104,339
104,105,332
105,106,332
106,107,330
107,108,334
108,109,308
109,110,299
110,111,330
111,112,305
112,113,313
113,114,277
114,115,278
115,116,289
116,117,288
117,118,266
118,119,256
119,120,265
120,121,267
121,122,265
122,123,238
123,124,253
124,125,238
125,126,248
126,127,228
127,128,218
128,129,235
129,130,218
130,131,213
131,132,215
132,133,208
133,134,228
134,135,208
135,136,207
136,137,201
137,138,217
138,139,209
139,140,190
140,141,179
141,142,196
142,143,199
143,144,202
144,145,169
145,146,182
146,147,192
147,148,185
148,149,179
149,150,170
150,151,166
151,152,186
152,153,184
153,154,151
154,155,163
155,156,179
156,157,165
157,158,151
158,159,151
159,160,171
160,161,163
161,162,166
162,163,153
163,164,156
164,165,172
165,166,160
166,167,156
167,168,144
168,169,170
169,170,160
170,171,154
171,172,147
172,173,154
173,174,162
174,175,147
175,176,133
176,177,145
177,178,151
178,179,147
179,180,146
180,181,133
181,182,146
182,183,153
183,184,138
184,185,135
185,186,139
186,187,155
187,188,143
188,189,145
189,190,134
190,191,143
191,192,140
192,193,145
193,194,115
194,195,138
195,196,139
196,197,125
197,198,122
198,199,125
199,200,18055
