bin_lo_us,bin_hi_us,count
0,1,64
1,2,112
2,3,112
3,4,112
4,5,138
5,6,168
6,7,171
7,8,170
8,9,181
9,10,229
10,11,195
11,12,226
12,13,225
13,14,273
14,15,284
15,16,287
16,17,283
17,18,322
18,19,354
19,20,346
20,21,346
21,22,375
22,23,406
23,24,413
24,25,414
25,26,438
26,27,481
27,28,507
28,29,524
29,30,573
30,31,645
31,32,638
32,33,710
33,34,894
34,35,1134
35,36,1372
36,37,1851
37,38,2249
38,39,2290
39,40,2296
40,41,2292
41,42,2259
42,43,2284
43,44,2296
44,45,2296
45,46,2247
46,47,2238
47,48,2222
48,49,2189
49,50,2106
50,51,2028
51,52,1684
52,53,1907
53,54,1791
54,55,1635
55,56,1609
56,57,1567
57,58,1512
58,59,1401
59,60,1389
60,61,1338
61,62,1291
62,63,1231
63,64,1238
64,65,1198
65,66,1166
66,67,1125
67,68,1111
68,69,1102
69,70,1073
70,71,1045
71,72,1025
72,73,1019
73,74,1006
74,75,975
75,76,961
76,77,973
77,78,961
78,79,937
79,80,907
80,81,901
81,82,891
82,83,869
83,84,857
84,85,860
85,86,851
86,87,831
87,88,810
88,89,819
89,90,813
90,91,804
91,92,670
92,93,787
93,94,777
94,95,765
95,96,737
96,97,749
97,98,741
98,99,735
99,100,727
100,101,727
101,102,720
102,103,714
103,104,705
104,105,710
105,106,702
106,107,699
107,108,682
108,109,695
109,110,685
110,111,675
111,112,661
112,113,671
113,114,672
114,115,669
115,116,653
116,117,662
117,118,659
118,119,643
119,120,636
120,121,617
121,122,637
122,123,633
123,124,621
124,125,593
125,126,616
126,127,616
127,128,616
128,129,582
129,130,616
130,131,616
131,132,615
132,133,503
133,134,560
134,135,554
135,136,547
136,137,516
137,138,476
138,139,472
139,140,461
140,141,435
141,142,395
142,143,392
143,144,392
144,145,378
145,146,338
146,147,336
147,148,336
148,149,324
149,150,286
150,151,280
151,152,280
152,153,272
153,154,230
154,155,224
155,156,224
156,157,219
157,158,186
158,159,168
159,160,163
160,161,156
161,162,118
162,163,88
163,164,84
164,165,83
165,166,56
166,167,30
167,168,20
168,169,14
169,170,11
170,171,7
171,172,4
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
