bin_lo_us,bin_hi_us,count
0,1,0
1,2,16
2,3,88
3,4,113
4,5,113
5,6,112
6,7,113
7,8,113
8,9,113
9,10,152
10,11,168
11,12,169
12,13,168
13,14,170
14,15,172
15,16,172
16,17,182
17,18,227
18,19,225
19,20,224
20,21,224
21,22,225
22,23,227
23,24,227
24,25,269
25,26,274
26,27,284
27,28,284
28,29,289
29,30,282
30,31,281
31,32,302
32,33,345
33,34,343
34,35,348
35,36,338
36,37,301
37,38,348
38,39,341
39,40,380
40,41,406
41,42,411
42,43,405
43,44,412
44,45,418
45,46,418
46,47,425
47,48,496
48,49,486
49,50,487
50,51,483
51,52,473
52,53,474
53,54,486
54,55,545
55,56,536
56,57,559
57,58,583
58,59,584
59,60,600
60,61,627
61,62,649
62,63,667
63,64,700
64,65,743
65,66,810
66,67,838
67,68,882
68,69,948
69,70,1070
70,71,1213
71,72,1441
72,73,1720
73,74,2077
74,75,2534
75,76,3190
76,77,3793
77,78,4027
78,79,4130
79,80,4142
80,81,4144
81,82,4144
82,83,4127
83,84,4089
84,85,4108
85,86,4043
86,87,4144
87,88,4144
88,89,4144
89,90,4140
90,91,4104
91,92,4073
92,93,4067
93,94,4006
94,95,4013
95,96,3939
96,97,3836
97,98,3725
98,99,3585
99,100,3486
100,101,3427
101,102,3306
102,103,3177
103,104,3136
104,105,3021
105,106,2930
106,107,2714
107,108,2765
108,109,2702
109,110,2621
110,111,2558
111,112,2515
112,113,2460
113,114,2379
114,115,2329
115,116,2357
116,117,2307
117,118,2240
118,119,2099
119,120,2126
120,121,2041
121,122,2000
122,123,1999
123,124,1980
124,125,1938
125,126,1917
126,127,1841
127,128,1829
128,129,1769
129,130,1745
130,131,1781
131,132,1757
132,133,1732
133,134,1703
134,135,1668
135,136,1623
136,137,1595
137,138,1598
138,139,1620
139,140,1584
140,141,1568
141,142,1556
142,143,1525
143,144,1446
144,145,1461
145,146,1487
146,147,1495
147,148,1399
148,149,1448
149,150,1420
150,151,1380
151,152,1337
152,153,1336
153,154,1374
154,155,1369
155,156,1358
156,157,1354
157,158,1340
158,159,1286
159,160,1192
160,161,1288
161,162,1288
162,163,1283
163,164,1267
164,165,1252
165,166,1225
166,167,1179
167,168,1200
168,169,1232
169,170,1232
170,171,1226
171,172,1220
172,173,1200
173,174,1157
174,175,1128
175,176,1157
176,177,1163
177,178,1155
178,179,1146
179,180,1141
180,181,1125
181,182,1083
182,183,1088
183,184,1120
184,185,1105
185,186,1118
186,187,1103
187,188,1095
188,189,1014
189,190,1028
190,191,1059
191,192,1057
192,193,1057
193,194,1055
194,195,1042
195,196,1017
196,197,970
197,198,983
198,199,1020
199,200,228319
