bin_lo_us,bin_hi_us,count
0,1,0
1,2,28
2,3,7
3,4,20
4,5,109
5,6,144
6,7,180
7,8,340
8,9,779
9,10,1001
10,11,1338
11,12,1400
12,13,1566
13,14,1496
14,15,1313
15,16,1364
16,17,1674
17,18,1847
18,19,1952
19,20,1806
20,21,1667
21,22,1616
22,23,1327
23,24,1314
24,25,1363
25,26,1536
26,27,1502
27,28,1403
28,29,1425
29,30,1752
30,31,1880
31,32,1812
32,33,1565
33,34,1563
34,35,1456
35,36,1496
36,37,1537
37,38,1646
38,39,1949
39,40,1879
40,41,1802
41,42,1588
42,43,1386
43,44,1355
44,45,1370
45,46,1475
46,47,1460
47,48,1400
48,49,1441
49,50,1605
50,51,1782
51,52,1776
52,53,1753
53,54,1663
54,55,1516
55,56,1384
56,57,1499
57,58,1662
58,59,1747
59,60,1946
60,61,1757
61,62,1723
62,63,1665
63,64,1294
64,65,1278
65,66,1394
66,67,1517
67,68,1538
68,69,1337
69,70,1433
70,71,1724
71,72,1873
72,73,1748
73,74,1620
74,75,1669
75,76,1506
76,77,1435
77,78,1424
78,79,1661
79,80,1915
80,81,1956
81,82,1769
82,83,1573
83,84,1546
84,85,1365
85,86,1316
86,87,1369
87,88,1503
88,89,1499
89,90,1430
90,91,1437
91,92,1758
92,93,1868
93,94,1812
94,95,1601
95,96,1520
96,97,1447
97,98,1501
98,99,1548
99,100,1668
100,101,1964
101,102,1860
102,103,1778
103,104,1615
104,105,1343
105,106,1333
106,107,1393
107,108,1489
108,109,1467
109,110,1381
110,111,1453
111,112,1640
112,113,1804
113,114,1740
114,115,1748
115,116,1657
116,117,1515
117,118,1389
118,119,1445
119,120,1699
120,121,1774
121,122,1952
122,123,1758
123,124,1702
124,125,1643
125,126,1321
126,127,1268
127,128,1388
128,129,1517
129,130,1526
130,131,1339
131,132,1431
132,133,1736
133,134,1885
134,135,1763
135,136,1613
136,137,1649
137,138,1474
138,139,1468
139,140,1415
140,141,1681
141,142,1942
142,143,1925
143,144,1784
144,145,1555
145,146,1520
146,147,1359
147,148,1353
148,149,1389
149,150,1492
150,151,1475
151,152,1413
152,153,1490
153,154,1747
154,155,1854
155,156,1806
156,157,1626
157,158,1497
158,159,1430
159,160,1509
160,161,1564
161,162,1699
162,163,1950
163,164,1833
164,165,1778
165,166,1669
166,167,1294
167,168,1322
168,169,1391
169,170,1502
170,171,1466
171,172,1363
172,173,1443
173,174,1672
174,175,1833
175,176,1712
176,177,1728
177,178,1684
178,179,1495
179,180,1412
180,181,1429
181,182,1709
182,183,1787
183,184,1970
184,185,1748
185,186,1666
186,187,1638
187,188,1322
188,189,1269
189,190,1393
190,191,1520
191,192,1516
192,193,1367
193,194,1426
194,195,1738
195,196,1902
196,197,1768
197,198,1572
198,199,1654
199,200,746531
