bin_lo_us,bin_hi_us,count
0,1,45
1,2,128
2,3,29
3,4,180
4,5,115
5,6,220
6,7,289
7,8,159
8,9,271
9,10,342
10,11,289
11,12,430
12,13,441
13,14,477
14,15,657
15,16,308
16,17,384
17,18,347
18,19,329
19,20,417
20,21,288
21,22,308
22,23,300
23,24,285
24,25,472
25,26,318
26,27,335
27,28,304
28,29,289
29,30,493
30,31,349
31,32,369
32,33,289
33,34,316
34,35,459
35,36,380
36,37,395
37,38,332
38,39,349
39,40,430
40,41,444
41,42,406
42,43,352
43,44,367
44,45,377
45,46,520
46,47,356
47,48,377
48,49,362
49,50,349
50,51,549
51,52,353
52,53,382
53,54,351
54,55,343
55,56,553
56,57,361
57,58,380
58,59,362
59,60,330
60,61,532
61,62,376
62,63,400
63,64,360
64,65,328
65,66,487
66,67,404
67,68,408
68,69,334
69,70,365
70,71,440
71,72,440
72,73,391
73,74,354
74,75,368
75,76,396
76,77,500
77,78,369
78,79,375
79,80,362
80,81,340
81,82,557
82,83,347
83,84,385
84,85,361
85,86,346
86,87,545
87,88,365
88,89,378
89,90,358
90,91,332
91,92,537
92,93,371
93,94,391
94,95,360
95,96,328
96,97,503
97,98,401
98,99,401
99,100,349
100,101,347
101,102,452
102,103,428
103,104,401
104,105,349
105,106,368
106,107,403
107,108,488
108,109,376
109,110,371
110,111,351
111,112,359
112,113,551
113,114,347
114,115,381
115,116,360
116,117,341
117,118,558
118,119,363
119,120,377
120,121,349
121,122,333
122,123,545
123,124,370
124,125,391
125,126,368
126,127,315
127,128,514
128,129,394
129,130,396
130,131,357
131,132,347
132,133,451
133,134,427
134,135,413
135,136,340
136,137,362
137,138,418
138,139,470
139,140,383
140,141,364
141,142,361
142,143,367
143,144,536
144,145,346
145,146,386
146,147,370
147,148,341
148,149,543
149,150,358
150,151,382
151,152,355
152,153,339
153,154,545
154,155,367
155,156,381
156,157,364
157,158,319
158,159,530
159,160,379
160,161,397
161,162,360
162,163,346
163,164,464
164,165,416
165,166,412
166,167,346
167,168,355
168,169,418
169,170,459
170,171,392
171,172,365
172,173,356
173,174,381
174,175,528
175,176,352
176,177,376
177,178,368
178,179,343
179,180,545
180,181,360
181,182,378
182,183,356
183,184,338
184,185,555
185,186,360
186,187,384
187,188,358
188,189,329
189,190,532
190,191,389
191,192,379
192,193,361
193,194,341
194,195,480
195,196,409
196,197,412
197,198,336
198,199,360
199,200,55094
