bin_lo_us,bin_hi_us,count
0,1,0
1,2,94
2,3,1454
3,4,3342
4,5,5162
5,6,6524
6,7,7167
7,8,7121
8,9,7119
9,10,7143
10,11,7094
11,12,7092
12,13,7002
13,14,6993
14,15,6855
15,16,6714
16,17,6386
17,18,5982
18,19,5610
19,20,5235
20,21,4786
21,22,4583
22,23,4329
23,24,4087
24,25,3823
25,26,3501
26,27,3300
27,28,3152
28,29,3008
29,30,2897
30,31,2781
31,32,2631
32,33,2490
33,34,2409
34,35,2264
35,36,2199
36,37,2172
37,38,2101
38,39,1982
39,40,1929
40,41,1835
41,42,1797
42,43,1706
43,44,1720
44,45,1661
45,46,1602
46,47,1576
47,48,1550
48,49,1507
49,50,1467
50,51,1410
51,52,1365
52,53,1324
53,54,1293
54,55,1281
55,56,1234
56,57,1191
57,58,1158
58,59,1141
59,60,1118
60,61,1058
61,62,1056
62,63,993
63,64,971
64,65,966
65,66,939
66,67,909
67,68,911
68,69,886
69,70,896
70,71,861
71,72,877
72,73,839
73,74,832
74,75,820
75,76,818
76,77,801
77,78,773
78,79,773
79,80,755
80,81,737
81,82,723
82,83,727
83,84,729
84,85,695
85,86,703
86,87,669
87,88,663
88,89,632
89,90,602
90,91,596
91,92,580
92,93,576
93,94,584
94,95,566
95,96,558
96,97,558
97,98,534
98,99,543
99,100,531
100,101,530
101,102,529
102,103,510
103,104,487
104,105,468
105,106,468
106,107,464
107,108,450
108,109,462
109,110,449
110,111,438
111,112,459
112,113,443
113,114,433
114,115,406
115,116,410
116,117,386
117,118,368
118,119,364
119,120,358
120,121,344
121,122,359
122,123,325
123,124,340
124,125,341
125,126,339
126,127,335
127,128,338
128,129,331
129,130,336
130,131,336
131,132,331
132,133,339
133,134,343
134,135,328
135,136,322
136,137,317
137,138,321
138,139,323
139,140,302
140,141,298
141,142,289
142,143,290
143,144,287
144,145,258
145,146,251
146,147,226
147,148,223
148,149,221
149,150,226
150,151,223
151,152,227
152,153,218
153,154,221
154,155,229
155,156,224
156,157,222
157,158,223
158,159,226
159,160,219
160,161,221
161,162,231
162,163,218
163,164,222
164,165,231
165,166,223
166,167,224
167,168,222
168,169,219
169,170,223
170,171,217
171,172,232
172,173,221
173,174,225
174,175,229
175,176,220
176,177,221
177,178,215
178,179,220
179,180,207
180,181,198
181,182,210
182,183,173
183,184,177
184,185,175
185,186,143
186,187,142
187,188,132
188,189,112
189,190,124
190,191,108
191,192,115
192,193,113
193,194,106
194,195,112
195,196,114
196,197,110
197,198,116
198,199,106
199,200,5095
