bin_lo_us,bin_hi_us,count
0,1,0
1,2,30
2,3,51
3,4,39
4,5,65
5,6,10
6,7,64
7,8,35
8,9,190
9,10,113
10,11,289
11,12,416
12,13,499
13,14,523
14,15,593
15,16,648
16,17,763
17,18,731
18,19,829
19,20,851
20,21,756
21,22,840
22,23,809
23,24,749
24,25,833
25,26,917
26,27,882
27,28,692
28,29,677
29,30,821
30,31,832
31,32,783
32,33,739
33,34,801
34,35,753
35,36,932
36,37,890
37,38,802
38,39,624
39,40,837
40,41,804
41,42,770
42,43,746
43,44,825
44,45,744
45,46,859
46,47,901
47,48,856
48,49,706
49,50,754
50,51,810
51,52,728
52,53,864
53,54,736
54,55,762
55,56,849
56,57,883
57,58,938
58,59,699
59,60,762
60,61,716
61,62,815
62,63,776
63,64,780
64,65,821
65,66,817
66,67,883
67,68,811
68,69,762
69,70,699
70,71,805
71,72,756
72,73,756
73,74,773
74,75,829
75,76,758
76,77,769
77,78,779
78,79,699
79,80,729
80,81,692
81,82,719
82,83,722
83,84,702
84,85,643
85,86,680
86,87,584
87,88,524
88,89,583
89,90,490
90,91,520
91,92,462
92,93,443
93,94,388
94,95,374
95,96,368
96,97,281
97,98,284
98,99,258
99,100,214
100,101,196
101,102,162
102,103,145
103,104,148
104,105,120
105,106,80
106,107,94
107,108,78
108,109,71
109,110,47
110,111,57
111,112,31
112,113,28
113,114,20
114,115,21
115,116,16
116,117,16
117,118,8
118,119,13
119,120,2
120,121,4
121,122,2
122,123,2
123,124,1
124,125,2
125,126,2
126,127,1
127,128,1
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
