bin_lo_us,bin_hi_us,count
0,1,27
1,2,112
2,3,224
3,4,386
4,5,661
5,6,855
6,7,1032
7,8,1207
8,9,1416
9,10,1640
10,11,1772
11,12,1939
12,13,2194
13,14,2397
14,15,2615
15,16,2739
16,17,2935
17,18,3151
18,19,3315
19,20,3560
20,21,3698
21,22,3845
22,23,4021
23,24,4201
24,25,4458
25,26,4648
26,27,4838
27,28,4988
28,29,5229
29,30,5384
30,31,4822
31,32,5691
32,33,5955
33,34,6222
34,35,6479
35,36,6667
36,37,6902
37,38,7125
38,39,7438
39,40,7527
40,41,7727
41,42,7925
42,43,8121
43,44,8294
44,45,8538
45,46,8824
46,47,8999
47,48,9185
48,49,9472
49,50,9707
50,51,9871
51,52,10075
52,53,10277
53,54,10489
54,55,10779
55,56,10974
56,57,11086
57,58,11388
58,59,11767
59,60,11922
60,61,12126
61,62,12449
62,63,12711
63,64,12823
64,65,13287
65,66,13711
66,67,14057
67,68,14583
68,69,15087
69,70,15778
70,71,16738
71,72,16597
72,73,19391
73,74,21206
74,75,23426
75,76,25644
76,77,26797
77,78,27212
78,79,27060
79,80,26946
80,81,26906
81,82,26875
82,83,26715
83,84,26850
84,85,26914
85,86,26787
86,87,26589
87,88,26415
88,89,26234
89,90,25889
90,91,25896
91,92,25413
92,93,25519
93,94,25307
94,95,24976
95,96,24939
96,97,24157
97,98,24532
98,99,24422
99,100,24234
100,101,23992
101,102,23814
102,103,23578
103,104,23222
104,105,22995
105,106,22982
106,107,22735
107,108,22544
108,109,22340
109,110,22104
110,111,21897
111,112,21686
112,113,21227
113,114,21291
114,115,21133
115,116,20817
116,117,20560
117,118,20240
118,119,20297
119,120,20091
120,121,19859
121,122,19726
122,123,19505
123,124,19147
124,125,19118
125,126,18915
126,127,18711
127,128,18469
128,129,18332
129,130,18139
130,131,17711
131,132,17726
132,133,17218
133,134,17210
134,135,16829
135,136,16647
136,137,16160
137,138,15240
138,139,14920
139,140,14166
140,141,13281
141,142,12104
142,143,10765
143,144,9230
144,145,7619
145,146,6259
146,147,5012
147,148,3911
148,149,2966
149,150,2362
150,151,1848
151,152,1496
152,153,1182
153,154,888
154,155,619
155,156,473
156,157,352
157,158,243
158,159,146
159,160,85
160,161,37
161,162,18
162,163,14
163,164,12
164,165,4
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
