bin_lo_us,bin_hi_us,count
0,1,0
1,2,571
2,3,4297
3,4,8800
4,5,14486
5,6,20660
6,7,24623
7,8,26713
8,9,27822
9,10,28302
10,11,28025
11,12,27810
12,13,27108
13,14,25933
14,15,24360
15,16,22406
16,17,20791
17,18,19127
18,19,17676
19,20,16253
20,21,15136
21,22,14238
22,23,13222
23,24,12434
24,25,11603
25,26,10961
26,27,10507
27,28,10102
28,29,9626
29,30,9119
30,31,8588
31,32,8173
32,33,7715
33,34,7413
34,35,7157
35,36,6966
36,37,6811
37,38,6731
38,39,6515
39,40,6443
40,41,6266
41,42,6074
42,43,5876
43,44,5547
44,45,5338
45,46,5060
46,47,4885
47,48,4655
48,49,4571
49,50,4443
50,51,4371
51,52,4185
52,53,4091
53,54,3962
54,55,3800
55,56,3648
56,57,3613
57,58,3569
58,59,3505
59,60,3473
60,61,3422
61,62,3416
62,63,3380
63,64,3350
64,65,3344
65,66,3324
66,67,3240
67,68,3183
68,69,3164
69,70,3170
70,71,3047
71,72,2975
72,73,3033
73,74,2900
74,75,2899
75,76,2778
76,77,2776
77,78,2747
78,79,2678
79,80,2600
80,81,2560
81,82,2516
82,83,2514
83,84,2435
84,85,2336
85,86,2416
86,87,2329
87,88,2224
88,89,2242
89,90,2201
90,91,2216
91,92,2113
92,93,2103
93,94,2108
94,95,2064
95,96,2038
96,97,1959
97,98,1921
98,99,1944
99,100,1923
100,101,1845
101,102,1779
102,103,1868
103,104,1882
104,105,1758
105,106,1767
106,107,1661
107,108,1803
108,109,1743
109,110,1718
110,111,1661
111,112,1682
112,113,1754
113,114,1682
114,115,1586
115,116,1580
116,117,1568
117,118,1616
118,119,1503
119,120,1500
120,121,1466
121,122,1504
122,123,1474
123,124,1459
124,125,1399
125,126,1404
126,127,1446
127,128,1419
128,129,1341
129,130,1363
130,131,1366
131,132,1317
132,133,1303
133,134,1270
134,135,1325
135,136,1258
136,137,1238
137,138,1243
138,139,1282
139,140,1251
140,141,1189
141,142,1173
142,143,1226
143,144,1214
144,145,1168
145,146,1151
146,147,1103
147,148,1186
148,149,1160
149,150,1110
150,151,1116
151,152,1126
152,153,1167
153,154,1118
154,155,1087
155,156,1046
156,157,1102
157,158,1109
158,159,1049
159,160,1044
160,161,1032
161,162,1008
162,163,1070
163,164,1006
164,165,1006
165,166,1026
166,167,1001
167,168,995
168,169,996
169,170,1002
170,171,959
171,172,954
172,173,982
173,174,949
174,175,956
175,176,896
176,177,904
177,178,980
178,179,920
179,180,898
180,181,904
181,182,870
182,183,938
183,184,936
184,185,873
185,186,834
186,187,856
187,188,900
188,189,857
189,190,787
190,191,816
191,192,832
192,193,860
193,194,781
194,195,792
195,196,800
196,197,858
197,198,828
198,199,758
199,200,157485
