bin_lo_us,bin_hi_us,count
0,1,0
1,2,20
2,3,19
3,4,44
4,5,31
5,6,94
6,7,189
7,8,324
8,9,428
9,10,496
10,11,777
11,12,845
12,13,925
13,14,1560
14,15,1723
15,16,1611
16,17,1432
17,18,1892
18,19,1785
19,20,1656
20,21,1648
21,22,1532
22,23,1444
23,24,1318
24,25,1397
25,26,1589
26,27,1694
27,28,1721
28,29,1671
29,30,1601
30,31,1526
31,32,1621
32,33,1660
33,34,1768
34,35,1821
35,36,1709
36,37,1605
37,38,1539
38,39,1583
39,40,1539
40,41,1465
41,42,1519
42,43,1514
43,44,1563
44,45,1528
45,46,1524
46,47,1657
47,48,1663
48,49,1614
49,50,1659
50,51,1533
51,52,1573
52,53,1627
53,54,1695
54,55,1611
55,56,1526
56,57,1553
57,58,1548
58,59,1563
59,60,1499
60,61,1513
61,62,1513
62,63,1538
63,64,1481
64,65,1437
65,66,1408
66,67,1414
67,68,1436
68,69,1357
69,70,1357
70,71,1364
71,72,1304
72,73,1226
73,74,1151
74,75,1236
75,76,1146
76,77,1057
77,78,1040
78,79,1036
79,80,1019
80,81,983
81,82,859
82,83,863
83,84,856
84,85,815
85,86,736
86,87,692
87,88,678
88,89,652
89,90,657
90,91,595
91,92,580
92,93,602
93,94,559
94,95,515
95,96,520
96,97,453
97,98,429
98,99,430
99,100,445
100,101,391
101,102,397
102,103,354
103,104,325
104,105,345
105,106,320
106,107,287
107,108,304
108,109,305
109,110,295
110,111,278
111,112,261
112,113,237
113,114,266
114,115,252
115,116,227
116,117,237
117,118,190
118,119,214
119,120,209
120,121,219
121,122,200
122,123,212
123,124,200
124,125,176
125,126,183
126,127,178
127,128,190
128,129,156
129,130,174
130,131,151
131,132,200
132,133,165
133,134,160
134,135,156
135,136,131
136,137,183
137,138,126
138,139,150
139,140,147
140,141,130
141,142,148
142,143,128
143,144,106
144,145,145
145,146,122
146,147,123
147,148,104
148,149,121
149,150,112
150,151,110
151,152,100
152,153,84
153,154,92
154,155,110
155,156,74
156,157,82
157,158,71
158,159,103
159,160,66
160,161,64
161,162,66
162,163,60
163,164,70
164,165,44
165,166,46
166,167,53
167,168,51
168,169,53
169,170,37
170,171,29
171,172,40
172,173,41
173,174,33
174,175,28
175,176,28
176,177,31
177,178,30
178,179,27
179,180,29
180,181,24
181,182,14
182,183,19
183,184,15
184,185,16
185,186,13
186,187,24
187,188,11
188,189,18
189,190,20
190,191,22
191,192,20
192,193,13
193,194,14
194,195,17
195,196,11
196,197,13
197,198,11
198,199,12
199,200,400
