bin_lo_us,bin_hi_us,count
0,1,61
1,2,211
2,3,196
3,4,417
4,5,698
5,6,1112
6,7,1502
7,8,1633
8,9,2451
9,10,3145
10,11,3432
11,12,3513
12,13,4537
13,14,4124
14,15,3915
15,16,4013
16,17,3692
17,18,3774
18,19,3043
19,20,2772
20,21,2725
21,22,2588
22,23,2524
23,24,2473
24,25,2398
25,26,2369
26,27,2286
27,28,2295
28,29,2212
29,30,2216
30,31,2079
31,32,2121
32,33,1965
33,34,2106
34,35,2129
35,36,1999
36,37,1962
37,38,1897
38,39,1854
39,40,1811
40,41,1806
41,42,1697
42,43,1699
43,44,1722
44,45,1565
45,46,1508
46,47,1461
47,48,1452
48,49,1386
49,50,1397
50,51,1336
51,52,1383
52,53,1380
53,54,1362
54,55,1285
55,56,1237
56,57,1243
57,58,1164
58,59,1152
59,60,1068
60,61,1094
61,62,1107
62,63,1015
63,64,999
64,65,1025
65,66,1001
66,67,996
67,68,960
68,69,896
69,70,935
70,71,910
71,72,854
72,73,863
73,74,811
74,75,893
75,76,844
76,77,816
77,78,775
78,79,810
79,80,736
80,81,767
81,82,728
82,83,739
83,84,728
84,85,781
85,86,745
86,87,687
87,88,673
88,89,652
89,90,698
90,91,668
91,92,633
92,93,705
93,94,642
94,95,694
95,96,638
96,97,620
97,98,612
98,99,629
99,100,581
100,101,563
101,102,555
102,103,520
103,104,500
104,105,549
105,106,511
106,107,446
107,108,556
108,109,538
109,110,521
110,111,421
111,112,456
112,113,468
113,114,443
114,115,500
115,116,468
116,117,414
117,118,465
118,119,445
119,120,383
120,121,364
121,122,419
122,123,472
123,124,416
124,125,373
125,126,417
126,127,416
127,128,429
128,129,360
129,130,373
130,131,388
131,132,395
132,133,428
133,134,426
134,135,464
135,136,443
136,137,413
137,138,362
138,139,371
139,140,371
140,141,413
141,142,396
142,143,361
143,144,408
144,145,398
145,146,359
146,147,325
147,148,368
148,149,377
149,150,369
150,151,362
151,152,342
152,153,360
153,154,380
154,155,385
155,156,310
156,157,332
157,158,405
158,159,339
159,160,315
160,161,320
161,162,372
162,163,402
163,164,329
164,165,331
165,166,368
166,167,366
167,168,343
168,169,364
169,170,327
170,171,328
171,172,374
172,173,295
173,174,314
174,175,347
175,176,378
176,177,341
177,178,308
178,179,294
179,180,313
180,181,368
181,182,344
182,183,292
183,184,335
184,185,340
185,186,325
186,187,315
187,188,296
188,189,341
189,190,365
190,191,332
191,192,303
192,193,351
193,194,351
194,195,339
195,196,267
196,197,299
197,198,344
198,199,313
199,200,71471
