bin_lo_us,bin_hi_us,count
0,1,0
1,2,7
2,3,32
3,4,69
4,5,108
5,6,241
6,7,349
7,8,728
8,9,1161
9,10,1457
10,11,2309
11,12,2488
12,13,3339
13,14,4051
14,15,4428
15,16,5466
16,17,5833
17,18,6252
18,19,6407
19,20,6525
20,21,6653
21,22,6679
22,23,6577
23,24,6474
24,25,6434
25,26,6332
26,27,6528
27,28,6404
28,29,6438
29,30,6339
30,31,6504
31,32,6283
32,33,6400
33,34,6351
34,35,6420
35,36,6337
36,37,6251
37,38,6359
38,39,6440
39,40,6480
40,41,6495
41,42,6509
42,43,6365
43,44,6640
44,45,6669
45,46,6434
46,47,6572
47,48,6422
48,49,6525
49,50,6204
50,51,6346
51,52,6143
52,53,6222
53,54,6295
54,55,6121
55,56,6233
56,57,6198
57,58,6600
58,59,6300
59,60,6544
60,61,6449
61,62,6512
62,63,6430
63,64,6295
64,65,6229
65,66,6530
66,67,6386
67,68,6293
68,69,6251
69,70,6210
70,71,6432
71,72,6204
72,73,6257
73,74,6174
74,75,6107
75,76,6169
76,77,6111
77,78,6098
78,79,6050
79,80,6160
80,81,6163
81,82,6077
82,83,5975
83,84,6125
84,85,6050
85,86,5806
86,87,5841
87,88,5846
88,89,5944
89,90,5731
90,91,5751
91,92,5575
92,93,5741
93,94,5510
94,95,5515
95,96,5304
96,97,5329
97,98,5505
98,99,5146
99,100,5198
100,101,5014
101,102,5167
102,103,5012
103,104,4883
104,105,4689
105,106,4865
106,107,4761
107,108,4616
108,109,4616
109,110,4416
110,111,4630
111,112,4561
112,113,4433
113,114,4282
114,115,4301
115,116,4369
116,117,4255
117,118,4097
118,119,4154
119,120,4341
120,121,4146
121,122,4139
122,123,3850
123,124,3935
124,125,3871
125,126,3983
126,127,3821
127,128,3710
128,129,3959
129,130,3697
130,131,3620
131,132,3573
132,133,3678
133,134,3552
134,135,3471
135,136,3486
136,137,3402
137,138,3670
138,139,3380
139,140,3515
140,141,3404
141,142,3438
142,143,3350
143,144,3344
144,145,3175
145,146,3169
146,147,3392
147,148,3150
148,149,3210
149,150,3107
150,151,3142
151,152,3065
152,153,3038
153,154,3051
154,155,2979
155,156,3059
156,157,2948
157,158,2859
158,159,2793
159,160,3073
160,161,2886
161,162,2872
162,163,2814
163,164,2783
164,165,2922
165,166,2749
166,167,2799
167,168,2718
168,169,2816
169,170,2714
170,171,2802
171,172,2615
172,173,2747
173,174,2612
174,175,2618
175,176,2483
176,177,2535
177,178,2610
178,179,2556
179,180,2638
180,181,2532
181,182,2597
182,183,2520
183,184,2358
184,185,2489
185,186,2477
186,187,2450
187,188,2420
188,189,2479
189,190,2311
190,191,2405
191,192,2385
192,193,2337
193,194,2343
194,195,2366
195,196,2390
196,197,2251
197,198,2272
198,199,2148
199,200,1221418
