bin_lo_us,bin_hi_us,count
0,1,0
1,2,2290
2,3,9474
3,4,14253
4,5,14234
5,6,14303
6,7,14240
7,8,14322
8,9,14263
9,10,14327
10,11,14240
11,12,14262
12,13,14338
13,14,14296
14,15,14230
15,16,14303
16,17,14203
17,18,14225
18,19,14233
19,20,14212
20,21,14173
21,22,14132
22,23,14061
23,24,14045
24,25,13945
25,26,13827
26,27,13675
27,28,13336
28,29,12961
29,30,12261
30,31,11446
31,32,10387
32,33,9325
33,34,8296
34,35,7408
35,36,6743
36,37,6076
37,38,5485
38,39,4917
39,40,4491
40,41,4061
41,42,3746
42,43,3403
43,44,3115
44,45,2831
45,46,2672
46,47,2399
47,48,2245
48,49,2061
49,50,1894
50,51,1741
51,52,1745
52,53,1605
53,54,1523
54,55,1443
55,56,1337
56,57,1262
57,58,1229
58,59,1139
59,60,1119
60,61,1045
61,62,976
62,63,864
63,64,801
64,65,769
65,66,714
66,67,665
67,68,644
68,69,558
69,70,549
70,71,495
71,72,483
72,73,457
73,74,435
74,75,402
75,76,404
76,77,375
77,78,360
78,79,330
79,80,321
80,81,333
81,82,286
82,83,258
83,84,263
84,85,262
85,86,257
86,87,226
87,88,207
88,89,183
89,90,178
90,91,170
91,92,150
92,93,148
93,94,131
94,95,117
95,96,113
96,97,113
97,98,98
98,99,121
99,100,111
100,101,111
101,102,117
102,103,96
103,104,107
104,105,102
105,106,99
106,107,92
107,108,94
108,109,74
109,110,60
110,111,43
111,112,34
112,113,32
113,114,20
114,115,17
115,116,10
116,117,0
117,118,0
118,119,0
119,120,0
120,121,0
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
