bin_lo_us,bin_hi_us,count
0,1,0
1,2,92
2,3,285
3,4,368
4,5,647
5,6,1181
6,7,1627
7,8,2374
8,9,3911
9,10,5152
10,11,6294
11,12,7413
12,13,8435
13,14,9466
14,15,10911
15,16,12150
16,17,12823
17,18,13477
18,19,13646
19,20,14045
20,21,14208
21,22,14204
22,23,14231
23,24,14254
24,25,14281
25,26,14232
26,27,14267
27,28,14296
28,29,14193
29,30,14221
30,31,14254
31,32,14148
32,33,14157
33,34,14016
34,35,14054
35,36,13967
36,37,13842
37,38,13686
38,39,13544
39,40,13310
40,41,13047
41,42,12767
42,43,12399
43,44,12066
44,45,11710
45,46,11462
46,47,10969
47,48,10626
48,49,10253
49,50,9891
50,51,9533
51,52,9197
52,53,8856
53,54,8595
54,55,8219
55,56,7833
56,57,7569
57,58,7235
58,59,7101
59,60,6812
60,61,6519
61,62,6423
62,63,6179
63,64,6034
64,65,5886
65,66,5736
66,67,5632
67,68,5487
68,69,5379
69,70,5244
70,71,5156
71,72,5008
72,73,4864
73,74,4793
74,75,4661
75,76,4538
76,77,4408
77,78,4283
78,79,4219
79,80,4127
80,81,3978
81,82,3941
82,83,3834
83,84,3754
84,85,3655
85,86,3550
86,87,3514
87,88,3450
88,89,3395
89,90,3352
90,91,3303
91,92,3272
92,93,3190
93,94,3141
94,95,3107
95,96,3029
96,97,3046
97,98,2971
98,99,2938
99,100,2906
100,101,2848
101,102,2762
102,103,2734
103,104,2683
104,105,2598
105,106,2622
106,107,2467
107,108,2415
108,109,2393
109,110,2336
110,111,2302
111,112,2289
112,113,2207
113,114,2184
114,115,2157
115,116,2112
116,117,2037
117,118,2017
118,119,1972
119,120,1981
120,121,1980
121,122,1905
122,123,1903
123,124,1854
124,125,1862
125,126,1814
126,127,1789
127,128,1768
128,129,1744
129,130,1757
130,131,1713
131,132,1735
132,133,1685
133,134,1688
134,135,1679
135,136,1634
136,137,1614
137,138,1603
138,139,1566
139,140,1607
140,141,1538
141,142,1543
142,143,1560
143,144,1526
144,145,1485
145,146,1499
146,147,1477
147,148,1446
148,149,1437
149,150,1462
150,151,1429
151,152,1378
152,153,1404
153,154,1372
154,155,1344
155,156,1355
156,157,1338
157,158,1315
158,159,1292
159,160,1310
160,161,1255
161,162,1254
162,163,1239
163,164,1211
164,165,1227
165,166,1178
166,167,1223
167,168,1147
168,169,1199
169,170,1136
170,171,1156
171,172,1152
172,173,1127
173,174,1114
174,175,1040
175,176,1094
176,177,1017
177,178,1030
178,179,1044
179,180,994
180,181,1035
181,182,1003
182,183,1038
183,184,977
184,185,976
185,186,957
186,187,932
187,188,964
188,189,916
189,190,947
190,191,907
191,192,906
192,193,899
193,194,880
194,195,902
195,196,864
196,197,891
197,198,815
198,199,883
199,200,123817
