bin_lo_us,bin_hi_us,count
0,1,0
1,2,161
2,3,217
3,4,272
4,5,355
5,6,401
6,7,549
7,8,634
8,9,661
9,10,679
10,11,692
11,12,799
12,13,1090
13,14,1441
14,15,1566
15,16,1577
16,17,1849
17,18,2072
18,19,2148
19,20,2279
20,21,2500
21,22,2636
22,23,2732
23,24,2953
24,25,2997
25,26,3032
26,27,3159
27,28,3201
28,29,3170
29,30,3311
30,31,3402
31,32,3452
32,33,3491
33,34,3432
34,35,3509
35,36,3572
36,37,3568
37,38,3562
38,39,3566
39,40,3581
40,41,3582
41,42,3563
42,43,3569
43,44,3593
44,45,3543
45,46,3582
46,47,3560
47,48,3603
48,49,3569
49,50,3528
50,51,3612
51,52,3554
52,53,3584
53,54,3544
54,55,3587
55,56,3570
56,57,3561
57,58,3590
58,59,3561
59,60,3586
60,61,3557
61,62,3560
62,63,3594
63,64,3553
64,65,3574
65,66,3538
66,67,3580
67,68,3557
68,69,3544
69,70,3562
70,71,3526
71,72,3514
72,73,3500
73,74,3434
74,75,3416
75,76,3361
76,77,3289
77,78,3230
78,79,3161
79,80,3064
80,81,3000
81,82,2862
82,83,2789
83,84,2701
84,85,2641
85,86,2487
86,87,2349
87,88,2217
88,89,2052
89,90,1901
90,91,1704
91,92,1500
92,93,1307
93,94,1165
94,95,972
95,96,870
96,97,789
97,98,707
98,99,611
99,100,560
100,101,487
101,102,394
102,103,312
103,104,216
104,105,172
105,106,119
106,107,109
107,108,113
108,109,90
109,110,60
110,111,24
111,112,16
112,113,8
113,114,11
114,115,6
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
120,121,0
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
