bin_lo_us,bin_hi_us,count
0,1,0
1,2,56
2,3,57
3,4,116
4,5,115
5,6,117
6,7,124
7,8,171
8,9,174
9,10,182
10,11,180
11,12,236
12,13,234
13,14,235
14,15,263
15,16,296
16,17,294
17,18,299
18,19,340
19,20,376
20,21,371
21,22,386
22,23,442
23,24,450
24,25,433
25,26,492
26,27,519
27,28,542
28,29,560
29,30,627
30,31,737
31,32,730
32,33,769
33,34,896
34,35,1111
35,36,1382
36,37,1723
37,38,2296
38,39,2860
39,40,3584
40,41,4027
41,42,4143
42,43,4139
43,44,4118
44,45,4010
45,46,4116
46,47,4083
47,48,3953
48,49,3814
49,50,3644
50,51,3469
51,52,3208
52,53,3105
53,54,2966
54,55,2796
55,56,2636
56,57,2565
57,58,2436
58,59,2276
59,60,2163
60,61,2075
61,62,2012
62,63,1886
63,64,1817
64,65,1864
65,66,1718
66,67,1710
67,68,1689
68,69,1670
69,70,1545
70,71,1520
71,72,1513
72,73,1502
73,74,1461
74,75,1406
75,76,1402
76,77,1385
77,78,1354
78,79,1328
79,80,1349
80,81,1318
81,82,1271
82,83,1281
83,84,1254
84,85,1228
85,86,1117
86,87,1177
87,88,1169
88,89,1142
89,90,1105
90,91,1123
91,92,1112
92,93,1066
93,94,1066
94,95,1088
95,96,1071
96,97,1025
97,98,1009
98,99,1028
99,100,1013
100,101,969
101,102,990
102,103,1001
103,104,977
104,105,951
105,106,982
106,107,889
107,108,953
108,109,913
109,110,939
110,111,906
111,112,913
112,113,885
113,114,924
114,115,919
115,116,880
116,117,861
117,118,889
118,119,883
119,120,841
120,121,862
121,122,874
122,123,849
123,124,812
124,125,840
125,126,840
126,127,795
127,128,793
128,129,840
129,130,833
130,131,791
131,132,786
132,133,816
133,134,806
134,135,759
135,136,769
136,137,789
137,138,772
138,139,751
139,140,764
140,141,785
141,142,758
142,143,737
143,144,777
144,145,768
145,146,750
146,147,643
147,148,763
148,149,765
149,150,738
150,151,718
151,152,735
152,153,748
153,154,701
154,155,687
155,156,728
156,157,717
157,158,691
158,159,704
159,160,728
160,161,715
161,162,678
162,163,714
163,164,728
164,165,704
165,166,672
166,167,723
167,168,723
168,169,700
169,170,679
170,171,726
171,172,712
172,173,678
173,174,676
174,175,710
175,176,705
176,177,662
177,178,672
178,179,693
179,180,682
180,181,638
181,182,662
182,183,672
183,184,655
184,185,618
185,186,671
186,187,669
187,188,572
188,189,624
189,190,672
190,191,671
191,192,627
192,193,626
193,194,672
194,195,665
195,196,631
196,197,639
197,198,672
198,199,661
199,200,39317
