bin_lo_us,bin_hi_us,count
0,1,75
1,2,176
2,3,133
3,4,250
4,5,90
5,6,113
6,7,526
7,8,327
8,9,484
9,10,312
10,11,471
11,12,398
12,13,439
13,14,419
14,15,281
15,16,364
16,17,250
17,18,463
18,19,369
19,20,284
20,21,295
21,22,263
22,23,368
23,24,411
24,25,348
25,26,259
26,27,347
27,28,326
28,29,478
29,30,396
30,31,236
31,32,405
32,33,312
33,34,508
34,35,433
35,36,252
36,37,430
37,38,315
38,39,504
39,40,473
40,41,286
41,42,415
42,43,324
43,44,485
44,45,471
45,46,315
46,47,392
47,48,342
48,49,459
49,50,470
50,51,345
51,52,370
52,53,351
53,54,425
54,55,468
55,56,404
56,57,309
57,58,395
58,59,360
59,60,505
60,61,445
61,62,263
62,63,428
63,64,326
64,65,513
65,66,461
66,67,254
67,68,432
68,69,327
69,70,489
70,71,481
71,72,270
72,73,419
73,74,335
74,75,472
75,76,485
76,77,303
77,78,404
78,79,332
79,80,468
80,81,477
81,82,337
82,83,375
83,84,349
84,85,431
85,86,477
86,87,379
87,88,326
88,89,384
89,90,389
90,91,485
91,92,419
92,93,280
93,94,421
94,95,344
95,96,495
96,97,463
97,98,265
98,99,435
99,100,321
100,101,488
101,102,471
102,103,279
103,104,426
104,105,330
105,106,474
106,107,473
107,108,305
108,109,425
109,110,331
110,111,454
111,112,465
112,113,345
113,114,408
114,115,325
115,116,437
116,117,444
117,118,393
118,119,360
119,120,353
120,121,394
121,122,463
122,123,430
123,124,296
124,125,404
125,126,321
126,127,496
127,128,439
128,129,278
129,130,417
130,131,319
131,132,471
132,133,452
133,134,287
134,135,410
135,136,322
136,137,439
137,138,463
138,139,288
139,140,394
140,141,315
141,142,418
142,143,426
143,144,312
144,145,361
145,146,307
146,147,407
147,148,391
148,149,332
149,150,319
150,151,330
151,152,348
152,153,401
153,154,358
154,155,269
155,156,339
156,157,295
157,158,409
158,159,360
159,160,230
160,161,364
161,162,261
162,163,397
163,164,345
164,165,230
165,166,351
166,167,257
167,168,366
168,169,360
169,170,248
170,171,307
171,172,251
172,173,349
173,174,351
174,175,246
175,176,297
176,177,242
177,178,349
178,179,316
179,180,248
180,181,268
181,182,258
182,183,299
183,184,304
184,185,274
185,186,224
186,187,267
187,188,232
188,189,324
189,190,279
190,191,190
191,192,277
192,193,187
193,194,322
194,195,277
195,196,177
196,197,263
197,198,179
198,199,320
199,200,60087
