bin_lo_us,bin_hi_us,count
0,1,0
1,2,77
2,3,382
3,4,660
4,5,1150
5,6,1846
6,7,2500
7,8,2978
8,9,3259
9,10,3452
10,11,3559
11,12,3573
12,13,3593
13,14,3534
14,15,3601
15,16,3532
16,17,3588
17,18,3540
18,19,3542
19,20,3526
20,21,3487
21,22,3459
22,23,3437
23,24,3313
24,25,3197
25,26,3086
26,27,2871
27,28,2756
28,29,2513
29,30,2294
30,31,2150
31,32,2028
32,33,1909
33,34,1795
34,35,1694
35,36,1632
36,37,1565
37,38,1461
38,39,1420
39,40,1332
40,41,1283
41,42,1174
42,43,1138
43,44,1076
44,45,1000
45,46,972
46,47,964
47,48,887
48,49,853
49,50,832
50,51,812
51,52,764
52,53,749
53,54,733
54,55,714
55,56,662
56,57,670
57,58,633
58,59,631
59,60,601
60,61,565
61,62,540
62,63,527
63,64,485
64,65,479
65,66,458
66,67,439
67,68,427
68,69,402
69,70,396
70,71,394
71,72,389
72,73,365
73,74,376
74,75,359
75,76,351
76,77,337
77,78,327
78,79,326
79,80,290
80,81,275
81,82,261
82,83,259
83,84,252
84,85,234
85,86,226
86,87,230
87,88,223
88,89,214
89,90,213
90,91,209
91,92,208
92,93,192
93,94,187
94,95,181
95,96,155
96,97,149
97,98,134
98,99,135
99,100,120
100,101,114
101,102,111
102,103,118
103,104,117
104,105,104
105,106,115
106,107,113
107,108,116
108,109,106
109,110,118
110,111,113
111,112,112
112,113,106
113,114,110
114,115,113
115,116,111
116,117,105
117,118,91
118,119,101
119,120,90
120,121,64
121,122,42
122,123,30
123,124,12
124,125,7
125,126,5
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
