bin_lo_us,bin_hi_us,count
0,1,40
1,2,400
2,3,535
3,4,550
4,5,500
5,6,567
6,7,515
7,8,521
8,9,579
9,10,649
10,11,740
11,12,1015
12,13,902
13,14,918
14,15,2294
15,16,3547
16,17,3923
17,18,4073
18,19,4219
19,20,4221
20,21,4223
21,22,4528
22,23,4609
23,24,4467
24,25,4475
25,26,4656
26,27,4996
27,28,6695
28,29,7729
29,30,8177
30,31,8612
31,32,9145
32,33,9672
33,34,10741
34,35,12142
35,36,12399
36,37,19970
37,38,35284
38,39,48140
39,40,52643
40,41,55638
41,42,57991
42,43,58467
43,44,59218
44,45,59631
45,46,60194
46,47,60284
47,48,60543
48,49,60817
49,50,60988
50,51,61193
51,52,60982
52,53,60968
53,54,62220
54,55,62481
55,56,62134
56,57,61962
57,58,62097
58,59,62116
59,60,62354
60,61,62531
61,62,62358
62,63,62480
63,64,62260
64,65,60714
65,66,58682
66,67,56287
67,68,52859
68,69,48576
69,70,45382
70,71,42763
71,72,39571
72,73,36720
73,74,34309
74,75,32239
75,76,26120
76,77,28341
77,78,25735
78,79,23803
79,80,23448
80,81,23172
81,82,22390
82,83,21612
83,84,20889
84,85,20384
85,86,19599
86,87,18558
87,88,17910
88,89,17427
89,90,16528
90,91,15279
91,92,14405
92,93,14891
93,94,15610
94,95,15309
95,96,14791
96,97,14534
97,98,14173
98,99,14152
99,100,14053
100,101,13911
101,102,13429
102,103,12363
103,104,11357
104,105,11603
105,106,12882
106,107,13372
107,108,13389
108,109,13691
109,110,13857
110,111,13930
111,112,13870
112,113,13891
113,114,13914
114,115,13660
115,116,12948
116,117,10163
117,118,12313
118,119,13191
119,120,13519
120,121,13585
121,122,13678
122,123,13519
123,124,13009
124,125,12498
125,126,12009
126,127,11779
127,128,11741
128,129,11168
129,130,9795
130,131,10031
131,132,10843
132,133,11028
133,134,11237
134,135,11370
135,136,11168
136,137,11150
137,138,11233
138,139,11170
139,140,11192
140,141,10646
141,142,9544
142,143,9649
143,144,10444
144,145,10821
145,146,10938
146,147,11073
147,148,11104
148,149,11027
149,150,10973
150,151,11153
151,152,11174
152,153,11128
153,154,10729
154,155,9811
155,156,10034
156,157,10621
157,158,9194
158,159,10774
159,160,10858
160,161,10958
161,162,11093
162,163,10972
163,164,10920
164,165,10965
165,166,10899
166,167,10687
167,168,9729
168,169,9402
169,170,10198
170,171,10663
171,172,10734
172,173,10827
173,174,10848
174,175,10910
175,176,10826
176,177,10869
177,178,10760
178,179,10508
179,180,9413
180,181,8363
181,182,9152
182,183,10087
183,184,10485
184,185,10703
185,186,10761
186,187,10706
187,188,10719
188,189,10729
189,190,10693
190,191,10597
191,192,10349
192,193,9358
193,194,8241
194,195,8800
195,196,9961
196,197,10438
197,198,9097
198,199,10742
199,200,338858
