bin_lo_us,bin_hi_us,count
0,1,0
1,2,0
2,3,4012
3,4,15191
4,5,19347
5,6,22834
6,7,26418
7,8,28603
8,9,28622
9,10,28526
10,11,28559
11,12,28567
12,13,28535
13,14,28483
14,15,28536
15,16,28528
16,17,28390
17,18,28404
18,19,28322
19,20,28215
20,21,28373
21,22,28238
22,23,28219
23,24,28147
24,25,28044
25,26,28012
26,27,27868
27,28,27520
28,29,27234
29,30,26470
30,31,25160
31,32,23603
32,33,21660
33,34,19603
34,35,17586
35,36,15780
36,37,14068
37,38,12671
38,39,11515
39,40,10390
40,41,9542
41,42,8638
42,43,7950
43,44,7278
44,45,6713
45,46,6322
46,47,5945
47,48,5384
48,49,4799
49,50,4352
50,51,3939
51,52,3662
52,53,3409
53,54,3328
54,55,3170
55,56,3064
56,57,2975
57,58,2851
58,59,2845
59,60,2599
60,61,2454
61,62,2300
62,63,2163
63,64,1992
64,65,1815
65,66,1620
66,67,1538
67,68,1410
68,69,1278
69,70,1194
70,71,1110
71,72,1114
72,73,1007
73,74,976
74,75,932
75,76,875
76,77,834
77,78,805
78,79,734
79,80,710
80,81,675
81,82,672
82,83,629
83,84,580
84,85,564
85,86,549
86,87,543
87,88,505
88,89,475
89,90,440
90,91,408
91,92,408
92,93,371
93,94,383
94,95,348
95,96,328
96,97,317
97,98,309
98,99,313
99,100,288
100,101,264
101,102,259
102,103,250
103,104,237
104,105,222
105,106,225
106,107,219
107,108,200
108,109,193
109,110,198
110,111,193
111,112,189
112,113,179
113,114,147
114,115,141
115,116,126
116,117,116
117,118,107
118,119,118
119,120,107
120,121,113
121,122,111
122,123,113
123,124,109
124,125,111
125,126,114
126,127,110
127,128,113
128,129,106
129,130,117
130,131,111
131,132,113
132,133,114
133,134,103
134,135,83
135,136,59
136,137,50
137,138,36
138,139,28
139,140,27
140,141,29
141,142,27
142,143,5
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
