bin_lo_us,bin_hi_us,count
0,1,0
1,2,4
2,3,13
3,4,54
4,5,123
5,6,254
6,7,454
7,8,608
8,9,982
9,10,1027
10,11,1401
11,12,1690
12,13,1810
13,14,1889
14,15,2112
15,16,2357
16,17,2522
17,18,2687
18,19,2769
19,20,3020
20,21,3241
21,22,3426
22,23,3576
23,24,3854
24,25,4100
25,26,4213
26,27,4487
27,28,4808
28,29,4955
29,30,5219
30,31,5563
31,32,5715
32,33,6095
33,34,6416
34,35,6798
35,36,7318
36,37,7751
37,38,8657
38,39,9678
39,40,10146
40,41,12796
41,42,15193
42,43,18226
43,44,21396
44,45,24606
45,46,28066
46,47,30899
47,48,32509
48,49,33229
49,50,33839
50,51,34281
51,52,34630
52,53,34729
53,54,34937
54,55,34938
55,56,34981
56,57,34922
57,58,35017
58,59,34914
59,60,34849
60,61,34905
61,62,34691
62,63,34465
63,64,34470
64,65,33903
65,66,33671
66,67,33031
67,68,32067
68,69,30781
69,70,28830
70,71,27316
71,72,25470
72,73,23722
73,74,22071
74,75,20546
75,76,18918
76,77,17940
77,78,16788
78,79,15798
79,80,14120
80,81,14202
81,82,13448
82,83,12836
83,84,12310
84,85,11829
85,86,11341
86,87,10987
87,88,10612
88,89,10294
89,90,9991
90,91,9815
91,92,9557
92,93,9311
93,94,9144
94,95,8999
95,96,8884
96,97,8740
97,98,8559
98,99,8372
99,100,8266
100,101,8229
101,102,8114
102,103,8060
103,104,7887
104,105,7823
105,106,7720
106,107,7708
107,108,7599
108,109,7463
109,110,7389
110,111,7323
111,112,7304
112,113,7260
113,114,7194
114,115,7152
115,116,7118
116,117,7076
117,118,7077
118,119,7058
119,120,7016
120,121,6073
121,122,6942
122,123,6877
123,124,6819
124,125,6780
125,126,6709
126,127,6645
127,128,6601
128,129,6533
129,130,6490
130,131,6408
131,132,6410
132,133,6398
133,134,6386
134,135,6372
135,136,6386
136,137,6359
137,138,6272
138,139,6269
139,140,6292
140,141,6296
141,142,6284
142,143,6201
143,144,6192
144,145,6224
145,146,6232
146,147,6252
147,148,6258
148,149,6184
149,150,6161
150,151,6113
151,152,6090
152,153,6138
153,154,6179
154,155,6204
155,156,6131
156,157,6119
157,158,6136
158,159,6185
159,160,6255
160,161,6320
161,162,5459
162,163,6356
163,164,6354
164,165,6366
165,166,6392
166,167,6388
167,168,6352
168,169,6368
169,170,6348
170,171,6265
171,172,6272
172,173,6308
173,174,6237
174,175,6086
175,176,5955
176,177,5792
177,178,5618
178,179,5426
179,180,5268
180,181,5149
181,182,4991
182,183,4829
183,184,4719
184,185,4621
185,186,4508
186,187,4383
187,188,4246
188,189,4054
189,190,3867
190,191,3725
191,192,3563
192,193,3380
193,194,3183
194,195,3024
195,196,2821
196,197,2604
197,198,2446
198,199,2283
199,200,17652
