bin_lo_us,bin_hi_us,count
0,1,0
1,2,3
2,3,6
3,4,2
4,5,8
5,6,4
6,7,9
7,8,8
8,9,5
9,10,15
10,11,21
11,12,36
12,13,37
13,14,42
14,15,52
15,16,118
16,17,185
17,18,184
18,19,169
19,20,210
20,21,213
21,22,226
22,23,223
23,24,253
24,25,289
25,26,320
26,27,367
27,28,385
28,29,455
29,30,537
30,31,650
31,32,739
32,33,675
33,34,716
34,35,773
35,36,757
36,37,1117
37,38,1479
38,39,1319
39,40,1688
40,41,2175
41,42,2574
42,43,3007
43,44,3240
44,45,3793
45,46,4200
46,47,4692
47,48,5118
48,49,5525
49,50,6126
50,51,6790
51,52,7247
52,53,7701
53,54,8214
54,55,8700
55,56,9148
56,57,10119
57,58,10984
58,59,11637
59,60,12274
60,61,13176
61,62,13903
62,63,14588
63,64,15108
64,65,15920
65,66,16678
66,67,17673
67,68,18748
68,69,20149
69,70,21508
70,71,22818
71,72,23988
72,73,24904
73,74,25729
74,75,26449
75,76,26120
76,77,25908
77,78,25523
78,79,25277
79,80,24998
80,81,24650
81,82,24403
82,83,24178
83,84,23751
84,85,22761
85,86,23399
86,87,23072
87,88,22707
88,89,22116
89,90,21958
90,91,21474
91,92,21038
92,93,20490
93,94,20002
94,95,19401
95,96,18479
96,97,17918
97,98,16973
98,99,15646
99,100,14572
100,101,13061
101,102,11469
102,103,9777
103,104,8109
104,105,6520
105,106,4856
106,107,3517
107,108,2285
108,109,1391
109,110,882
110,111,518
111,112,268
112,113,153
113,114,52
114,115,6
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
120,121,0
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
128,129,0
129,130,0
130,131,0
131,132,0
132,133,0
133,134,0
134,135,0
135,136,0
136,137,0
137,138,0
138,139,0
139,140,0
140,141,0
141,142,0
142,143,0
143,144,0
144,145,0
145,146,0
146,147,0
147,148,0
148,149,0
149,150,0
150,151,0
151,152,0
152,153,0
153,154,0
154,155,0
155,156,0
156,157,0
157,158,0
158,159,0
159,160,0
160,161,0
161,162,0
162,163,0
163,164,0
164,165,0
165,166,0
166,167,0
167,168,0
168,169,0
169,170,0
170,171,0
171,172,0
172,173,0
173,174,0
174,175,0
175,176,0
176,177,0
177,178,0
178,179,0
179,180,0
180,181,0
181,182,0
182,183,0
183,184,0
184,185,0
185,186,0
186,187,0
187,188,0
188,189,0
189,190,0
190,191,0
191,192,0
192,193,0
193,194,0
194,195,0
195,196,0
196,197,0
197,198,0
198,199,0
199,200,0
