bin_lo_us,bin_hi_us,count
0,1,0
1,2,46
2,3,115
3,4,459
4,5,1131
5,6,1963
6,7,3063
7,8,4059
8,9,4618
9,10,5245
10,11,5531
11,12,5608
12,13,5757
13,14,6382
14,15,6640
15,16,6789
16,17,6812
17,18,7056
18,19,7129
19,20,6901
20,21,6768
21,22,6605
22,23,6620
23,24,6604
24,25,6488
25,26,6496
26,27,6384
27,28,6406
28,29,6297
29,30,6180
30,31,6059
31,32,6175
32,33,6326
33,34,6279
34,35,6216
35,36,6382
36,37,6416
37,38,6495
38,39,6546
39,40,6336
40,41,6489
41,42,6337
42,43,6411
43,44,6285
44,45,6493
45,46,6562
46,47,6565
47,48,6444
48,49,6432
49,50,6611
50,51,6400
51,52,6554
52,53,6310
53,54,6435
54,55,6339
55,56,6191
56,57,6169
57,58,6142
58,59,6246
59,60,6181
60,61,6324
61,62,6192
62,63,6455
63,64,6539
64,65,6459
65,66,6306
66,67,6280
67,68,6431
68,69,6285
69,70,6229
70,71,6154
71,72,6347
72,73,6302
73,74,6647
74,75,6480
75,76,6710
76,77,6812
77,78,6632
78,79,6342
79,80,6449
80,81,6550
81,82,6373
82,83,6312
83,84,5997
84,85,6089
85,86,6215
86,87,6390
87,88,6433
88,89,6368
89,90,6616
90,91,6776
91,92,6808
92,93,6843
93,94,6893
94,95,6911
95,96,6951
96,97,6867
97,98,6660
98,99,6645
99,100,6604
100,101,6603
101,102,6409
102,103,6393
103,104,6412
104,105,6380
105,106,6223
106,107,6126
107,108,6178
108,109,6277
109,110,6282
110,111,6236
111,112,6407
112,113,6364
113,114,6456
114,115,6445
115,116,6502
116,117,6412
117,118,6301
118,119,6313
119,120,6512
120,121,6505
121,122,6508
122,123,6515
123,124,6475
124,125,6565
125,126,6527
126,127,6535
127,128,6361
128,129,6268
129,130,6399
130,131,6240
131,132,6053
132,133,6100
133,134,6311
134,135,6311
135,136,6423
136,137,6358
137,138,6307
138,139,6570
139,140,6289
140,141,6334
141,142,6336
142,143,6344
143,144,6380
144,145,6251
145,146,6380
146,147,6299
147,148,6449
148,149,6700
149,150,6532
150,151,6459
151,152,6549
152,153,6636
153,154,6464
154,155,6247
155,156,6227
156,157,6197
157,158,6106
158,159,6052
159,160,6239
160,161,6358
161,162,6468
162,163,6603
163,164,6626
164,165,6519
165,166,6574
166,167,6729
167,168,6640
168,169,6496
169,170,6573
170,171,6499
171,172,6462
172,173,6334
173,174,6332
174,175,6440
175,176,6335
176,177,6266
177,178,6213
178,179,6311
179,180,6314
180,181,6247
181,182,6097
182,183,6298
183,184,6325
184,185,6339
185,186,6274
186,187,6256
187,188,6518
188,189,6491
189,190,6396
190,191,6301
191,192,6514
192,193,6390
193,194,6282
194,195,6294
195,196,6514
196,197,6345
197,198,6285
198,199,6261
199,200,864947
