bin_lo_us,bin_hi_us,count
0,1,53
1,2,379
2,3,453
3,4,1720
4,5,3466
5,6,5296
6,7,5950
7,8,6585
8,9,6833
9,10,5492
10,11,4326
11,12,3545
12,13,3150
13,14,3028
14,15,2983
15,16,2974
16,17,2805
17,18,2748
18,19,2865
19,20,2898
20,21,2931
21,22,2915
22,23,3013
23,24,2880
24,25,2831
25,26,2659
26,27,2475
27,28,2609
28,29,2759
29,30,2750
30,31,2808
31,32,2846
32,33,2764
33,34,2826
34,35,2828
35,36,2914
36,37,3043
37,38,3036
38,39,2927
39,40,2807
40,41,2760
41,42,2905
42,43,2873
43,44,2763
44,45,2771
45,46,2812
46,47,2955
47,48,2937
48,49,2961
49,50,3018
50,51,3148
51,52,3204
52,53,3213
53,54,3153
54,55,3249
55,56,3220
56,57,3148
57,58,3061
58,59,3198
59,60,3088
60,61,3117
61,62,3142
62,63,3163
63,64,3324
64,65,3084
65,66,2941
66,67,2919
67,68,2769
68,69,3103
69,70,2956
70,71,2929
71,72,3050
72,73,3172
73,74,3106
74,75,3028
75,76,3162
76,77,3192
77,78,3303
78,79,3292
79,80,3147
80,81,3163
81,82,3073
82,83,3093
83,84,2970
84,85,2974
85,86,3130
86,87,3198
87,88,3188
88,89,3094
89,90,3241
90,91,3185
91,92,3271
92,93,3328
93,94,3242
94,95,3377
95,96,3264
96,97,3123
97,98,3090
98,99,3220
99,100,3037
100,101,3174
101,102,3155
102,103,3287
103,104,3071
104,105,3118
105,106,3179
106,107,2930
107,108,3008
108,109,3022
109,110,3087
110,111,2942
111,112,3031
112,113,3226
113,114,3281
114,115,3187
115,116,3171
116,117,3201
117,118,3384
118,119,3115
119,120,3127
120,121,3208
121,122,3172
122,123,3117
123,124,3021
124,125,3055
125,126,3097
126,127,3148
127,128,3159
128,129,3090
129,130,3298
130,131,3302
131,132,3231
132,133,3237
133,134,3277
134,135,3301
135,136,3239
136,137,3135
137,138,3248
138,139,3145
139,140,3105
140,141,3246
141,142,3078
142,143,3093
143,144,2971
144,145,3188
145,146,3252
146,147,2995
147,148,3099
148,149,3063
149,150,3099
150,151,2968
151,152,3050
152,153,3230
153,154,3366
154,155,3203
155,156,3180
156,157,3159
157,158,3179
158,159,3183
159,160,3100
160,161,3218
161,162,3145
162,163,3141
163,164,3022
164,165,2998
165,166,3267
166,167,3176
167,168,3159
168,169,3141
169,170,3234
170,171,3230
171,172,3182
172,173,3201
173,174,3224
174,175,3187
175,176,3157
176,177,3128
177,178,3147
178,179,3161
179,180,3114
180,181,3028
181,182,3075
182,183,3088
183,184,3175
184,185,3148
185,186,3097
186,187,3123
187,188,3069
188,189,3086
189,190,3198
190,191,2993
191,192,3109
192,193,3199
193,194,3202
194,195,3180
195,196,3152
196,197,3153
197,198,3217
198,199,3166
199,200,427136
