bin_lo_us,bin_hi_us,count
0,1,0
1,2,37
2,3,783
3,4,1736
4,5,3633
5,6,5366
6,7,7047
7,8,9219
8,9,10923
9,10,12596
10,11,13720
11,12,14057
12,13,14100
13,14,13934
14,15,13742
15,16,13301
16,17,12780
17,18,12313
18,19,11626
19,20,10836
20,21,10141
21,22,9375
22,23,8702
23,24,8068
24,25,7592
25,26,7066
26,27,6652
27,28,6295
28,29,5917
29,30,5613
30,31,5372
31,32,5084
32,33,4872
33,34,4700
34,35,4499
35,36,4272
36,37,4111
37,38,3925
38,39,3820
39,40,3630
40,41,3530
41,42,3440
42,43,3377
43,44,3251
44,45,3176
45,46,3113
46,47,3026
47,48,2928
48,49,2848
49,50,2755
50,51,2685
51,52,2569
52,53,2490
53,54,2415
54,55,2355
55,56,2266
56,57,2215
57,58,2141
58,59,2069
59,60,2047
60,61,1988
61,62,1939
62,63,1874
63,64,1846
64,65,1836
65,66,1761
66,67,1779
67,68,1708
68,69,1717
69,70,1656
70,71,1660
71,72,1640
72,73,1631
73,74,1592
74,75,1547
75,76,1557
76,77,1524
77,78,1469
78,79,1502
79,80,1425
80,81,1468
81,82,1339
82,83,1412
83,84,1330
84,85,1328
85,86,1338
86,87,1297
87,88,1289
88,89,1206
89,90,1267
90,91,1200
91,92,1193
92,93,1195
93,94,1161
94,95,1186
95,96,1116
96,97,1157
97,98,1105
98,99,1086
99,100,1094
100,101,1038
101,102,1060
102,103,982
103,104,1019
104,105,961
105,106,979
106,107,986
107,108,948
108,109,968
109,110,939
110,111,971
111,112,909
112,113,940
113,114,868
114,115,919
115,116,864
116,117,870
117,118,827
118,119,832
119,120,822
120,121,773
121,122,839
122,123,735
123,124,808
124,125,756
125,126,771
126,127,787
127,128,740
128,129,790
129,130,740
130,131,748
131,132,730
132,133,722
133,134,741
134,135,683
135,136,716
136,137,694
137,138,682
138,139,670
139,140,640
140,141,690
141,142,624
142,143,652
143,144,626
144,145,644
145,146,596
146,147,617
147,148,573
148,149,589
149,150,576
150,151,558
151,152,572
152,153,535
153,154,588
154,155,535
155,156,581
156,157,548
157,158,559
158,159,551
159,160,518
160,161,578
161,162,529
162,163,564
163,164,521
164,165,532
165,166,541
166,167,504
167,168,530
168,169,495
169,170,507
170,171,489
171,172,467
172,173,485
173,174,446
174,175,481
175,176,441
176,177,479
177,178,446
178,179,462
179,180,463
180,181,429
181,182,467
182,183,416
183,184,481
184,185,413
185,186,463
186,187,424
187,188,446
188,189,421
189,190,428
190,191,441
191,192,421
192,193,441
193,194,426
194,195,442
195,196,413
196,197,423
197,198,431
198,199,406
199,200,46328
