exp,run_id,engine,scenario,scheme,mode,batch,zipf_s,ep_size,total_tokens,konig_us,rtt_us,barrier_us,cct_us,step_us,throughput_GBs,lat_mean,lat_p50,lat_p99,hot_p99,cold_p99,hot_mean,cold_mean,roundtrip_step_us,hist_path
exp1_dispatch,s1_packet_spray_b16_z0.3_ep0_sd1,packet,1,packet_spray,dispatch,16,0.3,128,16384,0.0,0.0,2.0,61.017,63.017,1924.717898,22.221815,21.17,49.66,56.974,43.875,27.364204,20.766499,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b16_z0.3_ep0_sd1/hist.csv
exp1_dispatch,s1_packet_spray_b16_z0.7_ep0_sd1,packet,1,packet_spray,dispatch,16,0.7,128,16384,0.0,0.0,2.0,174.041,176.041,674.78647,32.94914,21.242,150.431,163.925,81.169,53.039243,20.776086,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b16_z0.7_ep0_sd1/hist.csv
exp1_dispatch,s1_packet_spray_b16_z0.9_ep0_sd1,packet,1,packet_spray,dispatch,16,0.9,128,16384,0.0,0.0,2.0,238.991,240.991,491.4014,43.678908,24.211,212.459,224.198,84.695,70.494224,19.541711,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b16_z0.9_ep0_sd1/hist.csv
exp1_dispatch,s1_packet_spray_b16_z0_ep0_sd1,packet,1,packet_spray,dispatch,16,0.0,128,16384,0.0,0.0,2.0,28.879,30.879,4066.640535,20.482294,21.282,26.766,26.588,26.815,20.648108,20.526005,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b16_z0_ep0_sd1/hist.csv
exp1_dispatch,s1_packet_spray_b256_z0.3_ep0_sd1,packet,1,packet_spray,dispatch,256,0.3,128,262144,0.0,0.0,2.0,974.937,976.937,1927.353452,287.371648,250.912,334.742,900.339,251.487,392.11304,250.39937,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b256_z0.3_ep0_sd1/hist.csv
exp1_dispatch,s1_packet_spray_b256_z0.7_ep0_sd1,packet,1,packet_spray,dispatch,256,0.7,128,262144,0.0,0.0,2.0,2792.421,2794.421,672.910063,428.650619,207.044,488.416,695.669,215.941,799.600862,181.134633,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b256_z0.7_ep0_sd1/hist.csv
exp1_dispatch,s1_packet_spray_b256_z0.9_ep0_sd1,packet,1,packet_spray,dispatch,256,0.9,128,262144,0.0,0.0,2.0,3864.59,3866.59,486.221874,607.199493,198.479,758.112,690.451,320.243,1094.548519,146.649178,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b256_z0.9_ep0_sd1/hist.csv
exp1_dispatch,s1_packet_spray_b256_z0_ep0_sd1,packet,1,packet_spray,dispatch,256,0.0,128,262144,0.0,0.0,2.0,384.35,386.35,4888.898639,277.647272,266.05,346.216,374.836,265.34,279.438711,277.567427,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_packet_spray_b256_z0_ep0_sd1/hist.csv
exp1_dispatch,s1_ub_rg_b16_z0.3_ep0_sd1,packet,1,ub_rg,dispatch,16,0.3,128,16384,0.0,0.6,0.4,17.195,17.595,6829.922187,3.529358,3.259,8.028,10.083,5.907,4.851367,3.192379,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b16_z0.3_ep0_sd1/hist.csv
exp1_dispatch,s1_ub_rg_b16_z0.7_ep0_sd1,packet,1,ub_rg,dispatch,16,0.7,128,16384,0.0,0.6,0.4,41.63,42.03,2821.054816,5.147322,3.084,23.999,26.936,5.054,9.703587,2.589813,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b16_z0.7_ep0_sd1/hist.csv
