bin_lo_us,bin_hi_us,count
0,1.9785,0
1.9785,3.95701,0
3.95701,5.93551,0
5.93551,7.91402,0
7.91402,9.89252,0
9.89252,11.871,0
11.871,13.8495,0
13.8495,15.828,0
15.828,17.8065,0
17.8065,19.785,0
19.785,21.7635,0
21.7635,23.7421,0
23.7421,25.7206,0
25.7206,27.6991,0
27.6991,29.6776,0
29.6776,31.6561,0
31.6561,33.6346,0
33.6346,35.6131,0
35.6131,37.5916,0
37.5916,39.5701,0
39.5701,41.5486,0
41.5486,43.5271,0
43.5271,45.5056,0
45.5056,47.4841,0
47.4841,49.4626,0
49.4626,51.4411,0
51.4411,53.4196,0
53.4196,55.3981,3
55.3981,57.3766,27
57.3766,59.3551,12
59.3551,61.3336,14
61.3336,63.3121,53
63.3121,65.2906,29
65.2906,67.2692,63
67.2692,69.2477,82
69.2477,71.2262,132
71.2262,73.2047,426
73.2047,75.1832,258
75.1832,77.1617,187
77.1617,79.1402,312
79.1402,81.1187,306
81.1187,83.0972,790
83.0972,85.0757,558
85.0757,87.0542,1556
87.0542,89.0327,843
89.0327,91.0112,410
91.0112,92.9897,295
92.9897,94.9682,163
94.9682,96.9467,255
96.9467,98.9252,234
98.9252,100.904,451
100.904,102.882,377
102.882,104.861,325
104.861,106.839,398
106.839,108.818,459
108.818,110.796,803
110.796,112.775,704
112.775,114.753,1434
114.753,116.732,794
116.732,118.71,606
118.71,120.689,428
120.689,122.667,453
122.667,124.646,434
124.646,126.624,438
126.624,128.603,611
128.603,130.581,530
130.581,132.56,684
132.56,134.538,655
134.538,136.517,889
136.517,138.495,1039
138.495,140.474,1293
140.474,142.452,1126
142.452,144.431,894
144.431,146.409,789
146.409,148.388,820
148.388,150.366,750
150.366,152.345,831
152.345,154.323,830
154.323,156.302,961
156.302,158.28,992
158.28,160.259,1103
160.259,162.237,1218
162.237,164.216,1257
164.216,166.194,1341
166.194,168.173,1151
168.173,170.151,1130
170.151,172.13,1250
172.13,174.108,1222
174.108,176.087,1222
176.087,178.065,1527
178.065,180.044,1542
180.044,182.022,1534
182.022,184.001,1434
184.001,185.979,1645
185.979,187.958,1785
187.958,189.936,1781
189.936,191.915,1703
191.915,193.893,1762
193.893,195.872,1663
195.872,197.85,1638
197.85,199.829,1965
199.829,201.807,2002
201.807,203.786,1876
203.786,205.764,1955
205.764,207.743,2049
207.743,209.721,1872
209.721,211.7,1899
211.7,213.678,2284
213.678,215.657,2462
215.657,217.635,2170
217.635,219.614,1921
219.614,221.593,2121
221.593,223.571,2315
223.571,225.55,2333
225.55,227.528,1704
227.528,229.507,1894
229.507,231.485,1788
231.485,233.464,1881
233.464,235.442,1966
235.442,237.421,2047
237.421,239.399,1721
239.399,241.378,1642
241.378,243.356,1893
243.356,245.335,2051
245.335,247.313,2001
247.313,249.292,1943
249.292,251.27,1794
251.27,253.249,1496
253.249,255.227,1870
255.227,257.206,1824
257.206,259.184,1790
259.184,261.163,1762
261.163,263.141,1705
263.141,265.12,1690
265.12,267.098,1824
267.098,269.077,1897
269.077,271.055,1786
271.055,273.034,1920
273.034,275.012,1677
275.012,276.991,1680
276.991,278.969,1877
278.969,280.948,1601
280.948,282.926,1601
282.926,284.905,1570
284.905,286.883,1690
286.883,288.862,1617
288.862,290.84,1611
290.84,292.819,1664
292.819,294.797,1240
294.797,296.776,1618
296.776,298.754,1583
298.754,300.733,1867
300.733,302.711,1626
302.711,304.69,1622
304.69,306.668,1611
306.668,308.647,1489
308.647,310.625,1344
310.625,312.604,1412
312.604,314.582,1112
314.582,316.561,1444
316.561,318.539,1409
318.539,320.518,1433
320.518,322.496,1415
322.496,324.475,1209
324.475,326.453,1325
326.453,328.432,1449
328.432,330.41,1300
330.41,332.389,1322
332.389,334.367,1149
334.367,336.346,1123
336.346,338.324,1436
338.324,340.303,1331
340.303,342.281,1136
342.281,344.26,1094
344.26,346.238,1089
346.238,348.217,1030
348.217,350.195,966
350.195,352.174,1051
352.174,354.152,1016
354.152,356.131,1114
356.131,358.109,1136
358.109,360.088,959
360.088,362.066,1194
362.066,364.045,958
364.045,366.023,1092
366.023,368.002,976
368.002,369.98,860
369.98,371.959,793
371.959,373.937,883
373.937,375.916,919
375.916,377.894,450
377.894,379.873,0
379.873,381.851,0
381.851,383.83,0
383.83,385.808,0
385.808,387.787,0
387.787,389.765,0
389.765,391.744,0
391.744,393.722,0
393.722,395.701,0
