bin_lo_us,bin_hi_us,count
0,0.201726,0
0.201726,0.403452,0
0.403452,0.605178,0
0.605178,0.806904,426
0.806904,1.00863,2886
1.00863,1.21036,2782
1.21036,1.41208,998
1.41208,1.61381,488
1.61381,1.81553,403
1.81553,2.01726,360
2.01726,2.21899,298
2.21899,2.42071,336
2.42071,2.62244,267
2.62244,2.82416,234
2.82416,3.02589,146
3.02589,3.22762,137
3.22762,3.42934,116
3.42934,3.63107,110
3.63107,3.83279,116
3.83279,4.03452,108
4.03452,4.23625,107
4.23625,4.43797,97
4.43797,4.6397,101
4.6397,4.84142,124
4.84142,5.04315,100
5.04315,5.24488,103
5.24488,5.4466,113
5.4466,5.64833,109
5.64833,5.85005,109
5.85005,6.05178,112
6.05178,6.25351,120
6.25351,6.45523,106
6.45523,6.65696,114
6.65696,6.85868,110
6.85868,7.06041,101
7.06041,7.26214,83
7.26214,7.46386,84
7.46386,7.66559,79
7.66559,7.86731,87
7.86731,8.06904,68
8.06904,8.27077,71
8.27077,8.47249,73
8.47249,8.67422,69
8.67422,8.87594,45
8.87594,9.07767,77
9.07767,9.2794,60
9.2794,9.48112,44
9.48112,9.68285,50
9.68285,9.88457,55
9.88457,10.0863,65
10.0863,10.288,71
10.288,10.4898,52
10.4898,10.6915,52
10.6915,10.8932,46
10.8932,11.0949,46
11.0949,11.2967,58
11.2967,11.4984,58
11.4984,11.7001,68
11.7001,11.9018,57
11.9018,12.1036,61
12.1036,12.3053,45
12.3053,12.507,54
12.507,12.7087,53
12.7087,12.9105,55
12.9105,13.1122,61
13.1122,13.3139,42
13.3139,13.5156,44
13.5156,13.7174,45
13.7174,13.9191,61
13.9191,14.1208,40
14.1208,14.3225,45
14.3225,14.5243,42
14.5243,14.726,48
14.726,14.9277,45
14.9277,15.1294,46
15.1294,15.3312,42
15.3312,15.5329,25
15.5329,15.7346,39
15.7346,15.9364,45
15.9364,16.1381,33
16.1381,16.3398,28
16.3398,16.5415,31
16.5415,16.7433,32
16.7433,16.945,42
16.945,17.1467,26
17.1467,17.3484,36
17.3484,17.5502,32
17.5502,17.7519,41
17.7519,17.9536,31
17.9536,18.1553,40
18.1553,18.3571,28
18.3571,18.5588,49
18.5588,18.7605,51
18.7605,18.9622,55
18.9622,19.164,41
19.164,19.3657,44
19.3657,19.5674,34
19.5674,19.7691,42
19.7691,19.9709,37
19.9709,20.1726,37
20.1726,20.3743,27
20.3743,20.5761,30
20.5761,20.7778,44
20.7778,20.9795,43
20.9795,21.1812,34
21.1812,21.383,25
21.383,21.5847,34
21.5847,21.7864,24
21.7864,21.9881,37
21.9881,22.1899,24
22.1899,22.3916,27
22.3916,22.5933,33
22.5933,22.795,26
22.795,22.9968,24
22.9968,23.1985,24
23.1985,23.4002,28
23.4002,23.6019,14
23.6019,23.8037,27
23.8037,24.0054,26
24.0054,24.2071,22
24.2071,24.4088,28
24.4088,24.6106,21
24.6106,24.8123,13
24.8123,25.014,34
25.014,25.2157,19
25.2157,25.4175,20
25.4175,25.6192,19
25.6192,25.8209,14
25.8209,26.0227,16
26.0227,26.2244,24
26.2244,26.4261,17
26.4261,26.6278,19
26.6278,26.8296,16
26.8296,27.0313,22
27.0313,27.233,14
27.233,27.4347,16
27.4347,27.6365,12
27.6365,27.8382,13
27.8382,28.0399,21
28.0399,28.2416,25
28.2416,28.4434,15
28.4434,28.6451,9
28.6451,28.8468,7
28.8468,29.0485,15
29.0485,29.2503,20
29.2503,29.452,14
29.452,29.6537,15
29.6537,29.8554,9
29.8554,30.0572,9
30.0572,30.2589,13
30.2589,30.4606,10
30.4606,30.6624,12
30.6624,30.8641,12
30.8641,31.0658,7
31.0658,31.2675,7
31.2675,31.4693,16
31.4693,31.671,12
31.671,31.8727,13
31.8727,32.0744,7
32.0744,32.2762,6
32.2762,32.4779,7
32.4779,32.6796,13
32.6796,32.8813,7
32.8813,33.0831,10
33.0831,33.2848,7
33.2848,33.4865,6
33.4865,33.6882,8
33.6882,33.89,8
33.89,34.0917,5
34.0917,34.2934,6
34.2934,34.4951,4
34.4951,34.6969,3
34.6969,34.8986,1
34.8986,35.1003,4
35.1003,35.302,2
35.302,35.5038,3
35.5038,35.7055,5
35.7055,35.9072,4
35.9072,36.109,1
36.109,36.3107,0
36.3107,36.5124,2
36.5124,36.7141,1
36.7141,36.9159,1
36.9159,37.1176,1
37.1176,37.3193,0
37.3193,37.521,1
37.521,37.7228,0
37.7228,37.9245,1
37.9245,38.1262,2
38.1262,38.3279,2
38.3279,38.5297,2
38.5297,38.7314,0
38.7314,38.9331,0
38.9331,39.1348,0
39.1348,39.3366,0
39.3366,39.5383,0
39.5383,39.74,0
39.74,39.9417,0
39.9417,40.1435,0
40.1435,40.3452,0
