bin_lo_us,bin_hi_us,count
0,0.0772432,0
0.0772432,0.154486,0
0.154486,0.23173,0
0.23173,0.308973,0
0.308973,0.386216,0
0.386216,0.463459,0
0.463459,0.540703,0
0.540703,0.617946,0
0.617946,0.695189,0
0.695189,0.772432,12
0.772432,0.849676,1270
0.849676,0.926919,1680
0.926919,1.00416,1853
1.00416,1.08141,1911
1.08141,1.15865,1543
1.15865,1.23589,1222
1.23589,1.31314,912
1.31314,1.39038,626
1.39038,1.46762,544
1.46762,1.54486,418
1.54486,1.62211,341
1.62211,1.69935,340
1.69935,1.77659,322
1.77659,1.85384,284
1.85384,1.93108,255
1.93108,2.00832,268
2.00832,2.08557,256
2.08557,2.16281,222
2.16281,2.24005,184
2.24005,2.3173,176
2.3173,2.39454,171
2.39454,2.47178,152
2.47178,2.54903,165
2.54903,2.62627,125
2.62627,2.70351,83
2.70351,2.78076,74
2.78076,2.858,68
2.858,2.93524,80
2.93524,3.01249,79
3.01249,3.08973,89
3.08973,3.16697,87
3.16697,3.24422,82
3.24422,3.32146,61
3.32146,3.3987,49
3.3987,3.47595,46
3.47595,3.55319,35
3.55319,3.63043,19
3.63043,3.70768,19
3.70768,3.78492,17
3.78492,3.86216,15
3.86216,3.93941,12
3.93941,4.01665,10
4.01665,4.09389,6
4.09389,4.17114,5
4.17114,4.24838,8
4.24838,4.32562,7
4.32562,4.40287,6
4.40287,4.48011,3
4.48011,4.55735,7
4.55735,4.63459,3
4.63459,4.71184,8
4.71184,4.78908,4
4.78908,4.86632,2
4.86632,4.94357,4
4.94357,5.02081,6
5.02081,5.09805,3
5.09805,5.1753,6
5.1753,5.25254,1
5.25254,5.32978,7
5.32978,5.40703,3
5.40703,5.48427,5
5.48427,5.56151,5
5.56151,5.63876,5
5.63876,5.716,2
5.716,5.79324,1
5.79324,5.87049,4
5.87049,5.94773,3
5.94773,6.02497,2
6.02497,6.10222,2
6.10222,6.17946,0
6.17946,6.2567,3
6.2567,6.33395,4
6.33395,6.41119,1
6.41119,6.48843,2
6.48843,6.56568,2
6.56568,6.64292,4
6.64292,6.72016,0
6.72016,6.79741,3
6.79741,6.87465,2
6.87465,6.95189,2
6.95189,7.02914,1
7.02914,7.10638,4
7.10638,7.18362,1
7.18362,7.26087,2
7.26087,7.33811,2
7.33811,7.41535,4
7.41535,7.4926,0
7.4926,7.56984,1
7.56984,7.64708,2
7.64708,7.72432,0
7.72432,7.80157,2
7.80157,7.87881,2
7.87881,7.95605,0
7.95605,8.0333,1
8.0333,8.11054,0
8.11054,8.18778,0
8.18778,8.26503,3
8.26503,8.34227,3
8.34227,8.41951,1
8.41951,8.49676,1
8.49676,8.574,0
8.574,8.65124,1
8.65124,8.72849,2
8.72849,8.80573,2
8.80573,8.88297,3
8.88297,8.96022,1
8.96022,9.03746,0
9.03746,9.1147,0
9.1147,9.19195,1
9.19195,9.26919,1
9.26919,9.34643,1
9.34643,9.42368,0
9.42368,9.50092,0
9.50092,9.57816,0
9.57816,9.65541,1
9.65541,9.73265,2
9.73265,9.80989,0
9.80989,9.88714,2
9.88714,9.96438,0
9.96438,10.0416,0
10.0416,10.1189,0
10.1189,10.1961,2
10.1961,10.2734,0
10.2734,10.3506,0
10.3506,10.4278,0
10.4278,10.5051,0
10.5051,10.5823,1
10.5823,10.6596,0
10.6596,10.7368,0
10.7368,10.8141,1
10.8141,10.8913,0
10.8913,10.9685,0
10.9685,11.0458,0
11.0458,11.123,0
11.123,11.2003,3
11.2003,11.2775,1
11.2775,11.3548,0
11.3548,11.432,0
11.432,11.5092,0
11.5092,11.5865,0
11.5865,11.6637,0
11.6637,11.741,0
11.741,11.8182,0
11.8182,11.8955,2
11.8955,11.9727,0
11.9727,12.0499,0
12.0499,12.1272,0
12.1272,12.2044,0
12.2044,12.2817,2
12.2817,12.3589,1
12.3589,12.4362,0
12.4362,12.5134,0
12.5134,12.5906,0
12.5906,12.6679,1
12.6679,12.7451,0
12.7451,12.8224,0
12.8224,12.8996,1
12.8996,12.9769,0
12.9769,13.0541,1
13.0541,13.1314,0
13.1314,13.2086,0
13.2086,13.2858,0
13.2858,13.3631,0
13.3631,13.4403,1
13.4403,13.5176,0
13.5176,13.5948,0
13.5948,13.6721,0
13.6721,13.7493,0
13.7493,13.8265,0
13.8265,13.9038,0
13.9038,13.981,0
13.981,14.0583,0
14.0583,14.1355,0
14.1355,14.2128,0
14.2128,14.29,0
14.29,14.3672,0
14.3672,14.4445,0
14.4445,14.5217,0
14.5217,14.599,0
14.599,14.6762,1
14.6762,14.7535,1
14.7535,14.8307,0
14.8307,14.9079,0
14.9079,14.9852,0
14.9852,15.0624,0
15.0624,15.1397,0
15.1397,15.2169,0
15.2169,15.2942,0
15.2942,15.3714,0
15.3714,15.4486,0
