bin_lo_us,bin_hi_us,count
0,0.0406297,0
0.0406297,0.0812595,0
0.0812595,0.121889,0
0.121889,0.162519,0
0.162519,0.203149,0
0.203149,0.243778,0
0.243778,0.284408,0
0.284408,0.325038,0
0.325038,0.365668,0
0.365668,0.406297,0
0.406297,0.446927,0
0.446927,0.487557,0
0.487557,0.528187,0
0.528187,0.568816,0
0.568816,0.609446,0
0.609446,0.650076,0
0.650076,0.690706,0
0.690706,0.731335,0
0.731335,0.771965,0
0.771965,0.812595,8
0.812595,0.853225,1
0.853225,0.893854,7
0.893854,0.934484,10
0.934484,0.975114,11
0.975114,1.01574,8
1.01574,1.05637,6
1.05637,1.097,13
1.097,1.13763,7
1.13763,1.17826,4
1.17826,1.21889,4
1.21889,1.25952,5
1.25952,1.30015,8
1.30015,1.34078,14
1.34078,1.38141,8
1.38141,1.42204,10
1.42204,1.46267,15
1.46267,1.5033,11
1.5033,1.54393,15
1.54393,1.58456,15
1.58456,1.62519,20
1.62519,1.66582,20
1.66582,1.70645,24
1.70645,1.74708,29
1.74708,1.78771,41
1.78771,1.82834,46
1.82834,1.86897,50
1.86897,1.9096,78
1.9096,1.95023,86
1.95023,1.99086,73
1.99086,2.03149,85
2.03149,2.07212,95
2.07212,2.11275,130
2.11275,2.15338,112
2.15338,2.19401,156
2.19401,2.23464,154
2.23464,2.27527,184
2.27527,2.3159,193
2.3159,2.35653,173
2.35653,2.39716,232
2.39716,2.43778,226
2.43778,2.47841,227
2.47841,2.51904,251
2.51904,2.55967,271
2.55967,2.6003,227
2.6003,2.64093,256
2.64093,2.68156,304
2.68156,2.72219,282
2.72219,2.76282,289
2.76282,2.80345,300
2.80345,2.84408,267
2.84408,2.88471,241
2.88471,2.92534,238
2.92534,2.96597,211
2.96597,3.0066,223
3.0066,3.04723,227
3.04723,3.08786,217
3.08786,3.12849,193
3.12849,3.16912,215
3.16912,3.20975,173
3.20975,3.25038,207
3.25038,3.29101,182
3.29101,3.33164,216
3.33164,3.37227,209
3.37227,3.4129,182
3.4129,3.45353,180
3.45353,3.49416,198
3.49416,3.53479,214
3.53479,3.57542,222
3.57542,3.61605,228
3.61605,3.65668,216
3.65668,3.69731,242
3.69731,3.73794,209
3.73794,3.77857,227
3.77857,3.8192,234
3.8192,3.85983,208
3.85983,3.90046,238
3.90046,3.94109,237
3.94109,3.98172,232
3.98172,4.02235,206
4.02235,4.06297,224
4.06297,4.1036,212
4.1036,4.14423,183
4.14423,4.18486,194
4.18486,4.22549,196
4.22549,4.26612,209
4.26612,4.30675,171
4.30675,4.34738,170
4.34738,4.38801,184
4.38801,4.42864,176
4.42864,4.46927,167
4.46927,4.5099,166
4.5099,4.55053,171
4.55053,4.59116,156
4.59116,4.63179,163
4.63179,4.67242,143
4.67242,4.71305,135
4.71305,4.75368,137
4.75368,4.79431,126
4.79431,4.83494,110
4.83494,4.87557,101
4.87557,4.9162,108
4.9162,4.95683,88
4.95683,4.99746,99
4.99746,5.03809,88
5.03809,5.07872,83
5.07872,5.11935,81
5.11935,5.15998,76
5.15998,5.20061,80
5.20061,5.24124,76
5.24124,5.28187,65
5.28187,5.3225,55
5.3225,5.36313,55
5.36313,5.40376,56
5.40376,5.44439,55
5.44439,5.48502,34
5.48502,5.52565,32
5.52565,5.56628,36
5.56628,5.60691,40
5.60691,5.64754,28
5.64754,5.68816,31
5.68816,5.72879,28
5.72879,5.76942,27
5.76942,5.81005,27
5.81005,5.85068,26
5.85068,5.89131,23
5.89131,5.93194,12
5.93194,5.97257,10
5.97257,6.0132,19
6.0132,6.05383,13
6.05383,6.09446,12
6.09446,6.13509,20
6.13509,6.17572,14
6.17572,6.21635,10
6.21635,6.25698,9
6.25698,6.29761,14
6.29761,6.33824,9
6.33824,6.37887,6
6.37887,6.4195,8
6.4195,6.46013,4
6.46013,6.50076,6
6.50076,6.54139,2
6.54139,6.58202,0
6.58202,6.62265,6
6.62265,6.66328,3
6.66328,6.70391,5
6.70391,6.74454,1
6.74454,6.78517,2
6.78517,6.8258,2
6.8258,6.86643,2
6.86643,6.90706,2
6.90706,6.94769,2
6.94769,6.98832,0
6.98832,7.02895,2
7.02895,7.06958,1
7.06958,7.11021,1
7.11021,7.15084,2
7.15084,7.19147,2
7.19147,7.2321,0
7.2321,7.27273,0
7.27273,7.31335,0
7.31335,7.35398,0
7.35398,7.39461,1
7.39461,7.43524,0
7.43524,7.47587,2
7.47587,7.5165,0
7.5165,7.55713,0
7.55713,7.59776,1
7.59776,7.63839,0
7.63839,7.67902,1
7.67902,7.71965,0
7.71965,7.76028,1
7.76028,7.80091,0
7.80091,7.84154,0
7.84154,7.88217,0
7.88217,7.9228,0
7.9228,7.96343,0
7.96343,8.00406,0
8.00406,8.04469,0
8.04469,8.08532,0
8.08532,8.12595,0
