bin_lo_us,bin_hi_us,count
0,0.0170047,0
0.0170047,0.0340095,0
0.0340095,0.0510142,0
0.0510142,0.068019,0
0.068019,0.0850237,0
0.0850237,0.102028,0
0.102028,0.119033,0
0.119033,0.136038,0
0.136038,0.153043,0
0.153043,0.170047,0
0.170047,0.187052,0
0.187052,0.204057,0
0.204057,0.221062,0
0.221062,0.238066,0
0.238066,0.255071,0
0.255071,0.272076,0
0.272076,0.289081,0
0.289081,0.306085,0
0.306085,0.32309,0
0.32309,0.340095,0
0.340095,0.3571,0
0.3571,0.374104,0
0.374104,0.391109,0
0.391109,0.408114,0
0.408114,0.425119,0
0.425119,0.442123,0
0.442123,0.459128,0
0.459128,0.476133,0
0.476133,0.493138,0
0.493138,0.510142,0
0.510142,0.527147,0
0.527147,0.544152,0
0.544152,0.561157,0
0.561157,0.578161,0
0.578161,0.595166,0
0.595166,0.612171,0
0.612171,0.629176,0
0.629176,0.64618,0
0.64618,0.663185,0
0.663185,0.68019,0
0.68019,0.697195,0
0.697195,0.714199,0
0.714199,0.731204,0
0.731204,0.748209,0
0.748209,0.765214,5
0.765214,0.782218,356
0.782218,0.799223,269
0.799223,0.816228,211
0.816228,0.833233,255
0.833233,0.850237,414
0.850237,0.867242,442
0.867242,0.884247,427
0.884247,0.901252,437
0.901252,0.918256,566
0.918256,0.935261,606
0.935261,0.952266,563
0.952266,0.969271,488
0.969271,0.986275,521
0.986275,1.00328,597
1.00328,1.02028,740
1.02028,1.03729,571
1.03729,1.05429,487
1.05429,1.0713,581
1.0713,1.0883,639
1.0883,1.10531,563
1.10531,1.12231,421
1.12231,1.13932,511
1.13932,1.15632,477
1.15632,1.17333,455
1.17333,1.19033,388
1.19033,1.20734,443
1.20734,1.22434,381
1.22434,1.24135,347
1.24135,1.25835,296
1.25835,1.27536,246
1.27536,1.29236,202
1.29236,1.30937,194
1.30937,1.32637,175
1.32637,1.34338,151
1.34338,1.36038,151
1.36038,1.37738,118
1.37738,1.39439,94
1.39439,1.41139,102
1.41139,1.4284,95
1.4284,1.4454,72
1.4454,1.46241,75
1.46241,1.47941,64
1.47941,1.49642,62
1.49642,1.51342,48
1.51342,1.53043,65
1.53043,1.54743,49
1.54743,1.56444,53
1.56444,1.58144,46
1.58144,1.59845,44
1.59845,1.61545,62
1.61545,1.63246,41
1.63246,1.64946,43
1.64946,1.66647,24
1.66647,1.68347,36
1.68347,1.70047,34
1.70047,1.71748,27
1.71748,1.73448,27
1.73448,1.75149,23
1.75149,1.76849,28
1.76849,1.7855,28
1.7855,1.8025,22
1.8025,1.81951,25
1.81951,1.83651,18
1.83651,1.85352,20
1.85352,1.87052,14
1.87052,1.88753,22
1.88753,1.90453,20
1.90453,1.92154,23
1.92154,1.93854,20
1.93854,1.95555,18
1.95555,1.97255,22
1.97255,1.98956,22
1.98956,2.00656,10
2.00656,2.02357,12
2.02357,2.04057,7
2.04057,2.05757,8
2.05757,2.07458,11
2.07458,2.09158,6
2.09158,2.10859,3
2.10859,2.12559,11
2.12559,2.1426,12
2.1426,2.1596,10
2.1596,2.17661,3
2.17661,2.19361,6
2.19361,2.21062,11
2.21062,2.22762,6
2.22762,2.24463,4
2.24463,2.26163,4
2.26163,2.27864,3
2.27864,2.29564,2
2.29564,2.31265,8
2.31265,2.32965,6
2.32965,2.34666,3
2.34666,2.36366,3
2.36366,2.38066,5
2.38066,2.39767,1
2.39767,2.41467,4
2.41467,2.43168,2
2.43168,2.44868,2
2.44868,2.46569,0
2.46569,2.48269,3
2.48269,2.4997,5
2.4997,2.5167,0
2.5167,2.53371,2
2.53371,2.55071,1
2.55071,2.56772,1
2.56772,2.58472,2
2.58472,2.60173,1
2.60173,2.61873,1
2.61873,2.63574,4
2.63574,2.65274,0
2.65274,2.66975,1
2.66975,2.68675,4
2.68675,2.70376,0
2.70376,2.72076,2
2.72076,2.73776,1
2.73776,2.75477,0
2.75477,2.77177,0
2.77177,2.78878,1
2.78878,2.80578,1
2.80578,2.82279,1
2.82279,2.83979,0
2.83979,2.8568,3
2.8568,2.8738,0
2.8738,2.89081,2
2.89081,2.90781,0
2.90781,2.92482,1
2.92482,2.94182,0
2.94182,2.95883,0
2.95883,2.97583,1
2.97583,2.99284,0
2.99284,3.00984,0
3.00984,3.02685,0
3.02685,3.04385,0
3.04385,3.06085,0
3.06085,3.07786,0
3.07786,3.09486,0
3.09486,3.11187,0
3.11187,3.12887,0
3.12887,3.14588,0
3.14588,3.16288,0
3.16288,3.17989,0
3.17989,3.19689,0
3.19689,3.2139,0
3.2139,3.2309,0
3.2309,3.24791,1
3.24791,3.26491,0
3.26491,3.28192,0
3.28192,3.29892,0
3.29892,3.31593,0
3.31593,3.33293,0
3.33293,3.34994,0
3.34994,3.36694,0
3.36694,3.38395,0
3.38395,3.40095,0
